# log10(T) rate(cm^3/s)
# Total Recomb Rates
1.000000000000000000e+00 3.533004226291610787e-11
1.022922636103151817e+00 3.425946215623104284e-11
1.045845272206303633e+00 3.321953535003654557e-11
1.068767908309455672e+00 3.220944437899868582e-11
1.091690544412607489e+00 3.122839212136874819e-11
1.114613180515759305e+00 3.027560129502502066e-11
1.137535816618911122e+00 2.935031396781556666e-11
1.160458452722062939e+00 2.845179108175532889e-11
1.183381088825214977e+00 2.757931199063951462e-11
1.206303724928366794e+00 2.673217401064502837e-11
1.229226361031518611e+00 2.590969198350044237e-11
1.252148997134670427e+00 2.511119785181472384e-11
1.275071633237822244e+00 2.433604024616417641e-11
1.297994269340974283e+00 2.358358408354718244e-11
1.320916905444126099e+00 2.285321017682544849e-11
1.343839541547277916e+00 2.214431485478089568e-11
1.366762177650429733e+00 2.145630959242709531e-11
1.389684813753581771e+00 2.078862065122398850e-11
1.412607449856733588e+00 2.014068872885515961e-11
1.435530085959885405e+00 1.951196861823664549e-11
1.458452722063037221e+00 1.890192887543691310e-11
1.481375358166189038e+00 1.831005149619741839e-11
1.504297994269340855e+00 1.773583160075378376e-11
1.527220630372492671e+00 1.717877712666751209e-11
1.550143266475644710e+00 1.663840852938836596e-11
1.573065902578796527e+00 1.611425849027798065e-11
1.595988538681948565e+00 1.560587163183467892e-11
1.618911174785100382e+00 1.511280423986996657e-11
1.641833810888252199e+00 1.463462399239663253e-11
1.664756446991404015e+00 1.417090969499814837e-11
1.687679083094555832e+00 1.372125102245864075e-11
1.710601719197707649e+00 1.328524826644182578e-11
1.733524355300859465e+00 1.286251208901678215e-11
1.756446991404011282e+00 1.245266328183702888e-11
1.779369627507163321e+00 1.205533253078829280e-11
1.802292263610315137e+00 1.167016018592894747e-11
1.825214899713467176e+00 1.129679603655496051e-11
1.848137535816618993e+00 1.093489909122968394e-11
1.871060171919770809e+00 1.058413736262618449e-11
1.893982808022922626e+00 1.024418765703743015e-11
1.916905444126074443e+00 9.914735368416809156e-12
1.939828080229226259e+00 9.595474276818396786e-12
1.962750716332378076e+00 9.286106351112930129e-12
1.985673352435529893e+00 8.986341555861859781e-12
2.008595988538681709e+00 8.695897662237901277e-12
2.031518624641833526e+00 8.414500062886131159e-12
2.054441260744985343e+00 8.141881590625367594e-12
2.077363896848137603e+00 7.877782340894554676e-12
2.100286532951289420e+00 7.621949497853931160e-12
2.123209169054441237e+00 7.374137164055241216e-12
2.146131805157593053e+00 7.134106193599770799e-12
2.169054441260744870e+00 6.901624028706980563e-12
2.191977077363897131e+00 6.676464539620339975e-12
2.214899713467048947e+00 6.458407867780646836e-12
2.237822349570200764e+00 6.247240272200295037e-12
2.260744985673352581e+00 6.042753978975280731e-12
2.283667621776504397e+00 5.844747033874421348e-12
2.306590257879656214e+00 5.653023157948054459e-12
2.329512893982808031e+00 5.467391606100900401e-12
2.352435530085959847e+00 5.287667028576048125e-12
2.375358166189111664e+00 5.113669335299104611e-12
2.398280802292263481e+00 4.945223563033473175e-12
2.421203438395415297e+00 4.782159745299423131e-12
2.444126074498567114e+00 4.624312785011251539e-12
2.467048710601718930e+00 4.471522329788227916e-12
2.489971346704870747e+00 4.323632649896335186e-12
2.512893982808022564e+00 4.180492518778984978e-12
2.535816618911174825e+00 4.041955096135975891e-12
2.558739255014326641e+00 3.907877813510839805e-12
2.581661891117478458e+00 3.778122262347619593e-12
2.604584527220630275e+00 3.652554084478903514e-12
