# log10(T) rate(cm^3/s)
# Total Recomb Rates
1.000000000000000000e+00 1.537362242394486718e-10
1.022922636103151817e+00 1.492230125640989819e-10
1.045845272206303633e+00 1.448356284486610296e-10
1.068767908309455672e+00 1.405707639620839412e-10
1.091690544412607489e+00 1.364251942390823572e-10
1.114613180515759305e+00 1.323957753584102511e-10
1.137535816618911122e+00 1.284794422808529238e-10
1.160458452722062939e+00 1.246732068452558759e-10
1.183381088825214977e+00 1.209741558209414197e-10
1.206303724928366794e+00 1.173794490148935918e-10
1.229226361031518611e+00 1.138863174321224159e-10
1.252148997134670427e+00 1.104920614876502085e-10
1.275071633237822244e+00 1.071940492685916177e-10
1.297994269340974283e+00 1.039897148448308090e-10
1.320916905444126099e+00 1.008765566268294490e-10
1.343839541547277916e+00 9.785213576913016430e-11
1.366762177650429733e+00 9.491407461815075140e-11
1.389684813753581771e+00 9.206005520289662764e-11
1.412607449856733588e+00 8.928781776724916320e-11
1.435530085959885405e+00 8.659515934251970472e-11
1.458452722063037221e+00 8.397993235899067630e-11
1.481375358166189038e+00 8.144004329519804962e-11
1.504297994269340855e+00 7.897345136373849100e-11
1.527220630372492671e+00 7.657816723242107010e-11
1.550143266475644710e+00 7.425225177961155191e-11
1.573065902578796527e+00 7.199381488265211310e-11
1.595988538681948565e+00 6.980101423827043320e-11
1.618911174785100382e+00 6.767205421392510802e-11
1.641833810888252199e+00 6.560518472906576564e-11
1.664756446991404015e+00 6.359870016531927478e-11
1.687679083094555832e+00 6.165093830464472624e-11
1.710601719197707649e+00 5.976027929453124916e-11
1.733524355300859465e+00 5.792514463934570768e-11
1.756446991404011282e+00 5.614399621696662396e-11
1.779369627507163321e+00 5.441533531987262967e-11
1.802292263610315137e+00 5.273770171988398558e-11
1.825214899713467176e+00 5.110967275578511242e-11
1.848137535816618993e+00 4.952986244308635229e-11
1.871060171919770809e+00 4.799692060521102638e-11
1.893982808022922626e+00 4.650953202542327736e-11
1.916905444126074443e+00 4.506641561883897183e-11
1.939828080229226259e+00 4.366632362388924118e-11
1.962750716332378076e+00 4.230804081263293535e-11
1.985673352435529893e+00 4.099038371933905357e-11
2.008595988538681709e+00 3.971219988678589745e-11
2.031518624641833526e+00 3.847236712974707921e-11
2.054441260744985343e+00 3.726979281515838287e-11
2.077363896848137603e+00 3.610341315848132611e-11
2.100286532951289420e+00 3.497219253580167470e-11
2.123209169054441237e+00 3.387512281122090449e-11
2.146131805157593053e+00 3.281122267911984084e-11
2.169054441260744870e+00 3.177953702089193594e-11
2.191977077363897131e+00 3.077913627576220404e-11
2.214899713467048947e+00 2.980911582532556113e-11
2.237822349570200764e+00 2.886859539145442594e-11
2.260744985673352581e+00 2.795671844724204449e-11
2.283667621776504397e+00 2.707265164066217203e-11
2.306590257879656214e+00 2.621558423064078095e-11
2.329512893982808031e+00 2.538472753524837198e-11
2.352435530085959847e+00 2.457931439173444208e-11
2.375358166189111664e+00 2.379859862813773437e-11
2.398280802292263481e+00 2.304185454621693936e-11
2.421203438395415297e+00 2.230837641545744802e-11
2.444126074498567114e+00 2.159747797791926964e-11
2.467048710601718930e+00 2.090849196370105032e-11
2.489971346704870747e+00 2.024076961680336733e-11
2.512893982808022564e+00 1.959368023118290154e-11
2.535816618911174825e+00 1.896661069679650246e-11
2.558739255014326641e+00 1.835896505544133992e-11
2.581661891117478458e+00 1.777016406620352772e-11
2.604584527220630275e+00 1.719964478033427970e-11
2.627507163323782091e+00 1.664686012537767387e-11
2.650429799426934352e+00 1.611127849837960279e-11
2.673352435530086169e+00 1.559238336801233824e-11
2.696275071633237985e+00 1.508967288545334222e-11
2.719197707736389802e+00 1.460265950386137968e-11
2.742120343839541619e+00 1.413086960629650217e-11
2.765042979942693435e+00 1.367384314193407625e-11
2.787965616045845252e+00 1.323113327042628076e-11
2.810888252148997069e+00 1.280230601426742317e-11
2.833810888252148885e+00 1.238693991902215361e-11
2.856733524355300702e+00 1.198462572127827769e-11
2.879656160458452518e+00 1.159496602418812581e-11
2.902578796561604335e+00 1.121757498046462117e-11
2.925501432664756152e+00 1.085207798270037294e-11
2.948424068767907968e+00 1.049811136087971713e-11
2.971346704871059785e+00 1.015532208695571191e-11
2.994269340974212046e+00 9.823367486365480329e-12
