# log10(T) rate(cm^3/s)
# Total Recomb Rates
1.000000000000000000e+00 1.084786440763654585e-10
1.022922636103151817e+00 1.053974320772120853e-10
1.045845272206303633e+00 1.023977930487170758e-10
1.068767908309455672e+00 9.947762689589205176e-11
1.091690544412607489e+00 9.663488841433788134e-11
1.114613180515759305e+00 9.386758584901226427e-11
1.137535816618911122e+00 9.117377948983602569e-11
1.160458452722062939e+00 8.855158030316574135e-11
1.183381088825214977e+00 8.599914859818691698e-11
1.206303724928366794e+00 8.351469272730947353e-11
1.229226361031518611e+00 8.109646781967077464e-11
1.252148997134670427e+00 7.874277454687626058e-11
1.275071633237822244e+00 7.645195792013326684e-11
1.297994269340974283e+00 7.422240611795593869e-11
1.320916905444126099e+00 7.205254934364293525e-11
1.343839541547277916e+00 6.994085871175228586e-11
1.366762177650429733e+00 6.788584516282009588e-11
1.389684813753581771e+00 6.588605840559109870e-11
1.412607449856733588e+00 6.394008588605110034e-11
1.435530085959885405e+00 6.204655178257152566e-11
1.458452722063037221e+00 6.020411602649741973e-11
1.481375358166189038e+00 5.841147334752960654e-11
1.504297994269340855e+00 5.666735234327231532e-11
1.527220630372492671e+00 5.497051457233536288e-11
1.550143266475644710e+00 5.331975367040012997e-11
1.573065902578796527e+00 5.171389448867676100e-11
1.595988538681948565e+00 5.015179225419663136e-11
1.618911174785100382e+00 4.863233175140428897e-11
1.641833810888252199e+00 4.715442652452752019e-11
1.664756446991404015e+00 4.571701810022288552e-11
1.687679083094555832e+00 4.431907523001007816e-11
1.710601719197707649e+00 4.295959315202353472e-11
1.733524355300859465e+00 4.163759287162657504e-11
1.756446991404011282e+00 4.035212046044762332e-11
1.779369627507163321e+00 3.910224637341295185e-11
1.802292263610315137e+00 3.788706478336515541e-11
1.825214899713467176e+00 3.670569293286950812e-11
1.848137535816618993e+00 3.555727050282454623e-11
1.871060171919770809e+00 3.444095899750582157e-11
1.893982808022922626e+00 3.335594114568419767e-11
1.916905444126074443e+00 3.230142031747193193e-11
1.939828080229226259e+00 3.127661995656169709e-11
1.962750716332378076e+00 3.028078302753416461e-11
1.985673352435529893e+00 2.931317147792048680e-11
2.008595988538681709e+00 2.837306571471617997e-11
2.031518624641833526e+00 2.745976409505173213e-11
2.054441260744985343e+00 2.657258243073485171e-11
2.077363896848137603e+00 2.571085350638716481e-11
2.100286532951289420e+00 2.487392661090617490e-11
2.123209169054441237e+00 2.406116708199038187e-11
2.146131805157593053e+00 2.327195586347232674e-11
2.169054441260744870e+00 2.250568907521056782e-11
2.191977077363897131e+00 2.176177759529679283e-11
2.214899713467048947e+00 2.103964665433980026e-11
2.237822349570200764e+00 2.033873544159221599e-11
2.260744985673352581e+00 1.965849672269002425e-11
2.283667621776504397e+00 1.899839646877835607e-11
2.306590257879656214e+00 1.835791349679988305e-11
2.329512893982808031e+00 1.773653912072465215e-11
2.352435530085959847e+00 1.713377681350213285e-11
2.375358166189111664e+00 1.654914187951788620e-11
2.398280802292263481e+00 1.598216113733795346e-11
2.421203438395415297e+00 1.543237261252540299e-11
2.444126074498567114e+00 1.489932524031297001e-11
2.467048710601718930e+00 1.438257857791636851e-11
2.489971346704870747e+00 1.388170252627197715e-11
2.512893982808022564e+00 1.339627706098228298e-11
2.535816618911174825e+00 1.292589197225141160e-11
2.558739255014326641e+00 1.247014661359201108e-11
2.581661891117478458e+00 1.202864965908351128e-11
2.604584527220630275e+00 1.160101886896050387e-11
2.627507163323782091e+00 1.118688086330840525e-11
2.650429799426934352e+00 1.078587090364211832e-11
2.673352435530086169e+00 1.039763268214212977e-11
2.696275071633237985e+00 1.002181811832067481e-11
2.719197707736389802e+00 9.658087162889769357e-12
2.742120343839541619e+00 9.306107608601337478e-12
2.765042979942693435e+00 8.965554907828917452e-12
2.787965616045845252e+00 8.636111996659439161e-12
2.810888252148997069e+00 8.317469125263291023e-12
2.833810888252148885e+00 8.009323694310364738e-12
2.856733524355300702e+00 7.711380097200157065e-12
2.879656160458452518e+00 7.423349567874116122e-12
2.902578796561604335e+00 7.144950033979523943e-12
2.925501432664756152e+00 6.875905975155174751e-12
2.948424068767907968e+00 6.615948286210879119e-12
2.971346704871059785e+00 6.364814144974756398e-12
2.994269340974212046e+00 6.122246884584833677e-12
3.017191977077363862e+00 5.887995870004401821e-12
3.040114613180515679e+00 5.661816378543829687e-12
3.063037249283667496e+00 5.443469484175590335e-12
3.085959885386819312e+00 5.232721945433279077e-12
3.108882521489971129e+00 5.029346096690272596e-12
3.131805157593122946e+00 4.833119742618675378e-12
3.154727793696275207e+00 4.643826055634809017e-12
3.177650429799427023e+00 4.461253476143348375e-12
3.200573065902578840e+00 4.285195615398391438e-12
3.223495702005730656e+00 4.115451160806539206e-12
3.246418338108882473e+00 3.951823783503682639e-12
3.269340974212034290e+00 3.794122048044559133e-12
3.292263610315186106e+00 3.642159324051403083e-12
3.315186246418337923e+00 3.495753699675689501e-12
3.338108882521489740e+00 3.354727896734632420e-12
3.361031518624641556e+00 3.218909187392105032e-12
3.383954154727793817e+00 3.088129312261493392e-12
3.406876790830945634e+00 2.962224399816132845e-12
3.429799426934097450e+00 2.841034887000914899e-12
3.452722063037249267e+00 2.724405440946776281e-12
3.475644699140401084e+00 2.612184881697648977e-12
3.498567335243552900e+00 2.504226105867376962e-12
3.521489971346704717e+00 2.400386011151798347e-12
3.544412607449856534e+00 2.300525421628829733e-12
3.567335243553008350e+00 2.204509013786704181e-12
3.590257879656160167e+00 2.112205243227760474e-12
3.613180515759312428e+00 2.023486272002060943e-12
3.636103151862464244e+00 1.938227896531809720e-12
3.659025787965616061e+00 1.856309476093879206e-12
3.681948424068767878e+00 1.777613861833901042e-12
3.704871060171919694e+00 1.702027326291035105e-12
3.727793696275071511e+00 1.629439493418030855e-12
3.750716332378223328e+00 1.559743269086207767e-12
3.773638968481375144e+00 1.492834772069759473e-12
3.796561604584526961e+00 1.428613265508106894e-12
3.819484240687678778e+00 1.366981088849068288e-12
3.842406876790831038e+00 1.307843590279250986e-12
3.865329512893982855e+00 1.251109059651364223e-12
3.888252148997134672e+00 1.196688661921088741e-12
3.911174785100286488e+00 1.144496371108749081e-12
3.934097421203438305e+00 1.094448904803270622e-12
3.957020057306590122e+00 1.046465659227843743e-12
3.979942693409741938e+00 1.000468644888314726e-12
4.002865329512893311e+00 9.563824228266441274e-13
4.025787965616045128e+00 9.141340415027546225e-13
4.048710601719197832e+00 8.736529743288585676e-13
4.071633237822349649e+00 8.348710578808010773e-13
4.094555873925501466e+00 7.977224308111809351e-13
4.117478510028653282e+00 7.621434734890498085e-13
4.140401146131805099e+00 7.280727483907955650e-13
4.163323782234956916e+00 6.954509412665961677e-13
4.186246418338108732e+00 6.642208031068359843e-13
4.209169054441260549e+00 6.343270929337296722e-13
4.232091690544412366e+00 6.057165214467785120e-13
4.255014326647564182e+00 5.783376955599067423e-13
4.277936962750716887e+00 5.521410638902393005e-13
4.300859598853868704e+00 5.270788633073183435e-13
4.323782234957020520e+00 5.031050667542180028e-13
4.346704871060172337e+00 4.801753327619748969e-13
4.369627507163324154e+00 4.582469575002712286e-13
4.392550143266475970e+00 4.372788310397055988e-13
4.415472779369627787e+00 4.172314011037507331e-13
4.438395415472779604e+00 3.980666505602280870e-13
4.461318051575931420e+00 3.797481001365571857e-13
4.484240687679083237e+00 3.622408564951661744e-13
4.507163323782235054e+00 3.455117390755200704e-13
4.530085959885386870e+00 3.295295377655005873e-13
4.553008595988538687e+00 3.142654771022929522e-13
4.575931232091690504e+00 2.996939888736334604e-13
4.598853868194842320e+00 2.857939185074466805e-13
4.621776504297994137e+00 2.725503034659074223e-13
4.644699140401145954e+00 2.599568539716154552e-13
4.667621776504297770e+00 2.480192277543843580e-13
4.690544412607449587e+00 2.367591139619807296e-13
4.713467048710601404e+00 2.262190257956651897e-13
4.736389684813753220e+00 2.164675541719910231e-13
4.759312320916905037e+00 2.076046724762705795e-13
4.782234957020056854e+00 1.997665299090170970e-13
