# log10(T) rate(cm^3/s)
# Total Recomb Rates
1.000000000000000000e+00 1.804384802575073225e-10
1.022922636103151817e+00 1.773966669125039605e-10
1.045845272206303633e+00 1.739631713954337318e-10
1.068767908309455672e+00 1.701907958819173857e-10
1.091690544412607489e+00 1.661327394219275988e-10
1.114613180515759305e+00 1.618415429838518826e-10
1.137535816618911122e+00 1.573681284249600850e-10
1.160458452722062939e+00 1.527609473533147229e-10
1.183381088825214977e+00 1.480652546094198097e-10
1.206303724928366794e+00 1.433225186907323322e-10
1.229226361031518611e+00 1.385699778264574490e-10
1.252148997134670427e+00 1.338403457685851143e-10
1.275071633237822244e+00 1.291616660583027028e-10
1.297994269340974283e+00 1.245573080179354512e-10
1.320916905444126099e+00 1.200460924945459633e-10
1.343839541547277916e+00 1.156425308823315236e-10
1.366762177650429733e+00 1.113571575166634058e-10
1.389684813753581771e+00 1.071969333714314395e-10
1.412607449856733588e+00 1.031656981724348999e-10
1.435530085959885405e+00 9.926464850399873957e-11
1.458452722063037221e+00 9.549282107190883134e-11
1.481375358166189038e+00 9.184756276065154824e-11
1.504297994269340855e+00 8.832497221762015498e-11
1.527220630372492671e+00 8.492030113637481364e-11
1.550143266475644710e+00 8.162830693913781338e-11
1.573065902578796527e+00 7.844355195587868822e-11
1.595988538681948565e+00 7.536064729064980324e-11
1.618911174785100382e+00 7.237444223276319264e-11
1.641833810888252199e+00 6.948016223758890813e-11
1.664756446991404015e+00 6.667350014019842055e-11
1.687679083094555832e+00 6.395066638307651123e-11
1.710601719197707649e+00 6.130840467425875271e-11
1.733524355300859465e+00 5.874397970304093777e-11
1.756446991404011282e+00 5.625514339845678076e-11
1.779369627507163321e+00 5.384008579861094025e-11
1.802292263610315137e+00 5.149737598426623043e-11
1.825214899713467176e+00 4.922589779060670301e-11
1.848137535816618993e+00 4.702478421137318280e-11
1.871060171919770809e+00 4.489335360363855750e-11
1.893982808022922626e+00 4.283105003186399981e-11
1.916905444126074443e+00 4.083738938742576577e-11
1.939828080229226259e+00 3.891191230451307809e-11
1.962750716332378076e+00 3.705414437554882421e-11
1.985673352435529893e+00 3.526356375150776304e-11
2.008595988538681709e+00 3.353957589097502534e-11
2.031518624641833526e+00 3.188149498838605558e-11
2.054441260744985343e+00 3.028853145574854015e-11
2.077363896848137603e+00 2.875978474102105419e-11
2.100286532951289420e+00 2.729424072770991623e-11
2.123209169054441237e+00 2.589077296220920123e-11
2.146131805157593053e+00 2.454814698713816709e-11
2.169054441260744870e+00 2.326502711106088085e-11
2.191977077363897131e+00 2.203998500972574409e-11
2.214899713467048947e+00 2.087150962512646127e-11
2.237822349570200764e+00 1.975801790151506637e-11
2.260744985673352581e+00 1.869786596853858595e-11
2.283667621776504397e+00 1.768936044855986878e-11
2.306590257879656214e+00 1.673076962649140421e-11
2.329512893982808031e+00 1.582033427533941864e-11
2.352435530085959847e+00 1.495627797888178434e-11
2.375358166189111664e+00 1.413681683464281207e-11
2.398280802292263481e+00 1.336016845605131886e-11
2.421203438395415297e+00 1.262456022311955735e-11
2.444126074498567114e+00 1.192823675717078129e-11
