# log10(T) rate(cm^3/s)
# Total Recomb Rates
1.000000000000000000e+00 1.681024202045242525e-10
1.022922636103151817e+00 1.636330621672702192e-10
1.045845272206303633e+00 1.594727422240923649e-10
1.068767908309455672e+00 1.556331947880403698e-10
1.091690544412607489e+00 1.521235174896760026e-10
1.114613180515759305e+00 1.489492029118432250e-10
1.137535816618911122e+00 1.461112959770723614e-10
1.160458452722062939e+00 1.436057391920518330e-10
1.183381088825214977e+00 1.414229537785076831e-10
1.206303724928366794e+00 1.395476866870506018e-10
1.229226361031518611e+00 1.379591336637534191e-10
1.252148997134670427e+00 1.366313289799725185e-10
1.275071633237822244e+00 1.355337749454747978e-10
1.297994269340974283e+00 1.346322702607707656e-10
1.320916905444126099e+00 1.338898864468478924e-10
1.343839541547277916e+00 1.332680362968932417e-10
1.366762177650429733e+00 1.327275773281261674e-10
1.389684813753581771e+00 1.322298960176289346e-10
1.412607449856733588e+00 1.317379244090323271e-10
1.435530085959885405e+00 1.312170486147715032e-10
1.458452722063037221e+00 1.306358779700911776e-10
1.481375358166189038e+00 1.299668533726770523e-10
1.504297994269340855e+00 1.291866830482009257e-10
1.527220630372492671e+00 1.282766031349013244e-10
1.550143266475644710e+00 1.272224687181988989e-10
1.573065902578796527e+00 1.260146880067903819e-10
1.595988538681948565e+00 1.246480180411438703e-10
1.618911174785100382e+00 1.231212445469587089e-10
1.641833810888252199e+00 1.214367712361231002e-10
1.664756446991404015e+00 1.196001450276452345e-10
1.687679083094555832e+00 1.176195433918743639e-10
1.710601719197707649e+00 1.155052484637949160e-10
1.733524355300859465e+00 1.132691299397543184e-10
1.756446991404011282e+00 1.109241553311719858e-10
1.779369627507163321e+00 1.084839421928349914e-10
1.802292263610315137e+00 1.059623627723078369e-10
1.825214899713467176e+00 1.033732074222301535e-10
1.848137535816618993e+00 1.007299093207205319e-10
1.871060171919770809e+00 9.804532974368697743e-11
1.893982808022922626e+00 9.533160045044276790e-11
1.916905444126074443e+00 9.260001774050164758e-11
1.939828080229226259e+00 8.986098141606699290e-11
1.962750716332378076e+00 8.712397119432231980e-11
1.985673352435529893e+00 8.439755297328969512e-11
2.008595988538681709e+00 8.168940765982442740e-11
2.031518624641833526e+00 7.900637590415238094e-11
2.054441260744985343e+00 7.635451293987494342e-11
2.077363896848137603e+00 7.373914869927560803e-11
2.100286532951289420e+00 7.116494937438775836e-11
2.123209169054441237e+00 6.863597755642199231e-11
2.146131805157593053e+00 6.615574896071862991e-11
2.169054441260744870e+00 6.372728450027811568e-11
2.191977077363897131e+00 6.135315709273933514e-11
2.214899713467048947e+00 5.903553307077775787e-11
2.237822349570200764e+00 5.677620842124617801e-11
2.260744985673352581e+00 5.457664031748364784e-11
2.283667621776504397e+00 5.243797454941821815e-11
2.306590257879656214e+00 5.036106951632782930e-11
2.329512893982808031e+00 4.834651744620356169e-11
2.352435530085959847e+00 4.639466346102570012e-11
2.375358166189111664e+00 4.450562303421830035e-11
2.398280802292263481e+00 4.267929829785780935e-11
2.421203438395415297e+00 4.091539356299531543e-11
2.444126074498567114e+00 3.921343032429198655e-11
2.467048710601718930e+00 3.757276193535538022e-11
2.489971346704870747e+00 3.599258806703098592e-11
2.512893982808022564e+00 3.447196899917849738e-11
2.535816618911174825e+00 3.300983974763332367e-11
2.558739255014326641e+00 3.160502399169259083e-11
2.581661891117478458e+00 3.025624774252446625e-11
2.604584527220630275e+00 2.896215267795208368e-11
2.627507163323782091e+00 2.772130906248934178e-11
2.650429799426934352e+00 2.653222817165576905e-11
2.673352435530086169e+00 2.539337414487862760e-11
2.696275071633237985e+00 2.430317520025578652e-11
2.719197707736389802e+00 2.326003415583647752e-11
2.742120343839541619e+00 2.226233821482329145e-11
2.765042979942693435e+00 2.130846798538586371e-11
2.787965616045845252e+00 2.039680571903097641e-11
2.810888252148997069e+00 1.952574276440156579e-11
2.833810888252148885e+00 1.869368624599564364e-11
2.856733524355300702e+00 1.789906498994558162e-11
2.879656160458452518e+00 1.714033473230066724e-11
2.902578796561604335e+00 1.641598265995184792e-11
2.925501432664756152e+00 1.572453135095898205e-11
2.948424068767907968e+00 1.506454219942204875e-11
2.971346704871059785e+00 1.443461842873895981e-11
2.994269340974212046e+00 1.383340781295844675e-11
3.017191977077363862e+00 1.325960523402405455e-11
3.040114613180515679e+00 1.271195519686716162e-11
3.063037249283667496e+00 1.218925439849508028e-11
3.085959885386819312e+00 1.169035439738085041e-11
3.108882521489971129e+00 1.121416435556171125e-11
3.131805157593122946e+00 1.075965373341305351e-11
3.154727793696275207e+00 1.032585471755189489e-11
3.177650429799427023e+00 9.911864072021799681e-12
3.200573065902578840e+00 9.516844040267908672e-12
3.223495702005730656e+00 9.140021907369261554e-12
3.246418338108882473e+00 8.780687870140276545e-12
3.269340974212034290e+00 8.438190960207057932e-12
3.292263610315186106e+00 8.111932915273592144e-12
3.315186246418337923e+00 7.801360080415577960e-12
3.338108882521489740e+00 7.505953621346399389e-12
3.361031518624641556e+00 7.225218519043052903e-12
3.383954154727793817e+00 6.958671964983279196e-12
3.406876790830945634e+00 6.705831868824326683e-12
3.429799426934097450e+00 6.466206214035271456e-12
3.452722063037249267e+00 6.239283949586401116e-12
3.475644699140401084e+00 6.024527994226653772e-12
3.498567335243552900e+00 5.821370768502343925e-12
3.521489971346704717e+00 5.629212477659680733e-12
3.544412607449856534e+00 5.447422166930799275e-12
3.567335243553008350e+00 5.275341379419926515e-12
3.590257879656160167e+00 5.112290082585340186e-12
3.613180515759312428e+00 4.957574404078728609e-12
3.636103151862464244e+00 4.810495637975143829e-12
3.659025787965616061e+00 4.670359949482416243e-12
3.681948424068767878e+00 4.536488216899984076e-12
3.704871060171919694e+00 4.408225497579201730e-12
3.727793696275071511e+00 4.284949682026892485e-12
3.750716332378223328e+00 4.166078999466594706e-12
3.773638968481375144e+00 4.051078153793997451e-12
3.796561604584526961e+00 3.939462999945990087e-12
3.819484240687678778e+00 3.830803822271842806e-12
3.842406876790831038e+00 3.724727460001936534e-12
3.865329512893982855e+00 3.620918756114883372e-12
3.888252148997134672e+00 3.519122098903199356e-12
3.911174785100286488e+00 3.419144182419534936e-12
3.934097421203438305e+00 3.320859509440450532e-12
3.957020057306590122e+00 3.224220537340279901e-12
3.979942693409741938e+00 3.129274618471760852e-12
4.002865329512893311e+00 3.036189871836209589e-12
4.025787965616045128e+00 2.945291691688863654e-12
4.048710601719197832e+00 2.857110633486430906e-12
4.071633237822349649e+00 2.772440883588338367e-12
4.094555873925501466e+00 2.692406509096165352e-12
4.117478510028653282e+00 2.618530439176413991e-12
4.140401146131805099e+00 2.552799022327290210e-12
4.163323782234956916e+00 2.497713482631290706e-12
4.186246418338108732e+00 2.456319091258150979e-12
4.209169054441260549e+00 2.432203681511620891e-12
4.232091690544412366e+00 2.429459351617552958e-12
4.255014326647564182e+00 2.452604631649150509e-12
4.277936962750716887e+00 2.506468585933589233e-12
4.300859598853868704e+00 2.596042632401703618e-12
4.323782234957020520e+00 2.726309568599989782e-12
4.346704871060172337e+00 2.902061763392517443e-12
4.369627507163324154e+00 3.127721284643757322e-12
4.392550143266475970e+00 3.407173777478935562e-12
4.415472779369627787e+00 3.743625409448033978e-12
4.438395415472779604e+00 4.139488664374753765e-12
4.461318051575931420e+00 4.596298871877473837e-12
4.484240687679083237e+00 5.114659805683373634e-12
4.507163323782235054e+00 5.694214055270057088e-12
4.530085959885386870e+00 6.333632532132775784e-12
4.553008595988538687e+00 7.030617497977460155e-12
4.575931232091690504e+00 7.781914714687976127e-12
4.598853868194842320e+00 8.583332328069807475e-12
4.621776504297994137e+00 9.429766413541323926e-12
4.644699140401145954e+00 1.031523523274291263e-11
4.667621776504297770e+00 1.123292576402990917e-11
4.690544412607449587e+00 1.217525671618721583e-11
4.713467048710601404e+00 1.313396192949364031e-11
4.736389684813753220e+00 1.410019689546856472e-11
4.759312320916905037e+00 1.506466930191939008e-11
4.782234957020056854e+00 1.601779232836348225e-11
4.805157593123208670e+00 1.694985719677493450e-11
4.828080229226360487e+00 1.785121951519578087e-11
4.851002865329512304e+00 1.871249246423708229e-11
4.873925501432664120e+00 1.952473901092032828e-11
4.896848137535815937e+00 2.027965514242824360e-11
4.919770773638967754e+00 2.096973656369048002e-11
4.942693409742119570e+00 2.158842230188466996e-11
4.965616045845272275e+00 2.213021006943837170e-11
4.988538681948424092e+00 2.259073989621909663e-11
5.011461318051575908e+00 2.296684429260317968e-11
5.034383954154727725e+00 2.325656490541374526e-11
5.057306590257879542e+00 2.345913716263414030e-11
5.080229226361031358e+00 2.357494568718971656e-11
5.103151862464183175e+00 2.360545424541858039e-11
5.126074498567334992e+00 2.355311466372995927e-11
5.148997134670486808e+00 2.342125950527942697e-11
5.171919770773638625e+00 2.321398337533648109e-11
5.194842406876790442e+00 2.293601756113545739e-11
5.217765042979942258e+00 2.259260235872766769e-11
5.240687679083094075e+00 2.218936094736959879e-11
5.263610315186245892e+00 2.173217809114601312e-11
5.286532951289397708e+00 2.122708632288950812e-11
5.309455587392550413e+00 2.068016163538380051e-11
5.332378223495702230e+00 2.009743010008786530e-11
5.355300859598854046e+00 1.948478627718949992e-11
5.378223495702005863e+00 1.884792378833835774e-11
5.401146131805157680e+00 1.819227800399544449e-11
5.424068767908309496e+00 1.752298045447925206e-11
5.446991404011461313e+00 1.684482430651842856e-11
5.469914040114613130e+00 1.616224005107496769e-11
5.492836676217764946e+00 1.547928041664708988e-11
5.515759312320916763e+00 1.479961344699611759e-11
5.538681948424068580e+00 1.412652265437229717e-11
5.561604584527220396e+00 1.346291316987531101e-11
5.584527220630372213e+00 1.281132285301393920e-11
5.607449856733524030e+00 1.217393738500131055e-11
5.630372492836675846e+00 1.155260844795470051e-11
5.653295128939827663e+00 1.094887417911728056e-11
5.676217765042979480e+00 1.036398118068917084e-11
5.699140401146131296e+00 9.798907458046322303e-12
5.722063037249283113e+00 9.254385749137921575e-12
5.744985673352435818e+00 8.730926793567520851e-12
5.767908309455587634e+00 8.228842169815302952e-12
5.790830945558739451e+00 7.748266402317991109e-12
5.813753581661891268e+00 7.289178106181692333e-12
5.836676217765043084e+00 6.851419995975728254e-12
5.859598853868194901e+00 6.434717636408964645e-12
5.882521489971346718e+00 6.038696856966536027e-12
5.905444126074498534e+00 5.662899790158691281e-12
5.928366762177650351e+00 5.306799524367629806e-12
5.951289398280802168e+00 4.969813387891970662e-12
5.974212034383953984e+00 4.651314901233569742e-12
5.997134670487105801e+00 4.350644450511351375e-12
6.020057306590257618e+00 4.067118746681208632e-12
6.042979942693409434e+00 3.800039143533166540e-12
6.065902578796561251e+00 3.548698892743976297e-12
6.088825214899713067e+00 3.312389417068186772e-12
6.111747851002864884e+00 3.090405683497982148e-12
6.134670487106016701e+00 2.882050757313330232e-12
6.157593123209168517e+00 2.686639615737055943e-12
6.180515759312320334e+00 2.503502296717876678e-12
6.203438395415473039e+00 2.331986454458307221e-12
6.226361031518624856e+00 2.171459388913273386e-12
6.249283667621776672e+00 2.021309611799742513e-12
6.272206303724928489e+00 1.880948006834624274e-12
6.295128939828080306e+00 1.749808637081612626e-12
6.318051575931232122e+00 1.627349247535935886e-12
6.340974212034383939e+00 1.513051506482484969e-12
6.363896848137535756e+00 1.406421024781293693e-12
6.386819484240687572e+00 1.306987188101903607e-12
6.409742120343839389e+00 1.214302833267679917e-12
6.432664756446991206e+00 1.127943796294836409e-12
6.455587392550143022e+00 1.047508356421994101e-12
6.478510028653294839e+00 9.726165974211551922e-13
6.501432664756446655e+00 9.029097047515774350e-13
6.524355300859598472e+00 8.380492146521459346e-13
6.547277936962750289e+00 7.777162290509801127e-13
6.570200573065902105e+00 7.216106081871879671e-13
6.593123209169053922e+00 6.694501510720613398e-13
6.616045845272205739e+00 6.209697723485879599e-13
6.638968481375357555e+00 5.759206827220879817e-13
6.661891117478510260e+00 5.340695789147179985e-13
6.684813753581662077e+00 4.951978480269266717e-13
6.707736389684813894e+00 4.591007902548693760e-13
6.730659025787965710e+00 4.255868631006375455e-13
6.753581661891117527e+00 3.944769495088863082e-13
6.776504297994269344e+00 3.656036517574859329e-13
6.799426934097421160e+00 3.388106124101807743e-13
6.822349570200572977e+00 3.139518631961333274e-13
6.845272206303724793e+00 2.908912023056875223e-13
6.868194842406876610e+00 2.695016002756038447e-13
6.891117478510028427e+00 2.496646343731241195e-13
6.914040114613180243e+00 2.312699511699697862e-13
6.936962750716332060e+00 2.142147568188934634e-13
6.959885386819483877e+00 1.984033344014971426e-13
6.982808022922635693e+00 1.837465876020129918e-13
7.005730659025787510e+00 1.701616098735158644e-13
7.028653295128939327e+00 1.575712781969358445e-13
7.051575931232091143e+00 1.459038704860343307e-13
7.074498567335242960e+00 1.350927056603616427e-13
7.097421203438395665e+00 1.250758053906346053e-13
7.120343839541547482e+00 1.157955765147624471e-13
7.143266475644699298e+00 1.071985131260013284e-13
7.166189111747851115e+00 9.923491734578378790e-14
7.189111747851002931e+00 9.185863781116742900e-14
7.212034383954154748e+00 8.502682492936720153e-14
7.234957020057306565e+00 7.869970197837051796e-14
7.257879656160458381e+00 7.284035116226977548e-14
7.280802292263610198e+00 6.741451376188572614e-14
7.303724928366762015e+00 6.239040355482515729e-14
7.326647564469913831e+00 5.773853271374372815e-14
7.349570200573065648e+00 5.343154942679038329e-14
7.372492836676217465e+00 4.944408651959099591e-14
7.395415472779369281e+00 4.575262039335276994e-14
7.418338108882521098e+00 4.233533962846504137e-14
7.441260744985672915e+00 3.917202263711363424e-14
7.464183381088824731e+00 3.624392378173969938e-14
7.487106017191976548e+00 3.353366740851977915e-14
7.510028653295128365e+00 3.102514927631775250e-14
7.532951289398280181e+00 2.870344489168229002e-14
7.555873925501432886e+00 2.655472428938215559e-14
7.578796561604584703e+00 2.456617282565325262e-14
7.601719197707736519e+00 2.272591757775472313e-14
7.624641833810888336e+00 2.102295896860164359e-14
7.647564469914040153e+00 1.944710725915557990e-14
7.670487106017191969e+00 1.798892357394089408e-14
7.693409742120343786e+00 1.663966514653141109e-14
7.716332378223495603e+00 1.539123449215424800e-14
7.739255014326647419e+00 1.423613223371923467e-14
7.762177650429799236e+00 1.316741332564418708e-14
7.785100286532951053e+00 1.217864643684914030e-14
7.808022922636102869e+00 1.126387627028107292e-14
7.830945558739254686e+00 1.041758861134851511e-14
7.853868194842406503e+00 9.634677911738361680e-15
7.876790830945558319e+00 8.910417228300098473e-15
7.899713467048710136e+00 8.240430349059756303e-15
7.922636103151861953e+00 7.620665950011607277e-15
7.945558739255013769e+00 7.047373637172310834e-15
7.968481375358165586e+00 6.517081738511768413e-15
7.991404011461317403e+00 6.026576719837465467e-15
8.014326647564470107e+00 5.572884107543569968e-15
8.037249283667621924e+00 5.153250809379693152e-15
8.060171919770773741e+00 4.765128732082313945e-15
8.083094555873925557e+00 4.406159601879626635e-15
8.106017191977077374e+00 4.074160900558589801e-15
8.128939828080229191e+00 3.767112836003890261e-15
8.151862464183381007e+00 3.483146271910343127e-15
8.174785100286532824e+00 3.220531546761216784e-15
8.197707736389684641e+00 2.977668117180838385e-15
8.220630372492836457e+00 2.753074965435614789e-15
8.243553008595988274e+00 2.545381715196115597e-15
8.266475644699140091e+00 2.353320403706367979e-15
8.289398280802291907e+00 2.175717862255147999e-15
8.312320916905443724e+00 2.011488660327421173e-15
8.335243553008595541e+00 1.859628572050045639e-15
