# log10(T) rate(cm^3/s)
# Total Recomb Rates
1.000000000000000000e+00 3.897190929966281397e-10
1.022922636103151817e+00 3.781471789864348980e-10
1.045845272206303633e+00 3.669047328067780595e-10
1.068767908309455672e+00 3.559828804792635386e-10
1.091690544412607489e+00 3.453729723592250515e-10
1.114613180515759305e+00 3.350665776505577973e-10
1.137535816618911122e+00 3.250554790665747988e-10
1.160458452722062939e+00 3.153316676322299597e-10
1.183381088825214977e+00 3.058873376231925200e-10
1.206303724928366794e+00 2.967148816373914872e-10
1.229226361031518611e+00 2.878068857947742005e-10
1.252148997134670427e+00 2.791561250611653545e-10
1.275071633237822244e+00 2.707555586922354906e-10
1.297994269340974283e+00 2.625983257937219701e-10
1.320916905444126099e+00 2.546777409941728755e-10
1.343839541547277916e+00 2.469872902266097132e-10
1.366762177650429733e+00 2.395206266156344990e-10
1.389684813753581771e+00 2.322715664666231064e-10
1.412607449856733588e+00 2.252340853537765724e-10
1.435530085959885405e+00 2.184023143039111150e-10
1.458452722063037221e+00 2.117705360729958280e-10
1.481375358166189038e+00 2.053331815125505479e-10
1.504297994269340855e+00 1.990848260231361703e-10
1.527220630372492671e+00 1.930201860922725275e-10
1.550143266475644710e+00 1.871341159142305491e-10
1.573065902578796527e+00 1.814216040892432761e-10
1.595988538681948565e+00 1.758777703997866875e-10
1.618911174785100382e+00 1.704978626616776171e-10
1.641833810888252199e+00 1.652772536478577117e-10
1.664756446991404015e+00 1.602114380829001684e-10
1.687679083094555832e+00 1.552960297066652809e-10
1.710601719197707649e+00 1.505267584065514633e-10
1.733524355300859465e+00 1.458994674206163178e-10
1.756446991404011282e+00 1.414101106211828146e-10
1.779369627507163321e+00 1.370547499062641998e-10
1.802292263610315137e+00 1.328295527654392005e-10
1.825214899713467176e+00 1.287307901669279248e-10
1.848137535816618993e+00 1.247548350625475350e-10
1.871060171919770809e+00 1.208981620643897836e-10
1.893982808022922626e+00 1.171573492498523860e-10
1.916905444126074443e+00 1.135290836235472944e-10
1.939828080229226259e+00 1.100101724899476579e-10
1.962750716332378076e+00 1.065975637869366029e-10
1.985673352435529893e+00 1.032883791273022182e-10
2.008595988538681709e+00 1.000799636334914929e-10
2.031518624641833526e+00 9.696995631400893013e-11
2.054441260744985343e+00 9.395638341182984992e-11
2.077363896848137603e+00 9.103777465684198202e-11
2.100286532951289420e+00 8.821329868397259310e-11
2.123209169054441237e+00 8.548290932606277535e-11
2.146131805157593053e+00 8.284748964223638673e-11
2.169054441260744870e+00 8.030897621988423487e-11
2.191977077363897131e+00 7.787044341106289677e-11
2.214899713467048947e+00 7.553612656435838847e-11
2.237822349570200764e+00 7.331136554450242670e-11
2.260744985673352581e+00 7.120245501970782271e-11
2.283667621776504397e+00 6.921639577062897628e-11
2.306590257879656214e+00 6.736055080214545633e-11
2.329512893982808031e+00 6.564222015158231518e-11
2.352435530085959847e+00 6.406815767448642603e-11
2.375358166189111664e+00 6.264406051724617721e-11
2.398280802292263481e+00 6.137406649246565975e-11
2.421203438395415297e+00 6.026029560765298122e-11
2.444126074498567114e+00 5.930246948344759770e-11
2.467048710601718930e+00 5.849763671176168198e-11
2.489971346704870747e+00 5.784002409220275169e-11
2.512893982808022564e+00 5.732102412954602753e-11
2.535816618911174825e+00 5.692931924780566147e-11
2.558739255014326641e+00 5.665113389840799215e-11
2.581661891117478458e+00 5.647059796475056675e-11
2.604584527220630275e+00 5.637019919713155110e-11
2.627507163323782091e+00 5.633129915837775271e-11
2.650429799426934352e+00 5.633468631985401656e-11
2.673352435530086169e+00 5.636114122768428691e-11
2.696275071633237985e+00 5.639199152700605231e-11
2.719197707736389802e+00 5.640963839487888628e-11
2.742120343839541619e+00 5.639803984514562412e-11
2.765042979942693435e+00 5.634313975975452175e-11
2.787965616045845252e+00 5.623323389669510177e-11
2.810888252148997069e+00 5.605926534391725207e-11
2.833810888252148885e+00 5.581504208608827454e-11
2.856733524355300702e+00 5.549736898827420637e-11
2.879656160458452518e+00 5.510608624489738631e-11
2.902578796561604335e+00 5.464400691173938699e-11
2.925501432664756152e+00 5.411674812752505175e-11
2.948424068767907968e+00 5.353245435692723520e-11
2.971346704871059785e+00 5.290141639446546025e-11
2.994269340974212046e+00 5.223559651998541999e-11
3.017191977077363862e+00 5.154807733821245240e-11
3.040114613180515679e+00 5.085245853610508788e-11
3.063037249283667496e+00 5.016223111298660944e-11
3.085959885386819312e+00 4.949016179872270859e-11
3.108882521489971129e+00 4.884772088219235632e-11
3.131805157593122946e+00 4.824458439364531713e-11
3.154727793696275207e+00 4.768823675247208471e-11
3.177650429799427023e+00 4.718369314658782167e-11
3.200573065902578840e+00 4.673335279792556005e-11
3.223495702005730656e+00 4.633698572075362551e-11
3.246418338108882473e+00 4.599184738778814630e-11
3.269340974212034290e+00 4.569290853792344720e-11
3.292263610315186106e+00 4.543318164299426310e-11
3.315186246418337923e+00 4.520412153262989773e-11
3.338108882521489740e+00 4.499607538758672272e-11
3.361031518624641556e+00 4.479875663116490452e-11
3.383954154727793817e+00 4.460171796226200053e-11
3.406876790830945634e+00 4.439480063721201249e-11
3.429799426934097450e+00 4.416853988736086267e-11
3.452722063037249267e+00 4.391450985399009710e-11
3.475644699140401084e+00 4.362559546013487296e-11
3.498567335243552900e+00 4.329618306000295332e-11
3.521489971346704717e+00 4.292226633913716384e-11
3.544412607449856534e+00 4.250146858066879862e-11
3.567335243553008350e+00 4.203298682988180388e-11
3.590257879656160167e+00 4.151746742455110278e-11
3.613180515759312428e+00 4.095682556087132897e-11
3.636103151862464244e+00 4.035402382147498308e-11
3.659025787965616061e+00 3.971282576100614423e-11
3.681948424068767878e+00 3.903754067803465230e-11
3.704871060171919694e+00 3.833277465533765665e-11
3.727793696275071511e+00 3.760320097673526510e-11
3.750716332378223328e+00 3.685336035846999040e-11
3.773638968481375144e+00 3.608749834618905625e-11
3.796561604584526961e+00 3.530944402085398028e-11
3.819484240687678778e+00 3.452253110933928730e-11
3.842406876790831038e+00 3.372955994763181653e-11
3.865329512893982855e+00 3.293279667449280508e-11
3.888252148997134672e+00 3.213400464442841478e-11
3.911174785100286488e+00 3.133450236227039677e-11
3.934097421203438305e+00 3.053524219734401222e-11
3.957020057306590122e+00 2.973690460008690776e-11
3.979942693409741938e+00 2.894000333216834090e-11
4.002865329512893311e+00 2.814499812494967270e-11
4.025787965616045128e+00 2.735241200963774397e-11
4.048710601719197832e+00 2.656295117880641850e-11
4.071633237822349649e+00 2.577762558374165821e-11
4.094555873925501466e+00 2.499786856270824390e-11
4.117478510028653282e+00 2.422565369744824958e-11
4.140401146131805099e+00 2.346360687511563508e-11
4.163323782234956916e+00 2.271511120879122266e-11
4.186246418338108732e+00 2.198440198743643780e-11
4.209169054441260549e+00 2.127664807483810961e-11
4.232091690544412366e+00 2.059801504874177254e-11
4.255014326647564182e+00 1.995570384597210023e-11
4.277936962750716887e+00 1.935795690378481485e-11
4.300859598853868704e+00 1.881402211235633618e-11
4.323782234957020520e+00 1.833406384133672554e-11
4.346704871060172337e+00 1.792901046954840602e-11
4.369627507163324154e+00 1.761032974787441321e-11
4.392550143266475970e+00 1.738972724191242259e-11
4.415472779369627787e+00 1.727876895825838958e-11
4.438395415472779604e+00 1.728843658132521006e-11
4.461318051575931420e+00 1.742863170795522213e-11
4.484240687679083237e+00 1.770765301241672911e-11
4.507163323782235054e+00 1.813167631092718638e-11
4.530085959885386870e+00 1.870427108112604635e-11
4.553008595988538687e+00 1.942598750175052569e-11
4.575931232091690504e+00 2.029404530105262697e-11
4.598853868194842320e+00 2.130214986851281463e-11
4.621776504297994137e+00 2.244045281011159977e-11
4.644699140401145954e+00 2.369566430786259819e-11
4.667621776504297770e+00 2.505131431082184509e-11
4.690544412607449587e+00 2.648814975867859505e-11
4.713467048710601404e+00 2.798464660468313834e-11
4.736389684813753220e+00 2.951760901845546061e-11
4.759312320916905037e+00 3.106282419177464111e-11
4.782234957020056854e+00 3.259573974140790096e-11
4.805157593123208670e+00 3.409213165114285644e-11
4.828080229226360487e+00 3.552873367289019740e-11
4.851002865329512304e+00 3.688380363732860407e-11
4.873925501432664120e+00 3.813760767092401560e-11
4.896848137535815937e+00 3.927280934234279410e-11
4.919770773638967754e+00 4.027475678155829229e-11
4.942693409742119570e+00 4.113166642744856379e-11
4.965616045845272275e+00 4.183470696460009710e-11
4.988538681948424092e+00 4.237799101416564593e-11
5.011461318051575908e+00 4.275848515405751066e-11
5.034383954154727725e+00 4.297585085401997881e-11
5.057306590257879542e+00 4.303222998307754579e-11
5.080229226361031358e+00 4.293198879109689192e-11
5.103151862464183175e+00 4.268143382318643034e-11
5.126074498567334992e+00 4.228851224904330342e-11
5.148997134670486808e+00 4.176250773241725649e-11
5.171919770773638625e+00 4.111374137133405149e-11
5.194842406876790442e+00 4.035328553298464263e-11
5.217765042979942258e+00 3.949269669241295084e-11
5.240687679083094075e+00 3.854377174292213665e-11
5.263610315186245892e+00 3.751833073800819238e-11
5.286532951289397708e+00 3.642802768895918023e-11
5.309455587392550413e+00 3.528418990085378456e-11
5.332378223495702230e+00 3.409768538994941836e-11
5.355300859598854046e+00 3.287881718349737464e-11
5.378223495702005863e+00 3.163724274673683688e-11
5.401146131805157680e+00 3.038191639347020130e-11
5.424068767908309496e+00 2.912105229516197116e-11
5.446991404011461313e+00 2.786210558634766368e-11
5.469914040114613130e+00 2.661176904857103021e-11
5.492836676217764946e+00 2.537598291924729564e-11
5.515759312320916763e+00 2.415995549554395280e-11
5.538681948424068580e+00 2.296819236847402667e-11
5.561604584527220396e+00 2.180453231331087480e-11
5.584527220630372213e+00 2.067218806631151324e-11
5.607449856733524030e+00 1.957379042461477919e-11
5.630372492836675846e+00 1.851143430893634565e-11
5.653295128939827663e+00 1.748672562279541023e-11
5.676217765042979480e+00 1.650082792512738591e-11
5.699140401146131296e+00 1.555450810447839970e-11
5.722063037249283113e+00 1.464818040264196532e-11
5.744985673352435818e+00 1.378194828391893043e-11
5.767908309455587634e+00 1.295564378321331993e-11
5.790830945558739451e+00 1.216886409140738376e-11
5.813753581661891268e+00 1.142100524878500225e-11
5.836676217765043084e+00 1.071129291517844693e-11
5.859598853868194901e+00 1.003881026744311609e-11
5.882521489971346718e+00 9.402523139600102523e-12
5.905444126074498534e+00 8.801302568016514291e-12
5.928366762177650351e+00 8.233944933732998462e-12
5.951289398280802168e+00 7.699189907902029710e-12
5.974212034383953984e+00 7.195736406557252299e-12
5.997134670487105801e+00 6.722256750526638811e-12
6.020057306590257618e+00 6.277409208490271017e-12
6.042979942693409434e+00 5.859849079217894704e-12
6.065902578796561251e+00 5.468238445843418277e-12
6.088825214899713067e+00 5.101254713049552255e-12
6.111747851002864884e+00 4.757598018986180775e-12
6.134670487106016701e+00 4.435997598669788065e-12
6.157593123209168517e+00 4.135217164892443219e-12
6.180515759312320334e+00 3.854059366145862642e-12
6.203438395415473039e+00 3.591369378171970589e-12
6.226361031518624856e+00 3.346037685669091478e-12
6.249283667621776672e+00 3.117002112486399739e-12
6.272206303724928489e+00 2.903249161416492448e-12
6.295128939828080306e+00 2.703814727634566079e-12
6.318051575931232122e+00 2.517784252281503303e-12
6.340974212034383939e+00 2.344292384179369123e-12
6.363896848137535756e+00 2.182522217921398622e-12
6.386819484240687572e+00 2.031704175484336769e-12
6.409742120343839389e+00 1.891114596099887675e-12
6.432664756446991206e+00 1.760074095531803314e-12
6.455587392550143022e+00 1.637945751344865089e-12
6.478510028653294839e+00 1.524133165469558504e-12
6.501432664756446655e+00 1.418078449620446748e-12
6.524355300859598472e+00 1.319260173165457062e-12
6.547277936962750289e+00 1.227191307089911935e-12
6.570200573065902105e+00 1.141417191940196667e-12
6.593123209169053922e+00 1.061513552214637571e-12
6.616045845272205739e+00 9.870845747002581865e-13
6.638968481375357555e+00 9.177610638024662803e-13
6.661891117478510260e+00 8.531986830156127621e-13
6.684813753581662077e+00 7.930762883428708584e-13
6.707736389684813894e+00 7.370943566785567349e-13
6.730659025787965710e+00 6.849735098830799037e-13
6.753581661891117527e+00 6.364531334663255082e-13
6.776504297994269344e+00 5.912900873993704774e-13
6.799426934097421160e+00 5.492575055432476743e-13
6.822349570200572977e+00 5.101436794633243998e-13
6.845272206303724793e+00 4.737510219371240307e-13
6.868194842406876610e+00 4.398951052139869546e-13
6.891117478510028427e+00 4.084037690034528160e-13
6.914040114613180243e+00 3.791162932173158655e-13
6.936962750716332060e+00 3.518826306349505375e-13
6.959885386819483877e+00 3.265626948748750733e-13
6.982808022922635693e+00 3.030256993146280166e-13
7.005730659025787510e+00 2.811495428873222196e-13
7.028653295128939327e+00 2.608202389821148769e-13
7.051575931232091143e+00 2.419313839760741777e-13
7.074498567335242960e+00 2.243836622182656791e-13
7.097421203438395665e+00 2.080843845674304776e-13
7.120343839541547482e+00 1.929470578484803056e-13
7.143266475644699298e+00 1.788909828378223542e-13
7.166189111747851115e+00 1.658408786121760141e-13
7.189111747851002931e+00 1.537265312997570890e-13
7.212034383954154748e+00 1.424824654570442930e-13
7.234957020057306565e+00 1.320476364596727828e-13
7.257879656160458381e+00 1.223651424436043724e-13
7.280802292263610198e+00 1.133819544640125098e-13
7.303724928366762015e+00 1.050486636558053886e-13
7.326647564469913831e+00 9.731924428290959601e-14
7.349570200573065648e+00 9.015083165482159331e-14
7.372492836676217465e+00 8.350351396990403111e-14
7.395415472779369281e+00 7.734013721674808719e-14
7.418338108882521098e+00 7.162612232882511709e-14
7.441260744985672915e+00 6.632929384466655478e-14
7.464183381088824731e+00 6.141971937688425360e-14
7.487106017191976548e+00 5.686955923929667570e-14
7.510028653295128365e+00 5.265292562298131543e-14
7.532951289398280181e+00 4.874575074984529844e-14
7.555873925501432886e+00 4.512566346682730780e-14
7.578796561604584703e+00 4.177187377556321454e-14
7.601719197707736519e+00 3.866506482163955856e-14
7.624641833810888336e+00 3.578729189475449449e-14
7.647564469914040153e+00 3.312188801645031472e-14
7.670487106017191969e+00 3.065337571581579846e-14
7.693409742120343786e+00 2.836738461584816888e-14
7.716332378223495603e+00 2.625057447417229566e-14
7.739255014326647419e+00 2.429056334165810616e-14
7.762177650429799236e+00 2.247586052126171976e-14
7.785100286532951053e+00 2.079580402722421943e-14
7.808022922636102869e+00 1.924050226166557227e-14
7.830945558739254686e+00 1.780077964166784973e-14
7.853868194842406503e+00 1.646812592520233373e-14
7.876790830945558319e+00 1.523464899876118954e-14
7.899713467048710136e+00 1.409303090334259613e-14
7.922636103151861953e+00 1.303648688854252299e-14
7.945558739255013769e+00 1.205872729695438781e-14
7.968481375358165586e+00 1.115392209289774725e-14
7.991404011461317403e+00 1.031666786071329676e-14
8.014326647564470107e+00 9.541957108497392610e-15
8.037249283667621924e+00 8.825149723228092473e-15
8.060171919770773741e+00 8.161946432777115280e-15
8.083094555873925557e+00 7.548364139331264759e-15
8.106017191977077374e+00 6.980712997280721557e-15
8.128939828080229191e+00 6.455575116693326185e-15
8.151862464183381007e+00 5.969784781101600545e-15
8.174785100286532824e+00 5.520410075503334367e-15
8.197707736389684641e+00 5.104735827236192053e-15
8.220630372492836457e+00 4.720247768750732794e-15
8.243553008595988274e+00 4.364617837293370810e-15
8.266475644699140091e+00 4.035690532138975649e-15
8.289398280802291907e+00 3.731470255299853743e-15
8.312320916905443724e+00 3.450109566600956177e-15
8.335243553008595541e+00 3.189898288667002108e-15
8.358166189111747357e+00 2.949253401732089790e-15
8.381088825214899174e+00 2.726709672271745214e-15
8.404011461318050991e+00 2.520910963286583464e-15
8.426934097421202807e+00 2.330602177650080440e-15
8.449856733524356400e+00 2.154621789284535864e-15
8.472779369627506441e+00 1.991894920062474640e-15
8.495702005730660034e+00 1.841426923257744867e-15
8.518624641833810074e+00 1.702297437105352946e-15
8.541547277936963667e+00 1.573654874579812402e-15
8.564469914040113707e+00 1.454711317884547096e-15
8.587392550143267300e+00 1.344737788364402659e-15
8.610315186246417340e+00 1.243059864625324747e-15
8.633237822349570934e+00 1.149053623573865645e-15
8.656160458452720974e+00 1.062141880888172572e-15
8.679083094555874567e+00 9.817907091055196866e-16
8.702005730659024607e+00 9.075062130713032441e-16
8.724928366762178200e+00 8.388315439445076418e-16
8.747851002865328240e+00 7.753441343054902489e-16
8.770773638968481833e+00 7.166531381670251315e-16
8.793696275071631874e+00 6.623970608580860256e-16
8.816618911174785467e+00 6.122415648349903941e-16
