# log10(T) rate(cm^3/s)
# Total Recomb Rates
1.000000000000000000e+00 6.092423377671766267e-10
1.022922636103151817e+00 5.923486001738491646e-10
1.045845272206303633e+00 5.759017337381069431e-10
1.068767908309455672e+00 5.598901987965783318e-10
1.091690544412607489e+00 5.443027558614368930e-10
1.114613180515759305e+00 5.291284577162388842e-10
1.137535816618911122e+00 5.143566417155288473e-10
1.160458452722062939e+00 4.999769222830045264e-10
1.183381088825214977e+00 4.859791836031681200e-10
1.206303724928366794e+00 4.723535725015432800e-10
1.229226361031518611e+00 4.590904915086702397e-10
1.252148997134670427e+00 4.461805921032244212e-10
1.275071633237822244e+00 4.336147681297394294e-10
1.297994269340974283e+00 4.213841493865413263e-10
1.320916905444126099e+00 4.094800953796196795e-10
1.343839541547277916e+00 3.978941892382903296e-10
1.366762177650429733e+00 3.866182317886193378e-10
1.389684813753581771e+00 3.756442357806838112e-10
1.412607449856733588e+00 3.649644202658698508e-10
1.435530085959885405e+00 3.545712051205011780e-10
1.458452722063037221e+00 3.444572057122058946e-10
1.481375358166189038e+00 3.346152277055264826e-10
1.504297994269340855e+00 3.250382620033723002e-10
1.527220630372492671e+00 3.157194798210146397e-10
1.550143266475644710e+00 3.066522278894097155e-10
1.573065902578796527e+00 2.978300237847271324e-10
1.595988538681948565e+00 2.892465513810438404e-10
1.618911174785100382e+00 2.808956564232468713e-10
1.641833810888252199e+00 2.727713422172654417e-10
1.664756446991404015e+00 2.648677654348306576e-10
1.687679083094555832e+00 2.571792320300330217e-10
1.710601719197707649e+00 2.497001932650174781e-10
1.733524355300859465e+00 2.424252418422211820e-10
1.756446991404011282e+00 2.353491081406288684e-10
1.779369627507163321e+00 2.284666565535749561e-10
1.802292263610315137e+00 2.217728819256850565e-10
1.825214899713467176e+00 2.152629060866029915e-10
1.848137535816618993e+00 2.089319744792066263e-10
1.871060171919770809e+00 2.027754528800590200e-10
1.893982808022922626e+00 1.967888242099008474e-10
1.916905444126074443e+00 1.909676854320250752e-10
1.939828080229226259e+00 1.853077445364286121e-10
1.962750716332378076e+00 1.798048176076712515e-10
1.985673352435529893e+00 1.744548259744218272e-10
2.008595988538681709e+00 1.692537934387249607e-10
2.031518624641833526e+00 1.641978435831218916e-10
2.054441260744985343e+00 1.592831971539925395e-10
2.077363896848137603e+00 1.545061695200922109e-10
2.100286532951289420e+00 1.498631682067921093e-10
2.123209169054441237e+00 1.453506905101730957e-10
2.146131805157593053e+00 1.409653212031055519e-10
2.169054441260744870e+00 1.367037303615346913e-10
2.191977077363897131e+00 1.325626713689795281e-10
2.214899713467048947e+00 1.285389792078066026e-10
2.237822349570200764e+00 1.246295692241296182e-10
2.260744985673352581e+00 1.208314366629762263e-10
2.283667621776504397e+00 1.171416574075425454e-10
2.306590257879656214e+00 1.135573905038595304e-10
2.329512893982808031e+00 1.100758831763794807e-10
2.352435530085959847e+00 1.066944790911027672e-10
2.375358166189111664e+00 1.034106305416240454e-10
2.398280802292263481e+00 1.002219149645161791e-10
2.421203438395415297e+00 9.712605570043728065e-11
2.444126074498567114e+00 9.412094621341781683e-11
2.467048710601718930e+00 9.120467612331439621e-11
2.489971346704870747e+00 8.837555651022386181e-11
2.512893982808022564e+00 8.563214117077935470e-11
2.535816618911174825e+00 8.297324001524121150e-11
