# log10(T) rate(cm^3/s)
# Total Recomb Rates
1.000000000000000000e+00 8.430420734269767434e-10
1.022922636103151817e+00 8.203287293876021355e-10
1.045845272206303633e+00 7.982089916295867788e-10
1.068767908309455672e+00 7.766674441244313476e-10
1.091690544412607489e+00 7.556890731086267326e-10
1.114613180515759305e+00 7.352592566068536501e-10
1.137535816618911122e+00 7.153637542273339777e-10
1.160458452722062939e+00 6.959886972222075533e-10
1.183381088825214977e+00 6.771205788059967702e-10
1.206303724928366794e+00 6.587462447253906646e-10
1.229226361031518611e+00 6.408528840737710688e-10
1.252148997134670427e+00 6.234280203440632492e-10
1.275071633237822244e+00 6.064595027136617854e-10
1.297994269340974283e+00 5.899354975553505670e-10
1.320916905444126099e+00 5.738444801682855081e-10
1.343839541547277916e+00 5.581752267232695657e-10
1.366762177650429733e+00 5.429168064166961648e-10
1.389684813753581771e+00 5.280585738276862334e-10
1.412607449856733588e+00 5.135901614730837368e-10
1.435530085959885405e+00 4.995014725551159497e-10
1.458452722063037221e+00 4.857826738966605660e-10
1.481375358166189038e+00 4.724241890591933710e-10
1.504297994269340855e+00 4.594166916386180044e-10
1.527220630372492671e+00 4.467510987343077548e-10
1.550143266475644710e+00 4.344185645868107241e-10
1.573065902578796527e+00 4.224104743797883919e-10
1.595988538681948565e+00 4.107184382018764733e-10
1.618911174785100382e+00 3.993342851642700733e-10
1.641833810888252199e+00 3.882500576699456280e-10
1.664756446991404015e+00 3.774580058305412016e-10
1.687679083094555832e+00 3.669505820270234187e-10
1.710601719197707649e+00 3.567204356103717751e-10
1.733524355300859465e+00 3.467604077386108517e-10
1.756446991404011282e+00 3.370635263466248176e-10
1.779369627507163321e+00 3.276230012452752551e-10
1.802292263610315137e+00 3.184322193464488062e-10
1.825214899713467176e+00 3.094847400107425137e-10
1.848137535816618993e+00 3.007742905145931630e-10
1.871060171919770809e+00 2.922947616337366018e-10
1.893982808022922626e+00 2.840402033399762238e-10
1.916905444126074443e+00 2.760048206083153373e-10
1.939828080229226259e+00 2.681829693315988195e-10
1.962750716332378076e+00 2.605691523398806424e-10
1.985673352435529893e+00 2.531580155218175118e-10
2.008595988538681709e+00 2.459443440454618008e-10
2.031518624641833526e+00 2.389230586759044602e-10
2.054441260744985343e+00 2.320892121872873463e-10
2.077363896848137603e+00 2.254379858667781805e-10
2.100286532951289420e+00 2.189646861081698559e-10
2.123209169054441237e+00 2.126647410928318522e-10
2.146131805157593053e+00 2.065336975558102525e-10
2.169054441260744870e+00 2.005672176349340942e-10
2.191977077363897131e+00 1.947610758008514681e-10
2.214899713467048947e+00 1.891111558659767094e-10
2.237822349570200764e+00 1.836134480703906918e-10
2.260744985673352581e+00 1.782640462427975524e-10
2.283667621776504397e+00 1.730591450346902348e-10
2.306590257879656214e+00 1.679950372259390974e-10
2.329512893982808031e+00 1.630681111000672058e-10
2.352435530085959847e+00 1.582748478875275997e-10
2.375358166189111664e+00 1.536118192753498886e-10
2.398280802292263481e+00 1.490756849815698740e-10
2.421203438395415297e+00 1.446631903929042649e-10
2.444126074498567114e+00 1.403711642641763900e-10
2.467048710601718930e+00 1.361965164780446177e-10
2.489971346704870747e+00 1.321362358636250788e-10
2.512893982808022564e+00 1.281873880726423713e-10
2.535816618911174825e+00 1.243471135117806482e-10
2.558739255014326641e+00 1.206126253299441427e-10
2.581661891117478458e+00 1.169812074591729712e-10
2.604584527220630275e+00 1.134502127079941479e-10
2.627507163323782091e+00 1.100170609060192171e-10
2.650429799426934352e+00 1.066792370986328280e-10
2.673352435530086169e+00 1.034342897906452074e-10
2.696275071633237985e+00 1.002798292378086228e-10
2.719197707736389802e+00 9.721352578512656160e-11
2.742120343839541619e+00 9.423310825090780803e-11
2.765042979942693435e+00 9.133636235554070790e-11
2.787965616045845252e+00 8.852112919398748344e-11
2.810888252148997069e+00 8.578530375101608813e-11
2.833810888252148885e+00 8.312683345820857275e-11
2.856733524355300702e+00 8.054371679180270537e-11
2.879656160458452518e+00 7.803400191043967929e-11
2.902578796561604335e+00 7.559578533190666596e-11
2.925501432664756152e+00 7.322721064797814371e-11
2.948424068767907968e+00 7.092646727647204347e-11
2.971346704871059785e+00 6.869178924965037527e-11
2.994269340974212046e+00 6.652145403810433920e-11
3.017191977077363862e+00 6.441378140927565988e-11
3.040114613180515679e+00 6.236713231977419436e-11
3.063037249283667496e+00 6.037990784066261654e-11
3.085959885386819312e+00 5.845054811488580548e-11
3.108882521489971129e+00 5.657753134603166394e-11
3.131805157593122946e+00 5.475937281761695659e-11
3.154727793696275207e+00 5.299462394209866545e-11
3.177650429799427023e+00 5.128187133881912148e-11
3.200573065902578840e+00 4.961973594009790818e-11
3.223495702005730656e+00 4.800687212469235405e-11
3.246418338108882473e+00 4.644196687785288341e-11
3.269340974212034290e+00 4.492373897720695907e-11
3.292263610315186106e+00 4.345093820371163818e-11
3.315186246418337923e+00 4.202234457692192938e-11
3.338108882521489740e+00 4.063676761382857582e-11
3.361031518624641556e+00 3.929304561052683089e-11
3.383954154727793817e+00 3.799004494598536733e-11
3.406876790830945634e+00 3.672665940719273225e-11
3.429799426934097450e+00 3.550180953496714863e-11
3.452722063037249267e+00 3.431444198972533201e-11
3.475644699140401084e+00 3.316352893651527737e-11
3.498567335243552900e+00 3.204806744862833676e-11
3.521489971346704717e+00 3.096707892911745664e-11
3.544412607449856534e+00 2.991960854955919063e-11
3.567335243553008350e+00 2.890472470541025430e-11
3.590257879656160167e+00 2.792151848732156354e-11
3.613180515759312428e+00 2.696910316778652793e-11
3.636103151862464244e+00 2.604661370251451591e-11
3.659025787965616061e+00 2.515320624593467171e-11
3.681948424068767878e+00 2.428805768025120272e-11
3.704871060171919694e+00 2.345036515748627171e-11
3.727793696275071511e+00 2.263934565396351100e-11
3.750716332378223328e+00 2.185423553670136382e-11
3.773638968481375144e+00 2.109429014120309722e-11
3.796561604584526961e+00 2.035878336014739144e-11
3.819484240687678778e+00 1.964700724250124014e-11
3.842406876790831038e+00 1.895827160259517484e-11
3.865329512893982855e+00 1.829190363871883742e-11
3.888252148997134672e+00 1.764724756081298025e-11
3.911174785100286488e+00 1.702366422685325393e-11
3.934097421203438305e+00 1.642053078753841034e-11
3.957020057306590122e+00 1.583724033891499651e-11
3.979942693409741938e+00 1.527320158258814144e-11
4.002865329512893311e+00 1.472783849318659076e-11
4.025787965616045128e+00 1.420058999276783205e-11
4.048710601719197832e+00 1.369090963186693281e-11
4.071633237822349649e+00 1.319826527690998887e-11
4.094555873925501466e+00 1.272213880372975684e-11
4.117478510028653282e+00 1.226202579693826973e-11
4.140401146131805099e+00 1.181743525492651028e-11
4.163323782234956916e+00 1.138788930027746604e-11
4.186246418338108732e+00 1.097292289539353226e-11
4.209169054441260549e+00 1.057208356315406476e-11
4.232091690544412366e+00 1.018493111243260107e-11
4.255014326647564182e+00 9.811037368316808645e-12
4.277936962750716887e+00 9.449985906886773233e-12
4.300859598853868704e+00 9.101371794419496933e-12
4.323782234957020520e+00 8.764801330898748471e-12
4.346704871060172337e+00 8.439891797720422030e-12
4.369627507163324154e+00 8.126271209493554872e-12
4.392550143266475970e+00 7.823578069846698883e-12
4.415472779369627787e+00 7.531461131158197842e-12
4.438395415472779604e+00 7.249579158137160072e-12
4.461318051575931420e+00 6.977600695189452060e-12
4.484240687679083237e+00 6.715203837510013102e-12
4.507163323782235054e+00 6.462076005849156457e-12
4.530085959885386870e+00 6.217913724906305476e-12
4.553008595988538687e+00 5.982422405309791947e-12
4.575931232091690504e+00 5.755316129145988710e-12
4.598853868194842320e+00 5.536317439005232956e-12
4.621776504297994137e+00 5.325157130515570306e-12
4.644699140401145954e+00 5.121574048338522792e-12
4.667621776504297770e+00 4.925314885603801271e-12
4.690544412607449587e+00 4.736133986762098565e-12
4.713467048710601404e+00 4.553793153837063394e-12
4.736389684813753220e+00 4.378061456058942947e-12
4.759312320916905037e+00 4.208715042863631575e-12
