# log10(T) rate(cm^3/s)
# Total Recomb Rates
1.000000000000000000e+00 1.430759462572413008e-09
1.022922636103151817e+00 1.391795955229647015e-09
1.045845272206303633e+00 1.353855513919840770e-09
1.068767908309455672e+00 1.316911639529786100e-09
1.091690544412607489e+00 1.280938524056085456e-09
1.114613180515759305e+00 1.245911032529223557e-09
1.137535816618911122e+00 1.211804685404603586e-09
1.160458452722062939e+00 1.178595641408337713e-09
1.183381088825214977e+00 1.146260680825932872e-09
1.206303724928366794e+00 1.114777189222330536e-09
1.229226361031518611e+00 1.084123141582053959e-09
1.252148997134670427e+00 1.054277086858533744e-09
1.275071633237822244e+00 1.025218132921974822e-09
1.297994269340974283e+00 9.969259318954079160e-10
1.320916905444126099e+00 9.693806658688607769e-10
1.343839541547277916e+00 9.425630329818470946e-10
1.366762177650429733e+00 9.164542338646547184e-10
1.389684813753581771e+00 8.910359584291577027e-10
1.412607449856733588e+00 8.662903730001410765e-10
1.435530085959885405e+00 8.422001077783799428e-10
1.458452722063037221e+00 8.187482446269426082e-10
1.481375358166189038e+00 7.959183051724445915e-10
1.504297994269340855e+00 7.736942392131841576e-10
1.527220630372492671e+00 7.520604134263411772e-10
1.550143266475644710e+00 7.310016003666220108e-10
1.573065902578796527e+00 7.105029677489560443e-10
1.595988538681948565e+00 6.905500680080475075e-10
1.618911174785100382e+00 6.711288281278021015e-10
1.641833810888252199e+00 6.522255397338325271e-10
1.664756446991404015e+00 6.338268494424426315e-10
1.687679083094555832e+00 6.159197494596827307e-10
1.710601719197707649e+00 5.984915684242327537e-10
1.733524355300859465e+00 5.815299624880697242e-10
1.756446991404011282e+00 5.650229066290214720e-10
1.779369627507163321e+00 5.489586861894933404e-10
1.802292263610315137e+00 5.333258886358065484e-10
1.825214899713467176e+00 5.181133955327388589e-10
1.848137535816618993e+00 5.033103747280222987e-10
1.871060171919770809e+00 4.889062727416795423e-10
1.893982808022922626e+00 4.748908073552387709e-10
1.916905444126074443e+00 4.612539603959891905e-10
1.939828080229226259e+00 4.479859707115811483e-10
1.962750716332378076e+00 4.350773273303905414e-10
1.985673352435529893e+00 4.225187628031996139e-10
2.008595988538681709e+00 4.103012467218520116e-10
2.031518624641833526e+00 3.984159794106629055e-10
2.054441260744985343e+00 3.868543857864637376e-10
2.077363896848137603e+00 3.756081093832709021e-10
2.100286532951289420e+00 3.646690065376638833e-10
2.123209169054441237e+00 3.540291407310510186e-10
2.146131805157593053e+00 3.436807770850975225e-10
2.169054441260744870e+00 3.336163770066703357e-10
2.191977077363897131e+00 3.238285929787415262e-10
2.214899713467048947e+00 3.143102634937691571e-10
2.237822349570200764e+00 3.050544081261462916e-10
2.260744985673352581e+00 2.960542227403885791e-10
2.283667621776504397e+00 2.873030748317884058e-10
2.306590257879656214e+00 2.787944989963388665e-10
2.329512893982808031e+00 2.705221925267814287e-10
2.352435530085959847e+00 2.624800111317016238e-10
2.375358166189111664e+00 2.546619647746437342e-10
2.398280802292263481e+00 2.470622136302745868e-10
2.421203438395415297e+00 2.396750641546746452e-10
2.444126074498567114e+00 2.324949652668854108e-10
2.467048710601718930e+00 2.255165046388898113e-10
2.489971346704870747e+00 2.187344050912420091e-10
2.512893982808022564e+00 2.121435210916167028e-10
2.535816618911174825e+00 2.057388353535793720e-10
2.558739255014326641e+00 1.995154555329280342e-10
2.581661891117478458e+00 1.934686110189913541e-10
2.604584527220630275e+00 1.875936498183131345e-10
2.627507163323782091e+00 1.818860355281850619e-10
2.650429799426934352e+00 1.763413443975323870e-10
2.673352435530086169e+00 1.709552624726939010e-10
2.696275071633237985e+00 1.657235828256732412e-10
2.719197707736389802e+00 1.606422028624790639e-10
2.742120343839541619e+00 1.557071217092062880e-10
2.765042979942693435e+00 1.509144376735519452e-10
2.787965616045845252e+00 1.462603457794929842e-10
2.810888252148997069e+00 1.417411353728970873e-10
2.833810888252148885e+00 1.373531877958735395e-10
2.856733524355300702e+00 1.330929741277112069e-10
2.879656160458452518e+00 1.289570529902933827e-10
2.902578796561604335e+00 1.249420684159185501e-10
2.925501432664756152e+00 1.210447477754994373e-10
2.948424068767907968e+00 1.172618997651538362e-10
2.971346704871059785e+00 1.135904124492474622e-10
2.994269340974212046e+00 1.100272513579892319e-10
3.017191977077363862e+00 1.065694576377291137e-10
3.040114613180515679e+00 1.032141462521497510e-10
3.063037249283667496e+00 9.995850423259386845e-11
3.085959885386819312e+00 9.679978897581386461e-11
3.108882521489971129e+00 9.373532658747802464e-11
3.131805157593122946e+00 9.076251026981702938e-11
3.154727793696275207e+00 8.787879875184174106e-11
3.177650429799427023e+00 8.508171476061230850e-11
3.200573065902578840e+00 8.236884353208801964e-11
3.223495702005730656e+00 7.973783136013602979e-11
3.246418338108882473e+00 7.718638418232615583e-11
3.269340974212034290e+00 7.471226620118879032e-11
3.292263610315186106e+00 7.231329853965944063e-11
3.315186246418337923e+00 6.998735792948585982e-11
3.338108882521489740e+00 6.773237543141738231e-11
3.361031518624641556e+00 6.554633518604662632e-11
3.383954154727793817e+00 6.342727319422029239e-11
3.406876790830945634e+00 6.137327612598031300e-11
3.429799426934097450e+00 5.938248015704442975e-11
3.452722063037249267e+00 5.745306983187784844e-11
3.475644699140401084e+00 5.558327695245271015e-11
3.498567335243552900e+00 5.377137949183335926e-11
3.521489971346704717e+00 5.201570053176781455e-11
3.544412607449856534e+00 5.031460722350573521e-11
3.567335243553008350e+00 4.866650977110168263e-11
3.590257879656160167e+00 4.706986043650116263e-11
3.613180515759312428e+00 4.552315256574266293e-11
3.636103151862464244e+00 4.402491963564397834e-11
3.659025787965616061e+00 4.257373432037455248e-11
3.681948424068767878e+00 4.116820757734877465e-11
3.704871060171919694e+00 3.980698775190434800e-11
3.727793696275071511e+00 3.848875970026087764e-11
3.750716332378223328e+00 3.721224393028009622e-11
3.773638968481375144e+00 3.597619575957708834e-11
3.796561604584526961e+00 3.477940449055594040e-11
3.819484240687678778e+00 3.362069260196712121e-11
3.842406876790831038e+00 3.249891495660641340e-11
3.865329512893982855e+00 3.141295802479596623e-11
3.888252148997134672e+00 3.036173912330713018e-11
3.911174785100286488e+00 2.934420566940395287e-11
3.934097421203438305e+00 2.835933444970248461e-11
3.957020057306590122e+00 2.740613090355686834e-11
3.979942693409741938e+00 2.648362842069831691e-11
4.002865329512893311e+00 2.559088765286594745e-11
4.025787965616045128e+00 2.472699583918137987e-11
4.048710601719197832e+00 2.389106614503012207e-11
4.071633237822349649e+00 2.308223701422309425e-11
4.094555873925501466e+00 2.229967153422116724e-11
4.117478510028653282e+00 2.154255681421453662e-11
4.140401146131805099e+00 2.081010337585591815e-11
4.163323782234956916e+00 2.010154455645393637e-11
4.186246418338108732e+00 1.941613592443917212e-11
4.209169054441260549e+00 1.875315470692100585e-11
4.232091690544412366e+00 1.811189922915823003e-11
4.255014326647564182e+00 1.749168836577090562e-11
4.277936962750716887e+00 1.689186100352455606e-11
4.300859598853868704e+00 1.631177551552155025e-11
4.323782234957020520e+00 1.575080924663666180e-11
4.346704871060172337e+00 1.520835801003732024e-11
4.369627507163324154e+00 1.468383559463022664e-11
4.392550143266475970e+00 1.417667328327841497e-11
4.415472779369627787e+00 1.368631938163407316e-11
4.438395415472779604e+00 1.321223875743383050e-11
4.461318051575931420e+00 1.275391239010412279e-11
4.484240687679083237e+00 1.231083693052523037e-11
4.507163323782235054e+00 1.188252427080310952e-11
4.530085959885386870e+00 1.146850112389884337e-11
4.553008595988538687e+00 1.106830861296564384e-11
4.575931232091690504e+00 1.068150187024425507e-11
4.598853868194842320e+00 1.030764964536711952e-11
4.621776504297994137e+00 9.946333922922472411e-12
4.644699140401145954e+00 9.597149549129526800e-12
4.667621776504297770e+00 9.259703867475945792e-12
4.690544412607449587e+00 8.933616363169087309e-12
4.713467048710601404e+00 8.618518316252778438e-12
4.736389684813753220e+00 8.314052463241264808e-12
4.759312320916905037e+00 8.019872667122591172e-12
4.782234957020056854e+00 7.735643595583557908e-12
4.805157593123208670e+00 7.461040407309075038e-12
4.828080229226360487e+00 7.195748446208770965e-12
4.851002865329512304e+00 6.939462943424448167e-12
4.873925501432664120e+00 6.691888726972214004e-12
4.896848137535815937e+00 6.452739938873880549e-12
4.919770773638967754e+00 6.221739759632737912e-12
4.942693409742119570e+00 5.998620139909576942e-12
4.965616045845272275e+00 5.783121539255563399e-12
4.988538681948424092e+00 5.574992671759569010e-12
5.011461318051575908e+00 5.373990258468182709e-12
5.034383954154727725e+00 5.179878786438077853e-12
5.057306590257879542e+00 4.992430274281072733e-12
5.080229226361031358e+00 4.811424044063645060e-12
5.103151862464183175e+00 4.636646499423790386e-12
5.126074498567334992e+00 4.467890909769713058e-12
5.148997134670486808e+00 4.304957200426768918e-12
5.171919770773638625e+00 4.147651748603026648e-12
5.194842406876790442e+00 3.995787185052732715e-12
5.217765042979942258e+00 3.849182201339676780e-12
5.240687679083094075e+00 3.707661362658622742e-12
5.263610315186245892e+00 3.571054926305147453e-12
5.286532951289397708e+00 3.439198666173568233e-12
5.309455587392550413e+00 3.311933704255210255e-12
5.332378223495702230e+00 3.189106351245244321e-12
5.355300859598854046e+00 3.070567960415858616e-12
5.378223495702005863e+00 2.956174802412453938e-12
5.401146131805157680e+00 2.845787974305111514e-12
5.424068767908309496e+00 2.739273365001789407e-12
5.446991404011461313e+00 2.636501712050023141e-12
5.469914040114613130e+00 2.537348802891051172e-12
5.492836676217764946e+00 2.441695897250198443e-12
5.515759312320916763e+00 2.349430475805561924e-12
5.538681948424068580e+00 2.260447450688319554e-12
5.561604584527220396e+00 2.174650999793487574e-12
5.584527220630372213e+00 2.091957199876986271e-12
5.607449856733524030e+00 2.012297620602733370e-12
5.630372492836675846e+00 1.935623989773747106e-12
5.653295128939827663e+00 1.861913938188667786e-12
5.676217765042979480e+00 1.791177677119113256e-12
5.699140401146131296e+00 1.723465259593243321e-12
5.722063037249283113e+00 1.658873849233713471e-12
5.744985673352435818e+00 1.597554200829465653e-12
5.767908309455587634e+00 1.539715387038372219e-12
5.790830945558739451e+00 1.485626728450087061e-12
5.813753581661891268e+00 1.435615934261671885e-12
5.836676217765043084e+00 1.390062655737667588e-12
5.859598853868194901e+00 1.349386989441220077e-12
5.882521489971346718e+00 1.314032912791216721e-12
5.905444126074498534e+00 1.284447141027140347e-12
5.928366762177650351e+00 1.261054399425118642e-12
5.951289398280802168e+00 1.244230542232905471e-12
5.974212034383953984e+00 1.234275262904380812e-12
5.997134670487105801e+00 1.231386288333897764e-12
6.020057306590257618e+00 1.235636914894171500e-12
6.042979942693409434e+00 1.246958532109555091e-12
6.065902578796561251e+00 1.265129418246614906e-12
6.088825214899713067e+00 1.289770624574871194e-12
6.111747851002864884e+00 1.320349244035280670e-12
6.134670487106016701e+00 1.356188839372673733e-12
6.157593123209168517e+00 1.396486333876945631e-12
6.180515759312320334e+00 1.440334282783612274e-12
6.203438395415473039e+00 1.486747169883981702e-12
6.226361031518624856e+00 1.534690222740436932e-12
6.249283667621776672e+00 1.583109208883145356e-12
6.272206303724928489e+00 1.630959751682243438e-12
6.295128939828080306e+00 1.677234867970387419e-12
6.318051575931232122e+00 1.720989655495926244e-12
6.340974212034383939e+00 1.761362321389743366e-12
6.363896848137535756e+00 1.797591018951943343e-12
6.386819484240687572e+00 1.829026228428136326e-12
6.409742120343839389e+00 1.855138661684896047e-12
6.432664756446991206e+00 1.875522879312844703e-12
6.455587392550143022e+00 1.889896974955435771e-12
6.478510028653294839e+00 1.898098803123579269e-12
6.501432664756446655e+00 1.900079304472734116e-12
6.524355300859598472e+00 1.895893520206932160e-12
6.547277936962750289e+00 1.885689890433918101e-12
6.570200573065902105e+00 1.869698406412772917e-12
6.593123209169053922e+00 1.848218140505114561e-12
6.616045845272205739e+00 1.821604616838952144e-12
6.638968481375357555e+00 1.790257416198681773e-12
6.661891117478510260e+00 1.754608335607861287e-12
6.684813753581662077e+00 1.715110350661433640e-12
6.707736389684813894e+00 1.672227560102523866e-12
6.730659025787965710e+00 1.626426229709662485e-12
6.753581661891117527e+00 1.578166997715013133e-12
6.776504297994269344e+00 1.527898257456998267e-12
6.799426934097421160e+00 1.476050694952004858e-12
6.822349570200572977e+00 1.423032929280631920e-12
6.845272206303724793e+00 1.369228181539367583e-12
6.868194842406876610e+00 1.314991882817503938e-12
6.891117478510028427e+00 1.260650122315114061e-12
6.914040114613180243e+00 1.206498832373034088e-12
6.936962750716332060e+00 1.152803606906037587e-12
6.959885386819483877e+00 1.099800052635958492e-12
6.982808022922635693e+00 1.047694577813199427e-12
7.005730659025787510e+00 9.966655300895095025e-13
7.028653295128939327e+00 9.468646032611126081e-13
7.051575931232091143e+00 8.984184412401628026e-13
7.074498567335242960e+00 8.514303764320954645e-13
7.097421203438395665e+00 8.059822483836391525e-13
7.120343839541547482e+00 7.621362568867702206e-13
7.143266475644699298e+00 7.199368115115636346e-13
7.166189111747851115e+00 6.794123466869711755e-13
7.189111747851002931e+00 6.405770778907750171e-13
7.212034383954154748e+00 6.034326802238965031e-13
7.234957020057306565e+00 5.679698756338281347e-13
7.257879656160458381e+00 5.341699193428480679e-13
7.280802292263610198e+00 5.020059796695352266e-13
7.303724928366762015e+00 4.714444084576373938e-13
