# log10(T) rate(cm^3/s)
# Total Recomb Rates
1.000000000000000000e+00 2.103141907786129949e-09
1.022922636103151817e+00 2.045341988186628465e-09
1.045845272206303633e+00 1.989069223007608315e-09
1.068767908309455672e+00 1.934284124631192979e-09
1.091690544412607489e+00 1.880948231632510812e-09
1.114613180515759305e+00 1.829024081776187285e-09
1.137535816618911122e+00 1.778475185711646642e-09
1.160458452722062939e+00 1.729266001349427640e-09
1.183381088825214977e+00 1.681361908901222596e-09
1.206303724928366794e+00 1.634729186566810349e-09
1.229226361031518611e+00 1.589334986851527901e-09
1.252148997134670427e+00 1.545147313498369317e-09
1.275071633237822244e+00 1.502134999019254965e-09
1.297994269340974283e+00 1.460267682810423233e-09
1.320916905444126099e+00 1.419515789837328457e-09
1.343839541547277916e+00 1.379850509874808845e-09
1.366762177650429733e+00 1.341243777288715673e-09
1.389684813753581771e+00 1.303668251345528347e-09
1.412607449856733588e+00 1.267097297036890428e-09
1.435530085959885405e+00 1.231504966406316051e-09
1.458452722063037221e+00 1.196865980365702861e-09
1.481375358166189038e+00 1.163155710989582079e-09
1.504297994269340855e+00 1.130350164275380416e-09
1.527220630372492671e+00 1.098425963358277285e-09
1.550143266475644710e+00 1.067360332169532562e-09
1.573065902578796527e+00 1.037131079527447400e-09
1.595988538681948565e+00 1.007716583650423912e-09
1.618911174785100382e+00 9.790957770818195840e-10
1.641833810888252199e+00 9.512481320165854160e-10
1.664756446991404015e+00 9.241536460199025928e-10
1.687679083094555832e+00 8.977928281282882296e-10
1.710601719197707649e+00 8.721466853238553238e-10
1.733524355300859465e+00 8.471967093726460157e-10
1.756446991404011282e+00 8.229248640181576517e-10
1.779369627507163321e+00 7.993135725213944526e-10
1.802292263610315137e+00 7.763457055389685616e-10
1.825214899713467176e+00 7.540045693309545768e-10
1.848137535816618993e+00 7.322738942903971933e-10
1.871060171919770809e+00 7.111378237865261618e-10
1.893982808022922626e+00 6.905809033139117524e-10
1.916905444126074443e+00 6.705880699399452838e-10
1.939828080229226259e+00 6.511446420431833428e-10
1.962750716332378076e+00 6.322363093352431072e-10
1.985673352435529893e+00 6.138491231590780468e-10
2.008595988538681709e+00 5.959694870565914897e-10
2.031518624641833526e+00 5.785841475986928838e-10
2.054441260744985343e+00 5.616801854710107702e-10
2.077363896848137603e+00 5.452450068086175199e-10
2.100286532951289420e+00 5.292663347732245923e-10
2.123209169054441237e+00 5.137322013664372537e-10
2.146131805157593053e+00 4.986309394727648109e-10
2.169054441260744870e+00 4.839511751261956369e-10
2.191977077363897131e+00 4.696818199942567986e-10
2.214899713467048947e+00 4.558120640735847497e-10
2.237822349570200764e+00 4.423313685911407737e-10
2.260744985673352581e+00 4.292294591053112638e-10
2.283667621776504397e+00 4.164963188012360573e-10
2.306590257879656214e+00 4.041221819748125851e-10
2.329512893982808031e+00 3.920975276999267295e-10
2.352435530085959847e+00 3.804130736735659266e-10
2.375358166189111664e+00 3.690597702335731863e-10
2.398280802292263481e+00 3.580287945439026003e-10
2.421203438395415297e+00 3.473115449423450661e-10
2.444126074498567114e+00 3.368996354457919536e-10
2.467048710601718930e+00 3.267848904082161140e-10
2.489971346704870747e+00 3.169593393266464084e-10
2.512893982808022564e+00 3.074152117905303250e-10
2.535816618911174825e+00 2.981449325699713806e-10
2.558739255014326641e+00 2.891411168384506324e-10
2.581661891117478458e+00 2.803965655257361290e-10
2.604584527220630275e+00 2.719042607968028856e-10
2.627507163323782091e+00 2.636573616526909133e-10
2.650429799426934352e+00 2.556491996493350233e-10
2.673352435530086169e+00 2.478732747305191384e-10
2.696275071633237985e+00 2.403232511712042077e-10
2.719197707736389802e+00 2.329929536276038317e-10
2.742120343839541619e+00 2.258763632904784311e-10
2.765042979942693435e+00 2.189676141382359684e-10
2.787965616045845252e+00 2.122609892865330067e-10
2.810888252148997069e+00 2.057509174311787702e-10
2.833810888252148885e+00 1.994319693812528393e-10
2.856733524355300702e+00 1.932988546794530229e-10
2.879656160458452518e+00 1.873464183067956716e-10
2.902578796561604335e+00 1.815696374688945843e-10
2.925501432664756152e+00 1.759636184611481124e-10
2.948424068767907968e+00 1.705235936102631946e-10
2.971346704871059785e+00 1.652449182896466731e-10
2.994269340974212046e+00 1.601230680062893376e-10
3.017191977077363862e+00 1.551536355568655752e-10
3.040114613180515679e+00 1.503323282508613512e-10
3.063037249283667496e+00 1.456549651986385311e-10
3.085959885386819312e+00 1.411174746624268385e-10
3.108882521489971129e+00 1.367158914683244148e-10
3.131805157593122946e+00 1.324463544774692201e-10
3.154727793696275207e+00 1.283051041146245744e-10
3.177650429799427023e+00 1.242884799524995083e-10
3.200573065902578840e+00 1.203929183502005624e-10
3.223495702005730656e+00 1.166149501442823997e-10
3.246418338108882473e+00 1.129511983909360540e-10
3.269340974212034290e+00 1.093983761579172813e-10
3.292263610315186106e+00 1.059532843648843889e-10
3.315186246418337923e+00 1.026128096708726812e-10
3.338108882521489740e+00 9.937392240769315864e-11
3.361031518624641556e+00 9.623367455809673145e-11
3.383954154727793817e+00 9.318919777759804820e-11
3.406876790830945634e+00 9.023770145890371347e-11
3.429799426934097450e+00 8.737647083793433935e-11
3.452722063037249267e+00 8.460286514047792834e-11
3.475644699140401084e+00 8.191431576855065276e-11
3.498567335243552900e+00 7.930832452558295882e-11
3.521489971346704717e+00 7.678246187958444078e-11
3.544412607449856534e+00 7.433436526347726152e-11
3.567335243553008350e+00 7.196173741181941979e-11
3.590257879656160167e+00 6.966234473317028638e-11
3.613180515759312428e+00 6.743401571737898208e-11
3.636103151862464244e+00 6.527463937710328591e-11
3.659025787965616061e+00 6.318216372289069871e-11
3.681948424068767878e+00 6.115459427117706876e-11
3.704871060171919694e+00 5.918999258457911114e-11
3.727793696275071511e+00 5.728647484387698527e-11
3.750716332378223328e+00 5.544221045110109953e-11
3.773638968481375144e+00 5.365542066315517993e-11
3.796561604584526961e+00 5.192437725542200590e-11
3.819484240687678778e+00 5.024740121481354464e-11
3.842406876790831038e+00 4.862286146174037952e-11
3.865329512893982855e+00 4.704917360048728976e-11
3.888252148997134672e+00 4.552479869749312829e-11
