# log10(T) rate(cm^3/s)
# Total Recomb Rates
1.000000000000000000e+00 3.612958252029086670e-11
1.022922636103151817e+00 3.583655121309527914e-11
1.045845272206303633e+00 3.552877645652361359e-11
1.068767908309455672e+00 3.520009937423500846e-11
1.091690544412607489e+00 3.484533631603881288e-11
1.114613180515759305e+00 3.446032558422436388e-11
1.137535816618911122e+00 3.404193988442241009e-11
1.160458452722062939e+00 3.358806828624062287e-11
1.183381088825214977e+00 3.309757227948068471e-11
1.206303724928366794e+00 3.257022092949829971e-11
1.229226361031518611e+00 3.200661020798775600e-11
1.252148997134670427e+00 3.140807135633768766e-11
1.275071633237822244e+00 3.077657269204224295e-11
1.297994269340974283e+00 3.011461866567366584e-11
1.320916905444126099e+00 2.942514928993338974e-11
1.343839541547277916e+00 2.871144236325217419e-11
1.366762177650429733e+00 2.797702025911927247e-11
1.389684813753581771e+00 2.722556249516355573e-11
1.412607449856733588e+00 2.646082486107437270e-11
1.435530085959885405e+00 2.568656558001366079e-11
1.458452722063037221e+00 2.490647879393964592e-11
1.481375358166189038e+00 2.412413557421931286e-11
1.504297994269340855e+00 2.334293263108292717e-11
1.527220630372492671e+00 2.256604889252221590e-11
1.550143266475644710e+00 2.179641011263436685e-11
1.573065902578796527e+00 2.103666162724705580e-11
1.595988538681948565e+00 2.028914928828336006e-11
1.618911174785100382e+00 1.955590847674823890e-11
1.641833810888252199e+00 1.883866092639461172e-11
1.664756446991404015e+00 1.813881890179464086e-11
1.687679083094555832e+00 1.745749608436681881e-11
1.710601719197707649e+00 1.679552434581735396e-11
1.733524355300859465e+00 1.615347544480491008e-11
1.756446991404011282e+00 1.553168657871314801e-11
1.779369627507163321e+00 1.493028866229576578e-11
1.802292263610315137e+00 1.434923618852857786e-11
1.825214899713467176e+00 1.378833755159198663e-11
1.848137535816618993e+00 1.324728477393345723e-11
1.871060171919770809e+00 1.272568167545533234e-11
1.893982808022922626e+00 1.222306965019583555e-11
1.916905444126074443e+00 1.173895037159241855e-11
1.939828080229226259e+00 1.127280492771189852e-11
1.962750716332378076e+00 1.082410908679165904e-11
1.985673352435529893e+00 1.039234460239933951e-11
2.008595988538681709e+00 9.977006675122801398e-12
2.031518624641833526e+00 9.577607880758608883e-12
2.054441260744985343e+00 9.193679039993265254e-12
2.077363896848137603e+00 8.824767629639563979e-12
2.100286532951289420e+00 8.470434411986357199e-12
2.123209169054441237e+00 8.130248982718155148e-12
2.146131805157593053e+00 7.803784910285004294e-12
2.169054441260744870e+00 7.490615066583716995e-12
2.191977077363897131e+00 7.190307640346397285e-12
2.214899713467048947e+00 6.902423193254378269e-12
2.237822349570200764e+00 6.626512977939597852e-12
2.260744985673352581e+00 6.362118599466211178e-12
2.283667621776504397e+00 6.108772978415589229e-12
2.306590257879656214e+00 5.866002472329539542e-12
2.329512893982808031e+00 5.633329937795984603e-12
2.352435530085959847e+00 5.410278469525249957e-12
2.375358166189111664e+00 5.196375534228034547e-12
2.398280802292263481e+00 4.991157222679638347e-12
2.421203438395415297e+00 4.794172368319166040e-12
2.444126074498567114e+00 4.604986319658701772e-12
2.467048710601718930e+00 4.423184201164943884e-12
2.489971346704870747e+00 4.248373548054927230e-12
2.512893982808022564e+00 4.080186250326160851e-12
2.535816618911174825e+00 3.918279786996761187e-12
2.558739255014326641e+00 3.762337770666246310e-12
2.581661891117478458e+00 3.612069853801599604e-12
2.604584527220630275e+00 3.467211071138505563e-12
2.627507163323782091e+00 3.327520707482835706e-12
2.650429799426934352e+00 3.192780787727623003e-12
2.673352435530086169e+00 3.062794287119246673e-12
2.696275071633237985e+00 2.937383155939424936e-12
2.719197707736389802e+00 2.816386245086040003e-12
2.742120343839541619e+00 2.699657208748776146e-12
2.765042979942693435e+00 2.587062448575474104e-12
2.787965616045845252e+00 2.478479151337381890e-12
2.810888252148997069e+00 2.373793459869341192e-12
2.833810888252148885e+00 2.272898805545116967e-12
2.856733524355300702e+00 2.175694420138040489e-12
2.879656160458452518e+00 2.082084035852641394e-12
2.902578796561604335e+00 1.991974774707163899e-12
2.925501432664756152e+00 1.905276222313337139e-12
2.948424068767907968e+00 1.821899676376572686e-12
2.971346704871059785e+00 1.741757556812558996e-12
2.994269340974212046e+00 1.664762962097711898e-12
3.017191977077363862e+00 1.590829355176939173e-12
3.040114613180515679e+00 1.519870361774193312e-12
3.063037249283667496e+00 1.451799664126115451e-12
3.085959885386819312e+00 1.386530973834853410e-12
3.108882521489971129e+00 1.323978068577166987e-12
3.131805157593122946e+00 1.264054878695088940e-12
3.154727793696275207e+00 1.206675611129409542e-12
3.177650429799427023e+00 1.151754899659884997e-12
3.200573065902578840e+00 1.099207971921100233e-12
3.223495702005730656e+00 1.048950825121553505e-12
3.246418338108882473e+00 1.000900403770107615e-12
3.269340974212034290e+00 9.549747739845528467e-13
3.292263610315186106e+00 9.110932901068092010e-13
3.315186246418337923e+00 8.691767503712726066e-13
3.338108882521489740e+00 8.291475392657882175e-13
3.361031518624641556e+00 7.909297549920063205e-13
3.383954154727793817e+00 7.544493210800696304e-13
3.406876790830945634e+00 7.196340817503587126e-13
3.429799426934097450e+00 6.864138810524977235e-13
3.452722063037249267e+00 6.547206261597239991e-13
3.475644699140401084e+00 6.244883354657657188e-13
3.498567335243552900e+00 5.956531723320172932e-13
3.521489971346704717e+00 5.681534654747098440e-13
3.544412607449856534e+00 5.419297170737968783e-13
3.567335243553008350e+00 5.169245997352198216e-13
3.590257879656160167e+00 4.930829434531063173e-13
3.613180515759312428e+00 4.703517137044506916e-13
3.636103151862464244e+00 4.486799817717874912e-13
3.659025787965616061e+00 4.280188883346578949e-13
3.681948424068767878e+00 4.083216013037521958e-13
3.704871060171919694e+00 3.895432687975160260e-13
3.727793696275071511e+00 3.716409680846824103e-13
3.750716332378223328e+00 3.545736512417385641e-13
3.773638968481375144e+00 3.383020882050901131e-13
3.796561604584526961e+00 3.227888078357096250e-13
3.819484240687678778e+00 3.079980375602715261e-13
3.842406876790831038e+00 2.938956421071429663e-13
3.865329512893982855e+00 2.804490618176608085e-13
3.888252148997134672e+00 2.676272509828874870e-13
3.911174785100286488e+00 2.554006166349545136e-13
3.934097421203438305e+00 2.437409582137859210e-13
3.957020057306590122e+00 2.326214085407450122e-13
3.979942693409741938e+00 2.220163765686631626e-13
4.002865329512893311e+00 2.119014924514230098e-13
4.025787965616045128e+00 2.022535555937075153e-13
4.048710601719197832e+00 1.930504865130949703e-13
4.071633237822349649e+00 1.842712836006327447e-13
4.094555873925501466e+00 1.758959862898246349e-13
4.117478510028653282e+00 1.679056469692278319e-13
4.140401146131805099e+00 1.602823157186503339e-13
4.163323782234956916e+00 1.530090456100515939e-13
4.186246418338108732e+00 1.460699335534701206e-13
4.209169054441260549e+00 1.394502248664651653e-13
4.232091690544412366e+00 1.331365317287965320e-13
4.255014326647564182e+00 1.271172489150269344e-13
4.277936962750716887e+00 1.213832953324101855e-13
4.300859598853868704e+00 1.159293638635823015e-13
4.323782234957020520e+00 1.107559161802580266e-13
4.346704871060172337e+00 1.058721984120133068e-13
4.369627507163324154e+00 1.013005571508173707e-13
4.392550143266475970e+00 9.708228055303588009e-14
4.415472779369627787e+00 9.328505747105436716e-14
4.438395415472779604e+00 9.001193091250795360e-14
4.461318051575931420e+00 8.741133056640546562e-14
4.484240687679083237e+00 8.568743350899291046e-14
4.507163323782235054e+00 8.510977280766616881e-14
4.530085959885386870e+00 8.602075322196634228e-14
4.553008595988538687e+00 8.883960489225044042e-14
4.575931232091690504e+00 9.406136014240707658e-14
4.598853868194842320e+00 1.022497002323426819e-13
4.621776504297994137e+00 1.140229796902011671e-13
4.644699140401145954e+00 1.300333527264573422e-13
4.667621776504297770e+00 1.509396273422719629e-13
4.690544412607449587e+00 1.773751690314005794e-13
4.713467048710601404e+00 2.099127760168493280e-13
4.736389684813753220e+00 2.490288729293777082e-13
4.759312320916905037e+00 2.950695655862692525e-13
4.782234957020056854e+00 3.482210438036784896e-13
4.805157593123208670e+00 4.084865230047653110e-13
4.828080229226360487e+00 4.756714191141055214e-13
4.851002865329512304e+00 5.493778164803724857e-13
4.873925501432664120e+00 6.290085880182335562e-13
4.896848137535815937e+00 7.137808336566867270e-13
4.919770773638967754e+00 8.027476822758513434e-13
4.942693409742119570e+00 8.948270032988352789e-13
4.965616045845272275e+00 9.888352280588649583e-13
4.988538681948424092e+00 1.083524299839914975e-12
5.011461318051575908e+00 1.177619749558712918e-12
5.034383954154727725e+00 1.269858012036176715e-12
5.057306590257879542e+00 1.359021326903201586e-12
5.080229226361031358e+00 1.443968874772913994e-12
5.103151862464183175e+00 1.523663149077370897e-12
5.126074498567334992e+00 1.597190925237432655e-12
5.148997134670486808e+00 1.663778534895538405e-12
5.171919770773638625e+00 1.722801463340944734e-12
5.194842406876790442e+00 1.773788549206868319e-12
5.217765042979942258e+00 1.816421269575597311e-12
5.240687679083094075e+00 1.850528738875429571e-12
5.263610315186245892e+00 1.876079138898775064e-12
5.286532951289397708e+00 1.893168335632048007e-12
5.309455587392550413e+00 1.902006434121070852e-12
5.332378223495702230e+00 1.902902984054492257e-12
5.355300859598854046e+00 1.896251485034117820e-12
5.378223495702005863e+00 1.882513760024013736e-12
5.401146131805157680e+00 1.862204675711686887e-12
5.424068767908309496e+00 1.835877595776122439e-12
5.446991404011461313e+00 1.804110862359402688e-12
5.469914040114613130e+00 1.767495516134084055e-12
5.492836676217764946e+00 1.726624388828558769e-12
5.515759312320916763e+00 1.682082635472895707e-12
5.538681948424068580e+00 1.634439717659756253e-12
5.561604584527220396e+00 1.584242803805138985e-12
5.584527220630372213e+00 1.532011517262710397e-12
5.607449856733524030e+00 1.478233937362845239e-12
5.630372492836675846e+00 1.423363740962936545e-12
5.653295128939827663e+00 1.367818361747541894e-12
5.676217765042979480e+00 1.311978040117178766e-12
5.699140401146131296e+00 1.256185636901105513e-12
5.722063037249283113e+00 1.200747088250457433e-12
5.744985673352435818e+00 1.145932385949822648e-12
5.767908309455587634e+00 1.091976976186997947e-12
5.790830945558739451e+00 1.039083479829000685e-12
5.813753581661891268e+00 9.874236478798463582e-13
5.836676217765043084e+00 9.371404765714604560e-13
