# log10(T) rate(cm^3/s)
# Total Recomb Rates
1.000000000000000000e+00 1.472841215204076818e-10
1.022922636103151817e+00 1.446951772357579546e-10
1.045845272206303633e+00 1.423453463609154126e-10
1.068767908309455672e+00 1.402134514879832162e-10
1.091690544412607489e+00 1.382751124082940841e-10
1.114613180515759305e+00 1.365034020104682611e-10
1.137535816618911122e+00 1.348695962114365876e-10
1.160458452722062939e+00 1.333439751250648512e-10
1.183381088825214977e+00 1.318966333098109274e-10
1.206303724928366794e+00 1.304982603497763906e-10
1.229226361031518611e+00 1.291208585584299999e-10
1.252148997134670427e+00 1.277383715265590213e-10
1.275071633237822244e+00 1.263272048522185230e-10
1.297994269340974283e+00 1.248666280513635438e-10
1.320916905444126099e+00 1.233390538302662032e-10
1.343839541547277916e+00 1.217301972190542864e-10
1.366762177650429733e+00 1.200291222753277860e-10
1.389684813753581771e+00 1.182281880545439820e-10
1.412607449856733588e+00 1.163229083075817119e-10
1.435530085959885405e+00 1.143117409882510181e-10
1.458452722063037221e+00 1.121958242727457891e-10
1.481375358166189038e+00 1.099786755737605796e-10
1.504297994269340855e+00 1.076658691395640211e-10
1.527220630372492671e+00 1.052647064097698137e-10
1.550143266475644710e+00 1.027838914741520343e-10
1.573065902578796527e+00 1.002332218416904113e-10
1.595988538681948565e+00 9.762330235258297122e-11
1.618911174785100382e+00 9.496528753793108402e-11
1.641833810888252199e+00 9.227065515291496527e-11
1.664756446991404015e+00 8.955101111420191154e-11
1.687679083094555832e+00 8.681792382604100345e-11
1.710601719197707649e+00 8.408278406133380097e-11
1.733524355300859465e+00 8.135668533967178904e-11
1.756446991404011282e+00 7.865031923290952081e-11
1.779369627507163321e+00 7.597388027293526222e-11
1.802292263610315137e+00 7.333697608445985937e-11
1.825214899713467176e+00 7.074853987206801237e-11
1.848137535816618993e+00 6.821674423343772854e-11
1.871060171919770809e+00 6.574891718433013696e-11
1.893982808022922626e+00 6.335146299824653630e-11
1.916905444126074443e+00 6.102979175525057337e-11
1.939828080229226259e+00 5.878826220135092470e-11
1.962750716332378076e+00 5.663014257182107214e-11
1.985673352435529893e+00 5.455759345037665995e-11
2.008595988538681709e+00 5.257167562290113210e-11
2.031518624641833526e+00 5.067238439907804695e-11
2.054441260744985343e+00 4.885871020775546290e-11
2.077363896848137603e+00 4.712872361411123233e-11
2.100286532951289420e+00 4.547968142853182892e-11
2.123209169054441237e+00 4.390814940884383194e-11
2.146131805157593053e+00 4.241013628053978441e-11
2.169054441260744870e+00 4.098123344485717562e-11
2.191977077363897131e+00 3.961675479737254029e-11
2.214899713467048947e+00 3.831187148927586757e-11
2.237822349570200764e+00 3.706173715419233424e-11
2.260744985673352581e+00 3.586160000720048989e-11
2.283667621776504397e+00 3.470689920966088371e-11
2.306590257879656214e+00 3.359334390065765882e-11
2.329512893982808031e+00 3.251697425332459818e-11
2.352435530085959847e+00 3.147420476860563260e-11
2.375358166189111664e+00 3.046185073417353509e-11
2.398280802292263481e+00 2.947713933315320927e-11
2.421203438395415297e+00 2.851770728147882198e-11
2.444126074498567114e+00 2.758158711144440744e-11
2.467048710601718930e+00 2.666718431816434011e-11
2.489971346704870747e+00 2.577324756661088617e-11
2.512893982808022564e+00 2.489883404372109488e-11
