# log10(T) rate(cm^3/s)
# Total Recomb Rates
1.000000000000000000e+00 3.637893281597462230e-10
1.022922636103151817e+00 3.526648027688128032e-10
1.045845272206303633e+00 3.418649476626795551e-10
1.068767908309455672e+00 3.313808835860709796e-10
1.091690544412607489e+00 3.212039553580429326e-10
1.114613180515759305e+00 3.113257265307409760e-10
1.137535816618911122e+00 3.017379741874913588e-10
1.160458452722062939e+00 2.924326838755066975e-10
1.183381088825214977e+00 2.834020446686364448e-10
1.206303724928366794e+00 2.746384443557563722e-10
1.229226361031518611e+00 2.661344647505328497e-10
1.252148997134670427e+00 2.578828771184583308e-10
1.275071633237822244e+00 2.498766377172118208e-10
1.297994269340974283e+00 2.421088834465998400e-10
1.320916905444126099e+00 2.345729276046846284e-10
1.343839541547277916e+00 2.272622557475688618e-10
1.366762177650429733e+00 2.201705216527798016e-10
1.389684813753581771e+00 2.132915433931345303e-10
1.412607449856733588e+00 2.066192995462571217e-10
1.435530085959885405e+00 2.001479256093787996e-10
1.458452722063037221e+00 1.938717107883309798e-10
1.481375358166189038e+00 1.877850955332840622e-10
1.504297994269340855e+00 1.818826705771531746e-10
1.527220630372492671e+00 1.761591788941785646e-10
1.550143266475644710e+00 1.706095230390453632e-10
1.573065902578796527e+00 1.652287818180513514e-10
1.595988538681948565e+00 1.600122421510308371e-10
1.618911174785100382e+00 1.549554541007249043e-10
1.641833810888252199e+00 1.500543189383945156e-10
1.664756446991404015e+00 1.453052211054316533e-10
1.687679083094555832e+00 1.407052141837827699e-10
1.710601719197707649e+00 1.362522676799188805e-10
1.733524355300859465e+00 1.319455750004737471e-10
1.756446991404011282e+00 1.277859134322706989e-10
1.779369627507163321e+00 1.237760349585490522e-10
1.802292263610315137e+00 1.199210538710096739e-10
1.825214899713467176e+00 1.162287855547661895e-10
1.848137535816618993e+00 1.127099830238012312e-10
1.871060171919770809e+00 1.093784160915004620e-10
1.893982808022922626e+00 1.062507441138360769e-10
1.916905444126074443e+00 1.033461475724677938e-10
1.939828080229226259e+00 1.006857055566140208e-10
1.962750716332378076e+00 9.829153330076481290e-11
1.985673352435529893e+00 9.618572309026101700e-11
2.008595988538681709e+00 9.438915915363797666e-11
2.031518624641833526e+00 9.292029861975524296e-11
2.054441260744985343e+00 9.179402273203123739e-11
2.077363896848137603e+00 9.102066284125451590e-11
2.100286532951289420e+00 9.060529329489221609e-11
2.123209169054441237e+00 9.054735899969104222e-11
2.146131805157593053e+00 9.084067170220693390e-11
2.169054441260744870e+00 9.147376994368943453e-11
2.191977077363897131e+00 9.243059820089519092e-11
2.214899713467048947e+00 9.369142616425862856e-11
2.237822349570200764e+00 9.523390410506582724e-11
2.260744985673352581e+00 9.703413820622992788e-11
2.283667621776504397e+00 9.906767208354471238e-11
2.306590257879656214e+00 1.013102769282362482e-10
2.329512893982808031e+00 1.037384802252824815e-10
2.352435530085959847e+00 1.063297978162091751e-10
2.375358166189111664e+00 1.090626713400224717e-10
2.398280802292263481e+00 1.119161479276951207e-10
2.421203438395415297e+00 1.148693672572220119e-10
2.444126074498567114e+00 1.179009397418961012e-10
2.467048710601718930e+00 1.209883072934356004e-10
2.489971346704870747e+00 1.241071748943878826e-10
2.512893982808022564e+00 1.272310885940249623e-10
2.535816618911174825e+00 1.303312159406874615e-10
2.558739255014326641e+00 1.333763612280979704e-10
2.581661891117478458e+00 1.363332232744736640e-10
2.604584527220630275e+00 1.391668804646370481e-10
2.627507163323782091e+00 1.418414685717765969e-10
2.650429799426934352e+00 1.443210028095635741e-10
