# log10(T) rate(cm^3/s)
# Total Recomb Rates
1.000000000000000000e+00 7.135500230051116670e-10
1.022922636103151817e+00 6.919802917351773628e-10
1.045845272206303633e+00 6.710371482585557976e-10
1.068767908309455672e+00 6.507037447761931242e-10
1.091690544412607489e+00 6.309640053408512645e-10
1.114613180515759305e+00 6.118028869199715318e-10
1.137535816618911122e+00 5.932068056464527090e-10
1.160458452722062939e+00 5.751642898511259872e-10
1.183381088825214977e+00 5.576669223170000307e-10
1.206303724928366794e+00 5.407106221919119477e-10
1.229226361031518611e+00 5.242972879949948075e-10
1.252148997134670427e+00 5.084367754296211282e-10
1.275071633237822244e+00 4.931491193998690988e-10
1.297994269340974283e+00 4.784668354618208992e-10
1.320916905444126099e+00 4.644370629624644230e-10
1.343839541547277916e+00 4.511232541156870181e-10
1.366762177650429733e+00 4.386060842226513647e-10
1.389684813753581771e+00 4.269832693328121922e-10
1.412607449856733588e+00 4.163680344739174882e-10
1.435530085959885405e+00 4.068860764443022944e-10
1.458452722063037221e+00 3.986710007131038632e-10
1.481375358166189038e+00 3.918583664821487203e-10
1.504297994269340855e+00 3.865786278488719121e-10
1.527220630372492671e+00 3.829493921131556883e-10
1.550143266475644710e+00 3.810675111473811737e-10
1.573065902578796527e+00 3.810015663448676388e-10
1.595988538681948565e+00 3.827852969151236660e-10
1.618911174785100382e+00 3.864124574659477143e-10
1.641833810888252199e+00 3.918334826304990471e-10
1.664756446991404015e+00 3.989541974055603621e-10
1.687679083094555832e+00 4.076366577865506671e-10
1.710601719197707649e+00 4.177020533176419873e-10
1.733524355300859465e+00 4.289354656105697531e-10
1.756446991404011282e+00 4.410921657514559512e-10
1.779369627507163321e+00 4.539050557862580050e-10
1.802292263610315137e+00 4.670928179237143514e-10
1.825214899713467176e+00 4.803683286717845842e-10
1.848137535816618993e+00 4.934469197204839017e-10
1.871060171919770809e+00 5.060541167882489412e-10
1.893982808022922626e+00 5.179325545398392153e-10
1.916905444126074443e+00 5.288478425384229981e-10
1.939828080229226259e+00 5.385932370210832045e-10
1.962750716332378076e+00 5.469930501440263416e-10
1.985673352435529893e+00 5.539047976414415146e-10
2.008595988538681709e+00 5.592201444474133480e-10
2.031518624641833526e+00 5.628647540152082324e-10
2.054441260744985343e+00 5.647971803423833983e-10
2.077363896848137603e+00 5.650069625832695421e-10
2.100286532951289420e+00 5.635120918391793840e-10
2.123209169054441237e+00 5.603560199464919294e-10
2.146131805157593053e+00 5.556043727079536325e-10
2.169054441260744870e+00 5.493415168771579953e-10
2.191977077363897131e+00 5.416671129631048846e-10
2.214899713467048947e+00 5.326927659451021989e-10
2.237822349570200764e+00 5.225388643647108624e-10
2.260744985673352581e+00 5.113316758524985924e-10
2.283667621776504397e+00 4.992007446984397297e-10
2.306590257879656214e+00 4.862766153329082636e-10
2.329512893982808031e+00 4.726888853832487471e-10
2.352435530085959847e+00 4.585645742436163564e-10
2.375358166189111664e+00 4.440267788131351940e-10
2.398280802292263481e+00 4.291935780865269991e-10
2.421203438395415297e+00 4.141771432129900348e-10
2.444126074498567114e+00 3.990830096276267586e-10
2.467048710601718930e+00 3.840094725256961878e-10
2.489971346704870747e+00 3.690470753774715483e-10
2.512893982808022564e+00 3.542781720190364195e-10
2.535816618911174825e+00 3.397765545009085286e-10
2.558739255014326641e+00 3.256071497143907130e-10
2.581661891117478458e+00 3.118257964435489533e-10
2.604584527220630275e+00 2.984791199113346609e-10
2.627507163323782091e+00 2.856045226202285932e-10
2.650429799426934352e+00 2.732303083886388099e-10
2.673352435530086169e+00 2.613759514900706262e-10
2.696275071633237985e+00 2.500525156015385785e-10
2.719197707736389802e+00 2.392632189395717548e-10
2.742120343839541619e+00 2.290041336037990523e-10
2.765042979942693435e+00 2.192649997214415181e-10
2.787965616045845252e+00 2.100301292008598100e-10
2.810888252148997069e+00 2.012793701503740296e-10
2.833810888252148885e+00 1.929891013641531738e-10
