# log10(T) rate(cm^3/s)
# Total Recomb Rates
1.000000000000000000e+00 3.230154692327088671e-09
1.022922636103151817e+00 3.143401791615498660e-09
1.045845272206303633e+00 3.058917053293193696e-09
1.068767908309455672e+00 2.976641580864489537e-09
1.091690544412607489e+00 2.896518014240690994e-09
1.114613180515759305e+00 2.818490489693254716e-09
1.137535816618911122e+00 2.742504600846206396e-09
1.160458452722062939e+00 2.668507360680586576e-09
1.183381088825214977e+00 2.596447164524454020e-09
1.206303724928366794e+00 2.526273754002637814e-09
1.229226361031518611e+00 2.457938181921093526e-09
1.252148997134670427e+00 2.391392778061427300e-09
1.275071633237822244e+00 2.326591115861734873e-09
1.297994269340974283e+00 2.263487979960543179e-09
1.320916905444126099e+00 2.202039334581290286e-09
1.343839541547277916e+00 2.142202292735298900e-09
1.366762177650429733e+00 2.083935086221843855e-09
1.389684813753581771e+00 2.027197036404457881e-09
1.412607449856733588e+00 1.971948525743131147e-09
1.435530085959885405e+00 1.918150970062675493e-09
1.458452722063037221e+00 1.865766791537956471e-09
1.481375358166189038e+00 1.814759392377295593e-09
1.504297994269340855e+00 1.765093129185758805e-09
1.527220630372492671e+00 1.716733287990614200e-09
1.550143266475644710e+00 1.669646059911636166e-09
1.573065902578796527e+00 1.623798517459471645e-09
1.595988538681948565e+00 1.579158591445668808e-09
1.618911174785100382e+00 1.535695048488463145e-09
1.641833810888252199e+00 1.493377469098792478e-09
1.664756446991404015e+00 1.452176226331496585e-09
1.687679083094555832e+00 1.412062464986994965e-09
1.710601719197707649e+00 1.373008081349185889e-09
1.733524355300859465e+00 1.334985703445686016e-09
1.756446991404011282e+00 1.297968671816897135e-09
1.779369627507163321e+00 1.261931020780769782e-09
1.802292263610315137e+00 1.226847460180498476e-09
1.825214899713467176e+00 1.192693357602718936e-09
1.848137535816618993e+00 1.159444721054140376e-09
1.871060171919770809e+00 1.127078182084868780e-09
1.893982808022922626e+00 1.095570979347010384e-09
1.916905444126074443e+00 1.064900942577461043e-09
1.939828080229226259e+00 1.035046476994098749e-09
1.962750716332378076e+00 1.005986548094896440e-09
1.985673352435529893e+00 9.777006668497702472e-10
2.008595988538681709e+00 9.501688752752676038e-10
2.031518624641833526e+00 9.233717323824674591e-10
2.054441260744985343e+00 8.972903004887510415e-10
2.077363896848137603e+00 8.719061318843571069e-10
2.100286532951289420e+00 8.472012558448927596e-10
2.123209169054441237e+00 8.231581659812161939e-10
2.146131805157593053e+00 7.997598079183689883e-10
2.169054441260744870e+00 7.769895672954372095e-10
2.191977077363897131e+00 7.548312580784765974e-10
2.214899713467048947e+00 7.332691111788496854e-10
2.237822349570200764e+00 7.122877633695178239e-10
2.260744985673352581e+00 6.918722464920679572e-10
2.283667621776504397e+00 6.720079769474269883e-10
2.306590257879656214e+00 6.526807454634197428e-10
2.329512893982808031e+00 6.338767071325121419e-10
2.352435530085959847e+00 6.155823717132534539e-10
2.375358166189111664e+00 5.977845941891092353e-10
2.398280802292263481e+00 5.804705655785391124e-10
2.421203438395415297e+00 5.636278039903296854e-10
2.444126074498567114e+00 5.472441459183483468e-10
2.467048710601718930e+00 5.313077377700251504e-10
2.489971346704870747e+00 5.158070276230162781e-10
2.512893982808022564e+00 5.007307572046250738e-10
2.535816618911174825e+00 4.860679540886962019e-10
2.558739255014326641e+00 4.718079241048097427e-10
2.581661891117478458e+00 4.579402439547221328e-10
2.604584527220630275e+00 4.444547540311145459e-10
2.627507163323782091e+00 4.313415514338082068e-10
2.650429799426934352e+00 4.185909831787105661e-10
2.673352435530086169e+00 4.061936395948518501e-10
2.696275071633237985e+00 3.941403479049562910e-10
2.719197707736389802e+00 3.824221659850912901e-10
2.742120343839541619e+00 3.710303762990056493e-10
2.765042979942693435e+00 3.599564800028568240e-10
2.787965616045845252e+00 3.491921912160978230e-10
