# log10(T) rate(cm^3/s)
# Total Recomb Rates
1.000000000000000000e+00 1.104705570936547867e-09
1.022922636103151817e+00 1.072623769160824241e-09
1.045845272206303633e+00 1.041428016731289372e-09
1.068767908309455672e+00 1.011095146634562178e-09
1.091690544412607489e+00 9.816025758472742726e-10
1.114613180515759305e+00 9.529282902357193526e-10
1.137535816618911122e+00 9.250508298779763855e-10
1.160458452722062939e+00 8.979492747971992633e-10
1.183381088825214977e+00 8.716032310949366864e-10
1.206303724928366794e+00 8.459928174735716624e-10
1.229226361031518611e+00 8.210986521371503301e-10
1.252148997134670427e+00 7.969018400600854027e-10
1.275071633237822244e+00 7.733839606134594058e-10
1.297994269340974283e+00 7.505270555389942005e-10
1.320916905444126099e+00 7.283136172616452966e-10
1.343839541547277916e+00 7.067265775342197418e-10
1.366762177650429733e+00 6.857492964147306179e-10
1.389684813753581771e+00 6.653655515974873642e-10
1.412607449856733588e+00 6.455595281712258475e-10
1.435530085959885405e+00 6.263158090012183007e-10
1.458452722063037221e+00 6.076193662007249143e-10
1.481375358166189038e+00 5.894555546921307162e-10
1.504297994269340855e+00 5.718101098363816970e-10
1.527220630372492671e+00 5.546691527475346330e-10
1.550143266475644710e+00 5.380192094105318280e-10
1.573065902578796527e+00 5.218472531717224855e-10
1.595988538681948565e+00 5.061407843998232388e-10
1.618911174785100382e+00 4.908879655342123476e-10
1.641833810888252199e+00 4.760778332547242291e-10
1.664756446991404015e+00 4.617006105602579551e-10
1.687679083094555832e+00 4.477481383325147957e-10
1.710601719197707649e+00 4.342144368792383915e-10
1.733524355300859465e+00 4.210963921446509962e-10
1.756446991404011282e+00 4.083945391849297591e-10
1.779369627507163321e+00 3.961138892104821091e-10
1.802292263610315137e+00 3.842647196822543977e-10
1.825214899713467176e+00 3.728632244487698249e-10
1.848137535816618993e+00 3.619319078440498301e-10
1.871060171919770809e+00 3.514996073681317819e-10
1.893982808022922626e+00 3.416010465572290674e-10
1.916905444126074443e+00 3.322758528878364469e-10
1.939828080229226259e+00 3.235670222376389090e-10
1.962750716332378076e+00 3.155188662923557344e-10
1.985673352435529893e+00 3.081745354775913071e-10
2.008595988538681709e+00 3.015732601780194203e-10
2.031518624641833526e+00 2.957474905955871776e-10
2.054441260744985343e+00 2.907201357832009049e-10
2.077363896848137603e+00 2.865021028110745573e-10
2.100286532951289420e+00 2.830903179980483620e-10
2.123209169054441237e+00 2.804663764527784955e-10
2.146131805157593053e+00 2.785959185011758943e-10
2.169054441260744870e+00 2.774287777193510058e-10
2.191977077363897131e+00 2.768998912838225898e-10
2.214899713467048947e+00 2.769309146584846663e-10
2.237822349570200764e+00 2.774324434795187079e-10
2.260744985673352581e+00 2.783067183846213283e-10
2.283667621776504397e+00 2.794506740581972903e-10
2.306590257879656214e+00 2.807591906956833803e-10
2.329512893982808031e+00 2.821284117350331895e-10
2.352435530085959847e+00 2.834590025327731273e-10
2.375358166189111664e+00 2.846592370948225261e-10
2.398280802292263481e+00 2.856478111744781373e-10
2.421203438395415297e+00 2.863562885738606954e-10
2.444126074498567114e+00 2.867310935844229865e-10
2.467048710601718930e+00 2.867349680235282995e-10
2.489971346704870747e+00 2.863478191788443710e-10
2.512893982808022564e+00 2.855668983044093237e-10
2.535816618911174825e+00 2.844062705678234908e-10
2.558739255014326641e+00 2.828955674810124606e-10
2.581661891117478458e+00 2.810780508628806153e-10
2.604584527220630275e+00 2.790080603321364800e-10
2.627507163323782091e+00 2.767479597504256627e-10
2.650429799426934352e+00 2.743647367300450163e-10
2.673352435530086169e+00 2.719264382771276164e-10
2.696275071633237985e+00 2.694986409152068372e-10
2.719197707736389802e+00 2.671411529940575937e-10
2.742120343839541619e+00 2.649051301326168392e-10
2.765042979942693435e+00 2.628307536559534765e-10
2.787965616045845252e+00 2.609455798771485528e-10
2.810888252148997069e+00 2.592636196174696931e-10
2.833810888252148885e+00 2.577851573218396509e-10
2.856733524355300702e+00 2.564972721393430413e-10
2.879656160458452518e+00 2.553749832602699048e-10
2.902578796561604335e+00 2.543829113629062989e-10
2.925501432664756152e+00 2.534773286515615820e-10
2.948424068767907968e+00 2.526084617864805645e-10
2.971346704871059785e+00 2.517229139929075463e-10
2.994269340974212046e+00 2.507660828918663470e-10
3.017191977077363862e+00 2.496844666946726797e-10
3.040114613180515679e+00 2.484277707776872241e-10
3.063037249283667496e+00 2.469507469521819901e-10
3.085959885386819312e+00 2.452147171259052916e-10
3.108882521489971129e+00 2.431887503669331109e-10
3.131805157593122946e+00 2.408504772029620868e-10
3.154727793696275207e+00 2.381865375204507627e-10
3.177650429799427023e+00 2.351926692757560121e-10
3.200573065902578840e+00 2.318734551350738189e-10
3.223495702005730656e+00 2.282417537259017838e-10
3.246418338108882473e+00 2.243178516769180982e-10
3.269340974212034290e+00 2.201283818828543487e-10
3.292263610315186106e+00 2.157050618922690085e-10
3.315186246418337923e+00 2.110833131466466399e-10
3.338108882521489740e+00 2.063008260942174999e-10
3.361031518624641556e+00 2.013961371939971537e-10
3.383954154727793817e+00 1.964072810602259324e-10
3.406876790830945634e+00 1.913705744394997122e-10
3.429799426934097450e+00 1.863195787695173202e-10
3.452722063037249267e+00 1.812842755319847051e-10
3.475644699140401084e+00 1.762904745435201873e-10
3.498567335243552900e+00 1.713594609071140108e-10
3.521489971346704717e+00 1.665078727193279331e-10
3.544412607449856534e+00 1.617477897782829103e-10
3.567335243553008350e+00 1.570870041932297785e-10
3.590257879656160167e+00 1.525294373863927825e-10
3.613180515759312428e+00 1.480756646275397432e-10
3.636103151862464244e+00 1.437235078072585209e-10
3.659025787965616061e+00 1.394686592771863288e-10
3.681948424068767878e+00 1.353053037544518739e-10
3.704871060171919694e+00 1.312267109046099099e-10
3.727793696275071511e+00 1.272257776492368421e-10
3.750716332378223328e+00 1.232955058688231980e-10
3.773638968481375144e+00 1.194294074165090858e-10
3.796561604584526961e+00 1.156218337388328009e-10
3.819484240687678778e+00 1.118682315564260228e-10
3.842406876790831038e+00 1.081653287916036172e-10
3.865329512893982855e+00 1.045112562291909237e-10
3.888252148997134672e+00 1.009056104435242951e-10
3.911174785100286488e+00 9.734946267219963113e-11
3.934097421203438305e+00 9.384531703832120550e-11
3.957020057306590122e+00 9.039702032918025159e-11
3.979942693409741938e+00 8.700962488864397844e-11
4.002865329512893311e+00 8.368920639223513092e-11
4.025787965616045128e+00 8.044263946803421021e-11
4.048710601719197832e+00 7.727733620355683524e-11
4.071633237822349649e+00 7.420095524277583124e-11
4.094555873925501466e+00 7.122109199831028746e-11
4.117478510028653282e+00 6.834496300368300445e-11
4.140401146131805099e+00 6.557909917703317992e-11
4.163323782234956916e+00 6.292906345453377373e-11
4.186246418338108732e+00 6.039920775215351564e-11
4.209169054441260549e+00 5.799248259673843652e-11
4.232091690544412366e+00 5.571031027041552563e-11
4.255014326647564182e+00 5.355252928301866200e-11
4.277936962750716887e+00 5.151741479236325598e-11
4.300859598853868704e+00 4.960177652176883131e-11
4.323782234957020520e+00 4.780113291093230045e-11
4.346704871060172337e+00 4.610995761626537359e-11
4.369627507163324154e+00 4.452199181154939099e-11
4.392550143266475970e+00 4.303061270375178157e-11
4.415472779369627787e+00 4.162924499813358296e-11
4.438395415472779604e+00 4.031179765213149884e-11
4.461318051575931420e+00 3.907310340412685126e-11
4.484240687679083237e+00 3.790933387117075375e-11
4.507163323782235054e+00 3.681835939778575210e-11
4.530085959885386870e+00 3.580002135399536267e-11
4.553008595988538687e+00 3.485628616402580987e-11
4.575931232091690504e+00 3.399125558124077618e-11
4.598853868194842320e+00 3.321101664626571703e-11
4.621776504297994137e+00 3.252332677999625478e-11
4.644699140401145954e+00 3.193714339645861413e-11
4.667621776504297770e+00 3.146202168990630377e-11
4.690544412607449587e+00 3.110741712426637228e-11
4.713467048710601404e+00 3.088193903584927973e-11
4.736389684813753220e+00 3.079260744763091811e-11
4.759312320916905037e+00 3.084416604582977497e-11
4.782234957020056854e+00 3.103850027936808679e-11
4.805157593123208670e+00 3.137420129224569479e-11
4.828080229226360487e+00 3.184630492755370419e-11
4.851002865329512304e+00 3.244622165975851141e-11
4.873925501432664120e+00 3.316185939720513026e-11
4.896848137535815937e+00 3.397792791645783548e-11
4.919770773638967754e+00 3.487640226937109248e-11
4.942693409742119570e+00 3.583711355712121585e-11
4.965616045845272275e+00 3.683842938608993395e-11
4.988538681948424092e+00 3.785798321484058756e-11
5.011461318051575908e+00 3.887341154800532235e-11
5.034383954154727725e+00 3.986306024659237709e-11
5.057306590257879542e+00 4.080662571130403670e-11
5.080229226361031358e+00 4.168570289306762349e-11
5.103151862464183175e+00 4.248421948645863434e-11
5.126074498567334992e+00 4.318874373404953618e-11
5.148997134670486808e+00 4.378866147112095124e-11
5.171919770773638625e+00 4.427622584310520915e-11
5.194842406876790442e+00 4.464649004978924056e-11
5.217765042979942258e+00 4.489713910742886482e-11
5.240687679083094075e+00 4.502824068210786443e-11
5.263610315186245892e+00 4.504193738219239189e-11
5.286532951289397708e+00 4.494210350031136052e-11
5.309455587392550413e+00 4.473398820393697772e-11
5.332378223495702230e+00 4.442386484617540126e-11
5.355300859598854046e+00 4.401870274742059499e-11
5.378223495702005863e+00 4.352587386953166489e-11
5.401146131805157680e+00 4.295290265296444526e-11
5.424068767908309496e+00 4.230726326257421389e-11
5.446991404011461313e+00 4.159622487321932877e-11
5.469914040114613130e+00 4.082674262359450268e-11
5.492836676217764946e+00 4.000538959072467558e-11
5.515759312320916763e+00 3.913832362113503499e-11
5.538681948424068580e+00 3.823128206143814548e-11
5.561604584527220396e+00 3.728959727241092044e-11
5.584527220630372213e+00 3.631822616482406111e-11
5.607449856733524030e+00 3.532178772547651842e-11
5.630372492836675846e+00 3.430460347157972070e-11
5.653295128939827663e+00 3.327073685653797322e-11
5.676217765042979480e+00 3.222402874600243689e-11
5.699140401146131296e+00 3.116812710958411074e-11
5.722063037249283113e+00 3.010650997532612152e-11
5.744985673352435818e+00 2.904250143858539416e-11
5.767908309455587634e+00 2.797928109176184184e-11
5.790830945558739451e+00 2.691988764935301609e-11
5.813753581661891268e+00 2.586721779834874076e-11
5.836676217765043084e+00 2.482402142836133111e-11
5.859598853868194901e+00 2.379289441402423955e-11
5.882521489971346718e+00 2.277627005971252360e-11
5.905444126074498534e+00 2.177641019782120002e-11
5.928366762177650351e+00 2.079539677824338304e-11
5.951289398280802168e+00 1.983512461640760509e-11
5.974212034383953984e+00 1.889729579460989752e-11
5.997134670487105801e+00 1.798341604710336038e-11
6.020057306590257618e+00 1.709479331084810254e-11
6.042979942693409434e+00 1.623253849547591029e-11
6.065902578796561251e+00 1.539756842004002885e-11
6.088825214899713067e+00 1.459061078083975236e-11
6.111747851002864884e+00 1.381221095303732513e-11
6.134670487106016701e+00 1.306274038702596124e-11
6.157593123209168517e+00 1.234240633612032375e-11
6.180515759312320334e+00 1.165126264242223566e-11
6.203438395415473039e+00 1.098922130991634321e-11
6.226361031518624856e+00 1.035606460533697742e-11
6.249283667621776672e+00 9.751457445695297035e-12
6.272206303724928489e+00 9.174959854422557727e-12
6.295128939828080306e+00 8.626039294030360169e-12
6.318051575931232122e+00 8.104082710490056820e-12
6.340974212034383939e+00 7.608408151964893665e-12
6.363896848137535756e+00 7.138275851143533354e-12
6.386819484240687572e+00 6.692898685523330693e-12
6.409742120343839389e+00 6.271451953090350217e-12
6.432664756446991206e+00 5.873082421636196165e-12
6.455587392550143022e+00 5.496916628281764802e-12
6.478510028653294839e+00 5.142068421605420826e-12
6.501432664756446655e+00 4.807645752148154515e-12
6.524355300859598472e+00 4.492756728108159890e-12
6.547277936962750289e+00 4.196514961905206143e-12
6.570200573065902105e+00 3.918044240184702078e-12
6.593123209169053922e+00 3.656482554951409083e-12
6.616045845272205739e+00 3.410985537088470817e-12
6.638968481375357555e+00 3.180729335740717235e-12
6.661891117478510260e+00 2.964912988125675541e-12
6.684813753581662077e+00 2.762760324471748263e-12
6.707736389684813894e+00 2.573521452145421108e-12
6.730659025787965710e+00 2.396473861776461316e-12
6.753581661891117527e+00 2.230923196460829574e-12
6.776504297994269344e+00 2.076203723038993984e-12
6.799426934097421160e+00 1.931678542117050022e-12
6.822349570200572977e+00 1.796739571009428121e-12
6.845272206303724793e+00 1.670807331209426044e-12
6.868194842406876610e+00 1.553330569398827801e-12
6.891117478510028427e+00 1.443785738439666486e-12
6.914040114613180243e+00 1.341676362288766743e-12
6.936962750716332060e+00 1.246532306368580924e-12
6.959885386819483877e+00 1.157908972638063183e-12
6.982808022922635693e+00 1.075386436449977100e-12
7.005730659025787510e+00 9.985685402658706521e-13
7.028653295128939327e+00 9.270819574320803159e-13
7.051575931232091143e+00 8.605752375009491895e-13
7.074498567335242960e+00 7.987178430094613269e-13
7.097421203438395665e+00 7.411991861989478373e-13
7.120343839541547482e+00 6.877276728688662987e-13
7.143266475644699298e+00 6.380297593981169526e-13
7.166189111747851115e+00 5.918490279314934467e-13
7.189111747851002931e+00 5.489452838082538536e-13
7.212034383954154748e+00 5.090936784963566447e-13
7.234957020057306565e+00 4.720838605809538551e-13
7.257879656160458381e+00 4.377191567310522212e-13
7.280802292263610198e+00 4.058157840256795891e-13
7.303724928366762015e+00 3.762020945526804351e-13
7.326647564469913831e+00 3.487178527920148952e-13
7.349570200573065648e+00 3.232135459542112297e-13
7.372492836676217465e+00 2.995497271569438401e-13
7.395415472779369281e+00 2.775963910825825774e-13
7.418338108882521098e+00 2.572323815614458870e-13
7.441260744985672915e+00 2.383448303643576850e-13
7.464183381088824731e+00 2.208286263593271133e-13
7.487106017191976548e+00 2.045859140865948703e-13
7.510028653295128365e+00 1.895256207301467400e-13
7.532951289398280181e+00 1.755630104087152589e-13
7.555873925501432886e+00 1.626192646722538581e-13
7.578796561604584703e+00 1.506210880681982490e-13
7.601719197707736519e+00 1.395003376331194869e-13
7.624641833810888336e+00 1.291936751675701907e-13
7.647564469914040153e+00 1.196422411631083919e-13
7.670487106017191969e+00 1.107913492691009563e-13
7.693409742120343786e+00 1.025902002115000174e-13
7.716332378223495603e+00 9.499161410514375552e-14
7.739255014326647419e+00 8.795178013418766485e-14
7.762177650429799236e+00 8.143002261111469886e-14
7.785100286532951053e+00 7.538858246261415957e-14
7.808022922636102869e+00 6.979241322979978813e-14
7.830945558739254686e+00 6.460899071018940449e-14
7.853868194842406503e+00 5.980813540912144171e-14
7.876790830945558319e+00 5.536184700844296906e-14
7.899713467048710136e+00 5.124415010004493848e-14
7.922636103151861953e+00 4.743095047087872838e-14
7.945558739255013769e+00 4.389990126425251233e-14
7.968481375358165586e+00 4.063027837930565401e-14
7.991404011461317403e+00 3.760286450647072682e-14
8.014326647564470107e+00 3.479984123135407585e-14
8.037249283667621924e+00 3.220468867273457148e-14
8.060171919770773741e+00 2.980209215224701061e-14
8.083094555873925557e+00 2.757785542376555067e-14
8.106017191977077374e+00 2.551882001951444584e-14
8.128939828080229191e+00 2.361279029752674041e-14
8.151862464183381007e+00 2.184846380125579255e-14
8.174785100286532824e+00 2.021536656694994897e-14
8.197707736389684641e+00 1.870379303786024044e-14
8.220630372492836457e+00 1.730475026650466241e-14
8.243553008595988274e+00 1.600990610710441245e-14
8.266475644699140091e+00 1.481154111998362864e-14
8.289398280802291907e+00 1.370250392823559878e-14
8.312320916905443724e+00 1.267616978435317694e-14
8.335243553008595541e+00 1.172640212085324636e-14
8.358166189111747357e+00 1.084751687424300333e-14
8.381088825214899174e+00 1.003424938603245032e-14
8.404011461318050991e+00 9.281723697941716555e-15
8.426934097421202807e+00 8.585424071032923270e-15
8.449856733524356400e+00 7.941168570262005832e-15
8.472779369627506441e+00 7.345084566942431728e-15
8.495702005730660034e+00 6.793586021882749023e-15
8.518624641833810074e+00 6.283352421551970423e-15
8.541547277936963667e+00 5.811309248570077881e-15
8.564469914040113707e+00 5.374609876171822902e-15
8.587392550143267300e+00 4.970618784067350775e-15
8.610315186246417340e+00 4.596896000379204788e-15
8.633237822349570934e+00 4.251182681085669128e-15
8.656160458452720974e+00 3.931387744695493954e-15
8.679083094555874567e+00 3.635575485731720383e-15
8.702005730659024607e+00 3.361954096056703029e-15
8.724928366762178200e+00 3.108865028138754950e-15
8.747851002865328240e+00 2.874773139081563364e-15
8.770773638968481833e+00 2.658257558622065866e-15
8.793696275071631874e+00 2.458003228384314569e-15
8.816618911174785467e+00 2.272793063466396260e-15
8.839541547277935507e+00 2.101500690963947996e-15
8.862464183381089100e+00 1.943083723306486555e-15
8.885386819484239140e+00 1.796577527327175316e-15
8.908309455587392733e+00 1.661089452811022452e-15
8.931232091690544550e+00 1.535793486892995019e-15
8.954154727793696367e+00 1.419925303113602082e-15
8.977077363896848183e+00 1.312777676203877896e-15
9.000000000000000000e+00 1.213696235772156251e-15
