# log10(T) rate(cm^3/s)
# Total Recomb Rates
1.000000000000000000e+00 1.664687860274782314e-09
1.022922636103151817e+00 1.615498631373703964e-09
1.045845272206303633e+00 1.567696281744672233e-09
1.068767908309455672e+00 1.521243939981639471e-09
1.091690544412607489e+00 1.476105660595729982e-09
1.114613180515759305e+00 1.432246400907996553e-09
1.137535816618911122e+00 1.389631998583283944e-09
1.160458452722062939e+00 1.348229149785656766e-09
1.183381088825214977e+00 1.308005387936307470e-09
1.206303724928366794e+00 1.268929063055285303e-09
1.229226361031518611e+00 1.230969321668837310e-09
1.252148997134670427e+00 1.194096087264575336e-09
1.275071633237822244e+00 1.158280041277158209e-09
1.297994269340974283e+00 1.123492604587572439e-09
1.320916905444126099e+00 1.089705919519600772e-09
1.343839541547277916e+00 1.056892832317452210e-09
1.366762177650429733e+00 1.025026876089028112e-09
1.389684813753581771e+00 9.940822541996950638e-10
1.412607449856733588e+00 9.640338241019287771e-10
1.435530085959885405e+00 9.348570815865961446e-10
1.458452722063037221e+00 9.065281454421350473e-10
1.481375358166189038e+00 8.790237425084143956e-10
1.504297994269340855e+00 8.523211931129293538e-10
1.527220630372492671e+00 8.263983968792120200e-10
1.550143266475644710e+00 8.012338189043467432e-10
1.573065902578796527e+00 7.768064763248244031e-10
1.595988538681948565e+00 7.530959253568673869e-10
1.618911174785100382e+00 7.300822490814203959e-10
1.641833810888252199e+00 7.077460467081241619e-10
1.664756446991404015e+00 6.860684261255236741e-10
1.687679083094555832e+00 6.650310038199203130e-10
1.710601719197707649e+00 6.446159206732140888e-10
1.733524355300859465e+00 6.248058900531920863e-10
1.756446991404011282e+00 6.055843075148840806e-10
1.779369627507163321e+00 5.869354706083564182e-10
1.802292263610315137e+00 5.688449829446947667e-10
1.825214899713467176e+00 5.513004469050290722e-10
1.848137535816618993e+00 5.342925791804704338e-10
1.871060171919770809e+00 5.178169041385492351e-10
1.893982808022922626e+00 5.018761803095991967e-10
1.916905444126074443e+00 4.864836826176711721e-10
1.939828080229226259e+00 4.716673872583768004e-10
1.962750716332378076e+00 4.574749836004245173e-10
1.985673352435529893e+00 4.439794742437746192e-10
2.008595988538681709e+00 4.312849380715037441e-10
2.031518624641833526e+00 4.195318500241045272e-10
2.054441260744985343e+00 4.089012101526743463e-10
2.077363896848137603e+00 3.996166680129623608e-10
2.100286532951289420e+00 3.919438638278894608e-10
2.123209169054441237e+00 3.861863579531906416e-10
2.146131805157593053e+00 3.826777794199335483e-10
2.169054441260744870e+00 3.817701680933757766e-10
2.191977077363897131e+00 3.838188730675281184e-10
2.214899713467048947e+00 3.891647530362589200e-10
2.237822349570200764e+00 3.981147524690561127e-10
2.260744985673352581e+00 4.109221578104585739e-10
2.283667621776504397e+00 4.277679419287919252e-10
2.306590257879656214e+00 4.487445717211550589e-10
2.329512893982808031e+00 4.738434904645085726e-10
2.352435530085959847e+00 5.029472162663875719e-10
2.375358166189111664e+00 5.358266548542290504e-10
2.398280802292263481e+00 5.721438479811948238e-10
2.421203438395415297e+00 6.114600059735378116e-10
2.444126074498567114e+00 6.532483365638042006e-10
2.467048710601718930e+00 6.969109052885685995e-10
2.489971346704870747e+00 7.417985584555843738e-10
2.512893982808022564e+00 7.872328118894380827e-10
2.535816618911174825e+00 8.325285542847750709e-10
2.558739255014326641e+00 8.770164258386717382e-10
2.581661891117478458e+00 9.200638021554395263e-10
2.604584527220630275e+00 9.610934316501045688e-10
2.627507163323782091e+00 9.995989340236897382e-10
2.650429799426934352e+00 1.035156560391805006e-09
2.673352435530086169e+00 1.067432834186717902e-09
2.696275071633237985e+00 1.096187926157521886e-09
2.719197707736389802e+00 1.121274854505269079e-09
2.742120343839541619e+00 1.142634828213315129e-09
2.765042979942693435e+00 1.160289252838823169e-09
2.787965616045845252e+00 1.174329079086851596e-09
2.810888252148997069e+00 1.184902283798705921e-09
2.833810888252148885e+00 1.192200323391435607e-09
2.856733524355300702e+00 1.196444389637063308e-09
2.879656160458452518e+00 1.197872231071097489e-09
2.902578796561604335e+00 1.196726189508456862e-09
2.925501432664756152e+00 1.193242953182153494e-09
2.948424068767907968e+00 1.187645361049358779e-09
2.971346704871059785e+00 1.180136422207273352e-09
2.994269340974212046e+00 1.170895554066008770e-09
3.017191977077363862e+00 1.160076904160968945e-09
3.040114613180515679e+00 1.147809510993255606e-09
3.063037249283667496e+00 1.134198983077937072e-09
3.085959885386819312e+00 1.119330332963890211e-09
3.108882521489971129e+00 1.103271591929714458e-09
3.131805157593122946e+00 1.086077846749861763e-09
3.154727793696275207e+00 1.067795376425663723e-09
3.177650429799427023e+00 1.048465617621137673e-09
3.200573065902578840e+00 1.028128746419274777e-09
3.223495702005730656e+00 1.006826725272706473e-09
3.246418338108882473e+00 9.846057230132398198e-10
3.269340974212034290e+00 9.615178690180940421e-10
3.292263610315186106e+00 9.376223477950413434e-10
3.315186246418337923e+00 9.129858761198814668e-10
3.338108882521489740e+00 8.876826311388549367e-10
3.361031518624641556e+00 8.617937149630620266e-10
3.383954154727793817e+00 8.354062501777333584e-10
3.406876790830945634e+00 8.086122026361872244e-10
3.429799426934097450e+00 7.815070243324615293e-10
3.452722063037249267e+00 7.541882014963090371e-10
3.475644699140401084e+00 7.267537827016198397e-10
3.498567335243552900e+00 6.993009499537417310e-10
3.521489971346704717e+00 6.719246834660475031e-10
3.544412607449856534e+00 6.447165589815571376e-10
3.567335243553008350e+00 6.177637056380928187e-10
3.590257879656160167e+00 5.911479428627984764e-10
3.613180515759312428e+00 5.649451067053007744e-10
3.636103151862464244e+00 5.392245692255853566e-10
3.659025787965616061e+00 5.140489486905764761e-10
3.681948424068767878e+00 4.894740029369101410e-10
3.704871060171919694e+00 4.655486928721425885e-10
3.727793696275071511e+00 4.423153974134115088e-10
3.750716332378223328e+00 4.198102551853052278e-10
3.773638968481375144e+00 3.980636023578757289e-10
3.796561604584526961e+00 3.771004707840145495e-10
3.819484240687678778e+00 3.569411070052981013e-10
3.842406876790831038e+00 3.376014716852729498e-10
3.865329512893982855e+00 3.190936813509376616e-10
3.888252148997134672e+00 3.014263603188938220e-10
3.911174785100286488e+00 2.846048801453103053e-10
3.934097421203438305e+00 2.686314760851742509e-10
