# log10(T) rate(cm^3/s)
# Total Recomb Rates
1.000000000000000000e+00 1.879244466368915002e-09
1.022922636103151817e+00 1.828185648874417218e-09
1.045845272206303633e+00 1.778465924362185747e-09
1.068767908309455672e+00 1.730050588594473913e-09
1.091690544412607489e+00 1.682905842714788583e-09
1.114613180515759305e+00 1.636998769595233988e-09
1.137535816618911122e+00 1.592297310795484481e-09
1.160458452722062939e+00 1.548770244117367240e-09
1.183381088825214977e+00 1.506387161739487592e-09
1.206303724928366794e+00 1.465118448916727501e-09
1.229226361031518611e+00 1.424935263229846665e-09
1.252148997134670427e+00 1.385809514370837539e-09
1.275071633237822244e+00 1.347713844450031762e-09
1.297994269340974283e+00 1.310621608811355010e-09
1.320916905444126099e+00 1.274506857342484636e-09
1.343839541547277916e+00 1.239344316267023432e-09
1.366762177650429733e+00 1.205109370406149066e-09
1.389684813753581771e+00 1.171778045897537016e-09
1.412607449856733588e+00 1.139326993359693388e-09
1.435530085959885405e+00 1.107733471490144583e-09
1.458452722063037221e+00 1.076975331086264559e-09
1.481375358166189038e+00 1.047030999477804561e-09
1.504297994269340855e+00 1.017879465360520672e-09
1.527220630372492671e+00 9.895002640205546552e-10
1.550143266475644710e+00 9.618734629395362490e-10
1.573065902578796527e+00 9.349796477706459926e-10
1.595988538681948565e+00 9.087999086761339466e-10
1.618911174785100382e+00 8.833158270170849062e-10
1.641833810888252199e+00 8.585094623864517800e-10
1.664756446991404015e+00 8.343633399766458904e-10
1.687679083094555832e+00 8.108604382732145892e-10
1.710601719197707649e+00 7.879841770663725361e-10
1.733524355300859465e+00 7.657184057723920430e-10
1.756446991404011282e+00 7.440473920570760558e-10
1.779369627507163321e+00 7.229558107537675078e-10
1.802292263610315137e+00 7.024287330685537145e-10
1.825214899713467176e+00 6.824516160655349949e-10
1.848137535816618993e+00 6.630102924252347415e-10
1.871060171919770809e+00 6.440909604694137602e-10
1.893982808022922626e+00 6.256801744457521887e-10
1.916905444126074443e+00 6.077648350660331137e-10
1.939828080229226259e+00 5.903321802916610504e-10
1.962750716332378076e+00 5.733697763604944420e-10
1.985673352435529893e+00 5.568655090491592121e-10
2.008595988538681709e+00 5.408075751651646720e-10
2.031518624641833526e+00 5.251844742632910465e-10
2.054441260744985343e+00 5.099850005808787677e-10
2.077363896848137603e+00 4.951982351867866902e-10
2.100286532951289420e+00 4.808135383389261717e-10
2.123209169054441237e+00 4.668205420454113492e-10
2.146131805157593053e+00 4.532091428244929093e-10
