# log10(T) rate(cm^3/s)
# Total Recomb Rates
1.000000000000000000e+00 2.209992819698892904e-09
1.022922636103151817e+00 2.151055027908386762e-09
1.045845272206303633e+00 2.093654979822976688e-09
1.068767908309455672e+00 2.037752686674316737e-09
1.091690544412607489e+00 1.983309202438420088e-09
1.114613180515759305e+00 1.930286596688417689e-09
1.137535816618911122e+00 1.878647928153803599e-09
1.160458452722062939e+00 1.828357218967722751e-09
1.183381088825214977e+00 1.779379429584332080e-09
1.206303724928366794e+00 1.731680434348730237e-09
1.229226361031518611e+00 1.685226997702418639e-09
1.252148997134670427e+00 1.639986751007672702e-09
1.275071633237822244e+00 1.595928169974673182e-09
1.297994269340974283e+00 1.553020552675615624e-09
1.320916905444126099e+00 1.511233998130479166e-09
1.343839541547277916e+00 1.470539385449485210e-09
1.366762177650429733e+00 1.430908353517701221e-09
1.389684813753581771e+00 1.392313281207599585e-09
1.412607449856733588e+00 1.354727268105763193e-09
1.435530085959885405e+00 1.318124115740276007e-09
1.458452722063037221e+00 1.282478309295698949e-09
1.481375358166189038e+00 1.247764999802856992e-09
1.504297994269340855e+00 1.213959986791014201e-09
1.527220630372492671e+00 1.181039701390312347e-09
1.550143266475644710e+00 1.148981189872680591e-09
1.573065902578796527e+00 1.117762097619733113e-09
1.595988538681948565e+00 1.087360653506449074e-09
1.618911174785100382e+00 1.057755654689744049e-09
1.641833810888252199e+00 1.028926451791311096e-09
1.664756446991404015e+00 1.000852934464394616e-09
1.687679083094555832e+00 9.735155173344202611e-10
1.710601719197707649e+00 9.468951263036796636e-10
1.733524355300859465e+00 9.209731852105060892e-10
1.756446991404011282e+00 8.957316028336570742e-10
1.779369627507163321e+00 8.711527602328223151e-10
1.802292263610315137e+00 8.472194984164537509e-10
1.825214899713467176e+00 8.239151063283156774e-10
1.848137535816618993e+00 8.012233091443984031e-10
1.871060171919770809e+00 7.791282568720449278e-10
1.893982808022922626e+00 7.576145132433649074e-10
1.916905444126074443e+00 7.366670448952153136e-10
1.939828080229226259e+00 7.162712108282332638e-10
1.962750716332378076e+00 6.964127521376049211e-10
1.985673352435529893e+00 6.770777820084470928e-10
2.008595988538681709e+00 6.582527759688786493e-10
2.031518624641833526e+00 6.399245623940267954e-10
2.054441260744985343e+00 6.220803132544121721e-10
2.077363896848137603e+00 6.047075351023216767e-10
2.100286532951289420e+00 5.877940602899584295e-10
2.123209169054441237e+00 5.713280384133184720e-10
2.146131805157593053e+00 5.552979279759198714e-10
2.169054441260744870e+00 5.396924882666577628e-10
2.191977077363897131e+00 5.245007714462286405e-10
2.214899713467048947e+00 5.097121148367115514e-10
2.237822349570200764e+00 4.953161334090445989e-10
2.260744985673352581e+00 4.813027124632918118e-10
2.283667621776504397e+00 4.676620004967196135e-10
2.306590257879656214e+00 4.543844022548618757e-10
2.329512893982808031e+00 4.414605719608746031e-10
2.352435530085959847e+00 4.288814067186188121e-10
2.375358166189111664e+00 4.166380400850436033e-10
2.398280802292263481e+00 4.047218358075624010e-10
2.421203438395415297e+00 3.931243817222417377e-10
2.444126074498567114e+00 3.818374838087444863e-10
2.467048710601718930e+00 3.708531603980822525e-10
2.489971346704870747e+00 3.601636365293499731e-10
2.512893982808022564e+00 3.497613384517278555e-10
2.535816618911174825e+00 3.396388882681399084e-10
2.558739255014326641e+00 3.297890987170704028e-10
2.581661891117478458e+00 3.202049680891358084e-10
2.604584527220630275e+00 3.108796752751154798e-10
2.627507163323782091e+00 3.018065749422388144e-10
2.650429799426934352e+00 2.929791928356188933e-10
2.673352435530086169e+00 2.843912212018186150e-10
