# log10(T) rate(cm^3/s)
# Total Recomb Rates
1.000000000000000000e+00 4.336066714643452324e-09
1.022922636103151817e+00 4.218651954615119715e-09
1.045845272206303633e+00 4.104318443771146840e-09
1.068767908309455672e+00 3.992986323627314400e-09
1.091690544412607489e+00 3.884577817288590097e-09
1.114613180515759305e+00 3.779017174998822482e-09
1.137535816618911122e+00 3.676230621098609283e-09
1.160458452722062939e+00 3.576146302354651050e-09
1.183381088825214977e+00 3.478694237624943993e-09
1.206303724928366794e+00 3.383806268825097320e-09
1.229226361031518611e+00 3.291416013161958693e-09
1.252148997134670427e+00 3.201458816601730226e-09
1.275071633237822244e+00 3.113871708540550743e-09
1.297994269340974283e+00 3.028593357646450153e-09
1.320916905444126099e+00 2.945564028842380040e-09
1.343839541547277916e+00 2.864725541400905099e-09
1.366762177650429733e+00 2.786021228121876659e-09
1.389684813753581771e+00 2.709395895565239174e-09
1.412607449856733588e+00 2.634795785311870853e-09
1.435530085959885405e+00 2.562168536226093263e-09
1.458452722063037221e+00 2.491463147694216018e-09
1.481375358166189038e+00 2.422629943814197715e-09
1.504297994269340855e+00 2.355620538512169780e-09
1.527220630372492671e+00 2.290387801562258499e-09
1.550143266475644710e+00 2.226885825486785309e-09
1.573065902578796527e+00 2.165069893314552808e-09
1.595988538681948565e+00 2.104896447175542732e-09
1.618911174785100382e+00 2.046323057710977424e-09
1.641833810888252199e+00 1.989308394278210484e-09
1.664756446991404015e+00 1.933812195930575626e-09
1.687679083094555832e+00 1.879795243152774042e-09
1.710601719197707649e+00 1.827219330332991003e-09
1.733524355300859465e+00 1.776047238953395040e-09
1.756446991404011282e+00 1.726242711481213197e-09
1.779369627507163321e+00 1.677770425943032653e-09
1.802292263610315137e+00 1.630595971165468296e-09
1.825214899713467176e+00 1.584685822665777527e-09
1.848137535816618993e+00 1.540007319176458355e-09
1.871060171919770809e+00 1.496528639788271068e-09
1.893982808022922626e+00 1.454218781696556032e-09
1.916905444126074443e+00 1.413047538536098142e-09
1.939828080229226259e+00 1.372985479290180763e-09
1.962750716332378076e+00 1.334003927759842365e-09
1.985673352435529893e+00 1.296074942579682201e-09
2.008595988538681709e+00 1.259171297766934229e-09
2.031518624641833526e+00 1.223266463790828545e-09
2.054441260744985343e+00 1.188334589149591065e-09
2.077363896848137603e+00 1.154350482442725889e-09
2.100286532951289420e+00 1.121289594926521047e-09
2.123209169054441237e+00 1.089128003540988278e-09
2.146131805157593053e+00 1.057842394396733827e-09
2.169054441260744870e+00 1.027410046710484980e-09
2.191977077363897131e+00 9.978088171782735250e-10
2.214899713467048947e+00 9.690171247754942310e-10
2.237822349570200764e+00 9.410139359732802440e-10
2.260744985673352581e+00 9.137787503608816719e-10
2.283667621776504397e+00 8.872915866639001399e-10
2.306590257879656214e+00 8.615329691484815804e-10
2.329512893982808031e+00 8.364839144017168658e-10
2.352435530085959847e+00 8.121259184787160973e-10
2.375358166189111664e+00 7.884409444069980344e-10
2.398280802292263481e+00 7.654114100389942468e-10
2.421203438395415297e+00 7.430201762436561646e-10
2.444126074498567114e+00 7.212505354282995123e-10
2.467048710601718930e+00 7.000862003819933897e-10
2.489971346704870747e+00 6.795112934319445696e-10
2.512893982808022564e+00 6.595103359044875412e-10
2.535816618911174825e+00 6.400682378824309295e-10
2.558739255014326641e+00 6.211702882506690168e-10
2.581661891117478458e+00 6.028021450220955121e-10
2.604584527220630275e+00 5.849498259360105711e-10
2.627507163323782091e+00 5.675996993213499978e-10
2.650429799426934352e+00 5.507384752171992577e-10
2.673352435530086169e+00 5.343531967432067151e-10
2.696275071633237985e+00 5.184312317126301402e-10
2.719197707736389802e+00 5.029602644809146249e-10
2.742120343839541619e+00 4.879282880228130557e-10
2.765042979942693435e+00 4.733235962312205640e-10
2.787965616045845252e+00 4.591347764310178769e-10
2.810888252148997069e+00 4.453507021013743156e-10
2.833810888252148885e+00 4.319605258000879527e-10
2.856733524355300702e+00 4.189536722836945529e-10
2.879656160458452518e+00 4.063198318172118567e-10
2.902578796561604335e+00 3.940489536675337288e-10
2.925501432664756152e+00 3.821312397746336030e-10
2.948424068767907968e+00 3.705571385948789834e-10
2.971346704871059785e+00 3.593173391109078612e-10
2.994269340974212046e+00 3.484027650026649369e-10
3.017191977077363862e+00 3.378045689743416395e-10
3.040114613180515679e+00 3.275141272321069311e-10
3.063037249283667496e+00 3.175230341076777574e-10
3.085959885386819312e+00 3.078230968229055430e-10
3.108882521489971129e+00 2.984063303907205666e-10
3.131805157593122946e+00 2.892649526479114004e-10
3.154727793696275207e+00 2.803913794153673505e-10
3.177650429799427023e+00 2.717782197815572107e-10
3.200573065902578840e+00 2.634182715051583183e-10
3.223495702005730656e+00 2.553045165328980129e-10
