# log10(T) rate(cm^3/s)
# Total Recomb Rates
1.000000000000000000e+00 2.949114555550080627e-11
1.022922636103151817e+00 2.854128027731643761e-11
1.045845272206303633e+00 2.762018737301944180e-11
1.068767908309455672e+00 2.672706718905838881e-11
1.091690544412607489e+00 2.586113998947537778e-11
1.114613180515759305e+00 2.502164549856578306e-11
1.137535816618911122e+00 2.420784245565310071e-11
1.160458452722062939e+00 2.341900818151768739e-11
1.183381088825214977e+00 2.265443815603337006e-11
1.206303724928366794e+00 2.191344560658142738e-11
1.229226361031518611e+00 2.119536110682650117e-11
1.252148997134670427e+00 2.049953218545493533e-11
1.275071633237822244e+00 1.982532294449087117e-11
1.297994269340974283e+00 1.917211368682145753e-11
1.320916905444126099e+00 1.853930055257730081e-11
1.343839541547277916e+00 1.792629516402981208e-11
1.366762177650429733e+00 1.733252427868200768e-11
1.389684813753581771e+00 1.675742945024428617e-11
1.412607449856733588e+00 1.620046669720115124e-11
1.435530085959885405e+00 1.566110617868924200e-11
1.458452722063037221e+00 1.513883187742132638e-11
1.481375358166189038e+00 1.463314128940422624e-11
1.504297994269340855e+00 1.414354512021236855e-11
1.527220630372492671e+00 1.366956698759155912e-11
1.550143266475644710e+00 1.321074313017998160e-11
1.573065902578796527e+00 1.276662212214606290e-11
1.595988538681948565e+00 1.233676459355395866e-11
1.618911174785100382e+00 1.192074295627928478e-11
1.641833810888252199e+00 1.151814113530820511e-11
1.664756446991404015e+00 1.112855430526342974e-11
1.687679083094555832e+00 1.075158863201052881e-11
1.710601719197707649e+00 1.038686101920737596e-11
1.733524355300859465e+00 1.003399885966838709e-11
1.756446991404011282e+00 9.692639791423677986e-12
1.779369627507163321e+00 9.362431458361057774e-12
1.802292263610315137e+00 9.043031275346413809e-12
1.825214899713467176e+00 8.734106197724793335e-12
1.848137535816618993e+00 8.435332495111104887e-12
1.871060171919770809e+00 8.146395529385393281e-12
1.893982808022922626e+00 7.866989536813178690e-12
1.916905444126074443e+00 7.596817414216581582e-12
1.939828080229226259e+00 7.335590509126604931e-12
1.962750716332378076e+00 7.083028413851460704e-12
1.985673352435529893e+00 6.838858763399496610e-12
2.008595988538681709e+00 6.602817037199193667e-12
2.031518624641833526e+00 6.374646364561695599e-12
2.054441260744985343e+00 6.154097333834276291e-12
2.077363896848137603e+00 5.940927805195858432e-12
2.100286532951289420e+00 5.734902727047774955e-12
2.123209169054441237e+00 5.535793955955109550e-12
2.146131805157593053e+00 5.343380080095664249e-12
2.169054441260744870e+00 5.157446246175039155e-12
2.191977077363897131e+00 4.977783989767623662e-12
2.214899713467048947e+00 4.804191069044399518e-12
2.237822349570200764e+00 4.636471301849331771e-12
2.260744985673352581e+00 4.474434406087305396e-12
2.283667621776504397e+00 4.317895843388183438e-12
2.306590257879656214e+00 4.166676666015703259e-12
2.329512893982808031e+00 4.020603367000401306e-12
2.352435530085959847e+00 3.879507733501666002e-12
2.375358166189111664e+00 3.743226703464046318e-12
2.398280802292263481e+00 3.611602225760153690e-12
2.421203438395415297e+00 3.484481124260809468e-12
2.444126074498567114e+00 3.361714966717257425e-12
2.467048710601718930e+00 3.243159940067539188e-12
2.489971346704870747e+00 3.128676734862598521e-12
2.512893982808022564e+00 3.018130442961884929e-12
2.535816618911174825e+00 2.911390474368390702e-12
2.558739255014326641e+00 2.808330500779025510e-12
2.581661891117478458e+00 2.708828434634594040e-12
2.604584527220630275e+00 2.612766452511033526e-12
2.627507163323782091e+00 2.520031069888454299e-12
2.650429799426934352e+00 2.430513270085113916e-12
2.673352435530086169e+00 2.344108683223203042e-12
2.696275071633237985e+00 2.260717801832338369e-12
2.719197707736389802e+00 2.180246209085280452e-12
2.742120343839541619e+00 2.102604785295425822e-12
2.765042979942693435e+00 2.027709850164184814e-12
2.787965616045845252e+00 1.955483194336007068e-12
2.810888252148997069e+00 1.885851955668064106e-12
2.833810888252148885e+00 1.818748304012957617e-12
2.856733524355300702e+00 1.754108912960289118e-12
2.879656160458452518e+00 1.691874216519422813e-12
2.902578796561604335e+00 1.631987470894243341e-12
