# log10(T) rate(cm^3/s)
# Total Recomb Rates
1.000000000000000000e+00 2.141024129094412032e-10
1.022922636103151817e+00 2.182956959687519940e-10
1.045845272206303633e+00 2.232779804168306318e-10
1.068767908309455672e+00 2.289416178770798011e-10
1.091690544412607489e+00 2.351615279294378187e-10
1.114613180515759305e+00 2.417989514984886120e-10
1.137535816618911122e+00 2.487056821824530259e-10
1.160458452722062939e+00 2.557285379725546396e-10
1.183381088825214977e+00 2.627138425086497969e-10
1.206303724928366794e+00 2.695117065436166082e-10
1.229226361031518611e+00 2.759799329194625354e-10
1.252148997134670427e+00 2.819874080453608561e-10
1.275071633237822244e+00 2.874168856677277518e-10
1.297994269340974283e+00 2.921671111131771557e-10
1.320916905444126099e+00 2.961542732783382993e-10
1.343839541547277916e+00 2.993128052944978132e-10
1.366762177650429733e+00 3.015955816494278476e-10
1.389684813753581771e+00 3.029735789977848295e-10
1.412607449856733588e+00 3.034350800106550084e-10
1.435530085959885405e+00 3.029845050502868747e-10
1.458452722063037221e+00 3.016409562829193579e-10
1.481375358166189038e+00 2.994365544009746806e-10
1.504297994269340855e+00 2.964146408465020561e-10
1.527220630372492671e+00 2.926279096651343827e-10
1.550143266475644710e+00 2.881365240120950184e-10
1.573065902578796527e+00 2.830062637056159347e-10
1.595988538681948565e+00 2.773067425545528329e-10
1.618911174785100382e+00 2.711097276197756323e-10
1.641833810888252199e+00 2.644875869812456108e-10
1.664756446991404015e+00 2.575118876848318069e-10
1.687679083094555832e+00 2.502521609846349024e-10
1.710601719197707649e+00 2.427748474637758633e-10
1.733524355300859465e+00 2.351424299016506507e-10
1.756446991404011282e+00 2.274127567933744204e-10
1.779369627507163321e+00 2.196385542960983307e-10
1.802292263610315137e+00 2.118671192722199296e-10
1.825214899713467176e+00 2.041401812875066810e-10
1.848137535816618993e+00 1.964939171881235323e-10
1.871060171919770809e+00 1.889590984801923775e-10
1.893982808022922626e+00 1.815613493575247938e-10
1.916905444126074443e+00 1.743214919669070440e-10
1.939828080229226259e+00 1.672559553694127842e-10
1.962750716332378076e+00 1.603772255659004816e-10
1.985673352435529893e+00 1.536943157495077368e-10
2.008595988538681709e+00 1.472132384243578938e-10
2.031518624641833526e+00 1.409374639618867387e-10
2.054441260744985343e+00 1.348683533284762593e-10
2.077363896848137603e+00 1.290055559038033885e-10
2.100286532951289420e+00 1.233473663442781906e-10
2.123209169054441237e+00 1.178910371960575640e-10
2.146131805157593053e+00 1.126330463358687943e-10
2.169054441260744870e+00 1.075693202645405201e-10
2.191977077363897131e+00 1.026954157829948612e-10
2.214899713467048947e+00 9.800666365809856109e-11
