# log10(T) rate(cm^3/s)
# Total Recomb Rates
1.000000000000000000e+00 3.972140253464151831e-10
1.022922636103151817e+00 3.850529985018945925e-10
1.045845272206303633e+00 3.732584239602085092e-10
1.068767908309455672e+00 3.618219173301584260e-10
1.091690544412607489e+00 3.507364964129527716e-10
1.114613180515759305e+00 3.399969846676235528e-10
1.137535816618911122e+00 3.296004717871676099e-10
1.160458452722062939e+00 3.195467994226497092e-10
1.183381088825214977e+00 3.098390242745099079e-10
1.206303724928366794e+00 3.004837975474979942e-10
1.229226361031518611e+00 2.914915921592419690e-10
1.252148997134670427e+00 2.828767096494843195e-10
1.275071633237822244e+00 2.746570089221494154e-10
1.297994269340974283e+00 2.668533187212874101e-10
1.320916905444126099e+00 2.594885234098425650e-10
1.343839541547277916e+00 2.525863440653116606e-10
1.366762177650429733e+00 2.461698700653244990e-10
1.389684813753581771e+00 2.402599258810568323e-10
1.412607449856733588e+00 2.348733798476967125e-10
1.435530085959885405e+00 2.300215134137442510e-10
1.458452722063037221e+00 2.257085694052063231e-10
1.481375358166189038e+00 2.219305863672612307e-10
1.504297994269340855e+00 2.186746046886250435e-10
1.527220630372492671e+00 2.159183016866520461e-10
1.550143266475644710e+00 2.136300804713450236e-10
1.573065902578796527e+00 2.117696046757636894e-10
1.595988538681948565e+00 2.102887411758547679e-10
1.618911174785100382e+00 2.091328481963537511e-10
1.641833810888252199e+00 2.082423283178871082e-10
1.664756446991404015e+00 2.075543555513267448e-10
1.687679083094555832e+00 2.070046826717835780e-10
1.710601719197707649e+00 2.065294385748838390e-10
1.733524355300859465e+00 2.060668342507168800e-10
1.756446991404011282e+00 2.055587085709343433e-10
1.779369627507163321e+00 2.049518599539535064e-10
1.802292263610315137e+00 2.041991257703587672e-10
1.825214899713467176e+00 2.032601869842349351e-10
1.848137535816618993e+00 2.021020901866017454e-10
1.871060171919770809e+00 2.006994923161717784e-10
1.893982808022922626e+00 1.990346446428959928e-10
1.916905444126074443e+00 1.970971418238113966e-10
1.939828080229226259e+00 1.948834689383337460e-10
1.962750716332378076e+00 1.923963843436123863e-10
1.985673352435529893e+00 1.896441789808602742e-10
2.008595988538681709e+00 1.866398534833641028e-10
2.031518624641833526e+00 1.834002532219069338e-10
2.054441260744985343e+00 1.799451984831561602e-10
2.077363896848137603e+00 1.762966425972762706e-10
2.100286532951289420e+00 1.724778853660092189e-10
2.123209169054441237e+00 1.685128629914137100e-10
2.146131805157593053e+00 1.644255292845137528e-10
2.169054441260744870e+00 1.602393366416098656e-10
2.191977077363897131e+00 1.559768194650211587e-10
2.214899713467048947e+00 1.516592776525671658e-10
2.237822349570200764e+00 1.473065536758377869e-10
2.260744985673352581e+00 1.429368937079390466e-10
2.283667621776504397e+00 1.385668812558165342e-10
2.306590257879656214e+00 1.342114307345409910e-10
2.329512893982808031e+00 1.298838282683202085e-10
2.352435530085959847e+00 1.255958075560433456e-10
2.375358166189111664e+00 1.213576497213421179e-10
