# log10(T) rate(cm^3/s)
# Total Recomb Rates
1.000000000000000000e+00 7.301759170395486886e-10
1.022922636103151817e+00 7.078549553293814986e-10
1.045845272206303633e+00 6.861982089170792920e-10
1.068767908309455672e+00 6.651867075985477343e-10
1.091690544412607489e+00 6.448019894761089434e-10
1.114613180515759305e+00 6.250260885384100280e-10
1.137535816618911122e+00 6.058415225162832137e-10
1.160458452722062939e+00 5.872312810078705271e-10
1.183381088825214977e+00 5.691788138665934931e-10
1.206303724928366794e+00 5.516680198458077313e-10
1.229226361031518611e+00 5.346832354942246951e-10
1.252148997134670427e+00 5.182092242964194788e-10
1.275071633237822244e+00 5.022311660529482396e-10
1.297994269340974283e+00 4.867346464948201556e-10
1.320916905444126099e+00 4.717056471272543377e-10
1.343839541547277916e+00 4.571305352978895629e-10
1.366762177650429733e+00 4.429960544849472796e-10
1.389684813753581771e+00 4.292893148017336705e-10
1.412607449856733588e+00 4.159977837165834412e-10
1.435530085959885405e+00 4.031092769959170694e-10
1.458452722063037221e+00 3.906119499033340292e-10
1.481375358166189038e+00 3.784942887560210013e-10
1.504297994269340855e+00 3.667451031093973475e-10
1.527220630372492671e+00 3.553535192269183265e-10
1.550143266475644710e+00 3.443089762977101104e-10
1.573065902578796527e+00 3.336012284083449746e-10
1.595988538681948565e+00 3.232203579863322454e-10
1.618911174785100382e+00 3.131568107865709441e-10
1.641833810888252199e+00 3.034014688446617320e-10
1.664756446991404015e+00 2.939457861425025794e-10
1.687679083094555832e+00 2.847820212725709217e-10
1.710601719197707649e+00 2.759036103880459882e-10
1.733524355300859465e+00 2.673057293240986072e-10
1.756446991404011282e+00 2.589860922709176206e-10
1.779369627507163321e+00 2.509460219398860846e-10
1.802292263610315137e+00 2.431917999173056889e-10
1.825214899713467176e+00 2.357362651679778037e-10
1.848137535816618993e+00 2.286005759715712893e-10
1.871060171919770809e+00 2.218159921059265547e-10
1.893982808022922626e+00 2.154254791218764623e-10
1.916905444126074443e+00 2.094848960748879880e-10
1.939828080229226259e+00 2.040635126556419415e-10
1.962750716332378076e+00 1.992436190845475039e-10
1.985673352435529893e+00 1.951190454269703972e-10
2.008595988538681709e+00 1.917924932882139226e-10
2.031518624641833526e+00 1.893716934875691035e-10
2.054441260744985343e+00 1.879645250599007083e-10
2.077363896848137603e+00 1.876733481742351822e-10
2.100286532951289420e+00 1.885889008887841422e-10
2.123209169054441237e+00 1.907841743815508401e-10
2.146131805157593053e+00 1.943087053097719737e-10
2.169054441260744870e+00 1.991837047714367009e-10
2.191977077363897131e+00 2.053983840988365614e-10
2.214899713467048947e+00 2.129077462899594484e-10
2.237822349570200764e+00 2.216319994221388158e-10
2.260744985673352581e+00 2.314576275145551978e-10
2.283667621776504397e+00 2.422400373563282345e-10
2.306590257879656214e+00 2.538075973985064636e-10
2.329512893982808031e+00 2.659668047712956218e-10
2.352435530085959847e+00 2.785082634269512784e-10
2.375358166189111664e+00 2.912131316427011377e-10
2.398280802292263481e+00 3.038596990605653749e-10
2.421203438395415297e+00 3.162297782409165772e-10
2.444126074498567114e+00 3.281146380300987441e-10
2.467048710601718930e+00 3.393202598800853253e-10
2.489971346704870747e+00 3.496717576629118930e-10
2.512893982808022564e+00 3.590168612066136730e-10
2.535816618911174825e+00 3.672284195256250248e-10
2.558739255014326641e+00 3.742059285886846101e-10
2.581661891117478458e+00 3.798761288130721410e-10
2.604584527220630275e+00 3.841927487851393679e-10
2.627507163323782091e+00 3.871354943455910098e-10
2.650429799426934352e+00 3.887083970615534754e-10
2.673352435530086169e+00 3.889376444025655528e-10
2.696275071633237985e+00 3.878690168115149246e-10
2.719197707736389802e+00 3.855650553230205316e-10
2.742120343839541619e+00 3.821020782173015634e-10
2.765042979942693435e+00 3.775671569887492596e-10
2.787965616045845252e+00 3.720551511028611546e-10
2.810888252148997069e+00 3.656658880176562157e-10
2.833810888252148885e+00 3.585015601993732478e-10
2.856733524355300702e+00 3.506643948992325908e-10
2.879656160458452518e+00 3.422546359101267698e-10
2.902578796561604335e+00 3.333688600942949153e-10
2.925501432664756152e+00 3.240986358905172807e-10
2.948424068767907968e+00 3.145295169528569582e-10
2.971346704871059785e+00 3.047403521170477325e-10
2.994269340974212046e+00 2.948028834561646164e-10
3.017191977077363862e+00 2.847815975131533147e-10
3.040114613180515679e+00 2.747337909319585157e-10
3.063037249283667496e+00 2.647098105135095784e-10
3.085959885386819312e+00 2.547534288882619689e-10
3.108882521489971129e+00 2.449023200624714688e-10
3.131805157593122946e+00 2.351886034751816503e-10
3.154727793696275207e+00 2.256394302257690507e-10
3.177650429799427023e+00 2.162775900993920772e-10
3.200573065902578840e+00 2.071221222844219451e-10
3.223495702005730656e+00 1.981889157453720784e-10
3.246418338108882473e+00 1.894912868333584778e-10
3.269340974212034290e+00 1.810405219403966027e-10
3.292263610315186106e+00 1.728463722157822401e-10
3.315186246418337923e+00 1.649174862163075173e-10
3.338108882521489740e+00 1.572617656623055893e-10
