# log10(T) rate(cm^3/s)
# Total Recomb Rates
1.000000000000000000e+00 9.462536446732877688e-10
1.022922636103151817e+00 9.203242330446825796e-10
1.045845272206303633e+00 8.950768898298409614e-10
1.068767908309455672e+00 8.704939656167454947e-10
1.091690544412607489e+00 8.465582711874706751e-10
1.114613180515759305e+00 8.232530654638788865e-10
1.137535816618911122e+00 8.005620437642658716e-10
1.160458452722062939e+00 7.784693263628458128e-10
1.183381088825214977e+00 7.569594473442030231e-10
1.206303724928366794e+00 7.360173437450459005e-10
1.229226361031518611e+00 7.156283449758000130e-10
1.252148997134670427e+00 6.957781625147883182e-10
1.275071633237822244e+00 6.764528798679448377e-10
1.297994269340974283e+00 6.576389427871947405e-10
1.320916905444126099e+00 6.393231497408320015e-10
1.343839541547277916e+00 6.214926426293998193e-10
1.366762177650429733e+00 6.041348977407690235e-10
1.389684813753581771e+00 5.872377169382757568e-10
1.412607449856733588e+00 5.707892190759613873e-10
1.435530085959885405e+00 5.547778316351081540e-10
1.458452722063037221e+00 5.391922825764461296e-10
1.481375358166189038e+00 5.240215924025483288e-10
1.504297994269340855e+00 5.092550664250981878e-10
1.527220630372492671e+00 4.948822872318539532e-10
1.550143266475644710e+00 4.808931073482850657e-10
1.573065902578796527e+00 4.672776420890013091e-10
1.595988538681948565e+00 4.540262625942262429e-10
1.618911174785100382e+00 4.411295890467084025e-10
1.641833810888252199e+00 4.285784840645884452e-10
1.664756446991404015e+00 4.163640462658735493e-10
1.687679083094555832e+00 4.044776040002874664e-10
1.710601719197707649e+00 3.929107092443884496e-10
1.733524355300859465e+00 3.816551316559608600e-10
1.756446991404011282e+00 3.707028527837989074e-10
1.779369627507163321e+00 3.600460604291107352e-10
1.802292263610315137e+00 3.496771431548729096e-10
1.825214899713467176e+00 3.395886849395677328e-10
1.848137535816618993e+00 3.297734599718368228e-10
1.871060171919770809e+00 3.202244275826725989e-10
1.893982808022922626e+00 3.109347273118631443e-10
1.916905444126074443e+00 3.018976741054938597e-10
1.939828080229226259e+00 2.931067536413902274e-10
1.962750716332378076e+00 2.845556177794678984e-10
1.985673352435529893e+00 2.762380801340341208e-10
2.008595988538681709e+00 2.681481117651548373e-10
2.031518624641833526e+00 2.602798369862751427e-10
2.054441260744985343e+00 2.526275292853487214e-10
2.077363896848137603e+00 2.451856073567917549e-10
2.100286532951289420e+00 2.379486312416430649e-10
2.123209169054441237e+00 2.309112985733652760e-10
2.146131805157593053e+00 2.240684409267838721e-10
2.169054441260744870e+00 2.174150202677067994e-10
2.191977077363897131e+00 2.109461255008214761e-10
2.214899713467048947e+00 2.046569691135135261e-10
2.237822349570200764e+00 1.985428839132944671e-10
2.260744985673352581e+00 1.925993198565723951e-10
2.283667621776504397e+00 1.868218409665354298e-10
2.306590257879656214e+00 1.812061223379631063e-10
2.329512893982808031e+00 1.757479472268105697e-10
2.352435530085959847e+00 1.704432042224537044e-10
2.375358166189111664e+00 1.652878845005094613e-10
2.398280802292263481e+00 1.602780791541843956e-10
2.421203438395415297e+00 1.554099766021322154e-10
2.444126074498567114e+00 1.506798600708311011e-10
2.467048710601718930e+00 1.460841051495236353e-10
2.489971346704870747e+00 1.416191774157866076e-10
2.512893982808022564e+00 1.372816301298286214e-10
2.535816618911174825e+00 1.330681019956391446e-10
2.558739255014326641e+00 1.289753149871410316e-10
2.581661891117478458e+00 1.250000722375206195e-10
2.604584527220630275e+00 1.211392559899433625e-10
2.627507163323782091e+00 1.173898256078823825e-10
2.650429799426934352e+00 1.137488156433172089e-10
2.673352435530086169e+00 1.102133339610865017e-10
2.696275071633237985e+00 1.067805599177043360e-10
2.719197707736389802e+00 1.034477425929785916e-10
2.742120343839541619e+00 1.002121990727966939e-10
2.765042979942693435e+00 9.707131278147216472e-11
2.787965616045845252e+00 9.402253186207554598e-11
2.810888252148997069e+00 9.106336760320165323e-11
