# log10(T) rate(cm^3/s)
# Total Recomb Rates
1.000000000000000000e+00 1.228146111565367948e-09
1.022922636103151817e+00 1.195189618111570286e-09
1.045845272206303633e+00 1.163093826012450812e-09
1.068767908309455672e+00 1.131836370454958697e-09
1.091690544412607489e+00 1.101395470060099454e-09
1.114613180515759305e+00 1.071749911690877690e-09
1.137535816618911122e+00 1.042879035655209725e-09
1.160458452722062939e+00 1.014762721293455125e-09
1.183381088825214977e+00 9.873813729405249816e-10
1.206303724928366794e+00 9.607159062527474859e-10
1.229226361031518611e+00 9.347477348899633114e-10
1.252148997134670427e+00 9.094587575435315973e-10
1.275071633237822244e+00 8.848313453012101981e-10
1.297994269340974283e+00 8.608483293400682609e-10
1.320916905444126099e+00 8.374929889388559542e-10
1.343839541547277916e+00 8.147490398014421885e-10
1.366762177650429733e+00 7.926006226831863481e-10
1.389684813753581771e+00 7.710322923122863534e-10
1.412607449856733588e+00 7.500290065983828704e-10
1.435530085959885405e+00 7.295761161208736116e-10
1.458452722063037221e+00 7.096593538896094228e-10
1.481375358166189038e+00 6.902648253708238694e-10
1.504297994269340855e+00 6.713789987713320813e-10
1.527220630372492671e+00 6.529886955742283820e-10
1.550143266475644710e+00 6.350810813194721868e-10
1.573065902578796527e+00 6.176436566229449014e-10
1.595988538681948565e+00 6.006642484277041722e-10
1.618911174785100382e+00 5.841310014813540595e-10
1.641833810888252199e+00 5.680323700335804956e-10
1.664756446991404015e+00 5.523571097480853418e-10
1.687679083094555832e+00 5.370942698232829431e-10
1.710601719197707649e+00 5.222331853162833503e-10
1.733524355300859465e+00 5.077634696648285478e-10
1.756446991404011282e+00 4.936750074019898880e-10
1.779369627507163321e+00 4.799579470585707981e-10
1.802292263610315137e+00 4.666026942482976874e-10
1.825214899713467176e+00 4.535999049310082832e-10
1.848137535816618993e+00 4.409404788491832640e-10
1.871060171919770809e+00 4.286155531332814154e-10
1.893982808022922626e+00 4.166164960714704194e-10
1.916905444126074443e+00 4.049349010394633101e-10
1.939828080229226259e+00 3.935625805862805949e-10
1.962750716332378076e+00 3.824915606718813408e-10
1.985673352435529893e+00 3.717140750527144708e-10
2.008595988538681709e+00 3.612225598113459505e-10
2.031518624641833526e+00 3.510096480264314855e-10
2.054441260744985343e+00 3.410681645794034079e-10
2.077363896848137603e+00 3.313911210943412412e-10
2.100286532951289420e+00 3.219717110076008460e-10
2.123209169054441237e+00 3.128033047638621493e-10
2.146131805157593053e+00 3.038794451353646931e-10
2.169054441260744870e+00 2.951938426611799120e-10
2.191977077363897131e+00 2.867403712034649475e-10
2.214899713467048947e+00 2.785130636177315219e-10
2.237822349570200764e+00 2.705061075342445634e-10
2.260744985673352581e+00 2.627138412477547111e-10
2.283667621776504397e+00 2.551307497128449826e-10
2.306590257879656214e+00 2.477514606422543443e-10
2.329512893982808031e+00 2.405707407056197169e-10
2.352435530085959847e+00 2.335834918261467548e-10
2.375358166189111664e+00 2.267847475728022029e-10
2.398280802292263481e+00 2.201696696456837027e-10
2.421203438395415297e+00 2.137335444522981959e-10
2.444126074498567114e+00 2.074717797725417220e-10
2.467048710601718930e+00 2.013799015102440033e-10
2.489971346704870747e+00 1.954535505292009737e-10
2.512893982808022564e+00 1.896884795716797731e-10
2.535816618911174825e+00 1.840805502574396675e-10
2.558739255014326641e+00 1.786257301613735655e-10
2.581661891117478458e+00 1.733200899679210724e-10
2.604584527220630275e+00 1.681598007004659309e-10
2.627507163323782091e+00 1.631411310239767139e-10
2.650429799426934352e+00 1.582604446191994916e-10
2.673352435530086169e+00 1.535141976267585575e-10
2.696275071633237985e+00 1.488989361595646432e-10
2.719197707736389802e+00 1.444112938819757047e-10
2.742120343839541619e+00 1.400479896541936683e-10
2.765042979942693435e+00 1.358058252404195614e-10
2.787965616045845252e+00 1.316816830793282493e-10
2.810888252148997069e+00 1.276725241154564676e-10
2.833810888252148885e+00 1.237753856901326336e-10
2.856733524355300702e+00 1.199873794906075775e-10
2.879656160458452518e+00 1.163056895560745025e-10
2.902578796561604335e+00 1.127275703392937071e-10
2.925501432664756152e+00 1.092503448225645593e-10
2.948424068767907968e+00 1.058714026868103504e-10
2.971346704871059785e+00 1.025881985325643254e-10
2.994269340974212046e+00 9.939825015166688542e-11
3.017191977077363862e+00 9.629913684850244500e-11
3.040114613180515679e+00 9.328849780962323883e-11
3.063037249283667496e+00 9.036403052062452932e-11
3.085959885386819312e+00 8.752348922915047470e-11
3.108882521489971129e+00 8.476468345292453646e-11
3.131805157593122946e+00 8.208547653171283213e-11
3.154727793696275207e+00 7.948378422213985100e-11
3.177650429799427023e+00 7.695757333428932786e-11
3.200573065902578840e+00 7.450486040903206497e-11
3.223495702005730656e+00 7.212371043503553381e-11
3.246418338108882473e+00 6.981223560441739054e-11
3.269340974212034290e+00 6.756859410601682626e-11
3.292263610315186106e+00 6.539098895526482086e-11
3.315186246418337923e+00 6.327766685964548404e-11
3.338108882521489740e+00 6.122691711874799581e-11
3.361031518624641556e+00 5.923707055791899830e-11
3.383954154727793817e+00 5.730649849453312311e-11
3.406876790830945634e+00 5.543361173591026620e-11
3.429799426934097450e+00 5.361685960791588054e-11
3.452722063037249267e+00 5.185472901329290568e-11
3.475644699140401084e+00 5.014574351878245852e-11
3.498567335243552900e+00 4.848846247010228033e-11
3.521489971346704717e+00 4.688148013386379396e-11
3.544412607449856534e+00 4.532342486552005008e-11
3.567335243553008350e+00 4.381295830245022547e-11
3.590257879656160167e+00 4.234877458130015865e-11
3.613180515759312428e+00 4.092959957871165650e-11
3.636103151862464244e+00 3.955419017459019139e-11
3.659025787965616061e+00 3.822133353707391423e-11
3.681948424068767878e+00 3.692984642838644487e-11
3.704871060171919694e+00 3.567857453077053807e-11
3.727793696275071511e+00 3.446639179171957587e-11
3.750716332378223328e+00 3.329219978774191895e-11
3.773638968481375144e+00 3.215492710591252317e-11
3.796561604584526961e+00 3.105352874248669441e-11
3.819484240687678778e+00 2.998698551787137877e-11
3.842406876790831038e+00 2.895430350727044293e-11
3.865329512893982855e+00 2.795451348634262669e-11
3.888252148997134672e+00 2.698667039123228212e-11
3.911174785100286488e+00 2.604985279235642030e-11
3.934097421203438305e+00 2.514316238135360077e-11
3.957020057306590122e+00 2.426572347062394446e-11
3.979942693409741938e+00 2.341668250491212096e-11
4.002865329512893311e+00 2.259520758440914233e-11
4.025787965616045128e+00 2.180048799887143382e-11
4.048710601719197832e+00 2.103173377227958133e-11
4.071633237822349649e+00 2.028817521758184524e-11
4.094555873925501466e+00 1.956906250109017725e-11
4.117478510028653282e+00 1.887366521612031020e-11
4.140401146131805099e+00 1.820127196548835432e-11
4.163323782234956916e+00 1.755118995249923618e-11
4.186246418338108732e+00 1.692274458008345467e-11
4.209169054441260549e+00 1.631527905775964742e-11
4.232091690544412366e+00 1.572815401612078813e-11
4.255014326647564182e+00 1.516074712856177828e-11
4.277936962750716887e+00 1.461245273998512477e-11
4.300859598853868704e+00 1.408268150224024581e-11
4.323782234957020520e+00 1.357086001606898041e-11
4.346704871060172337e+00 1.307643047934777128e-11
4.369627507163324154e+00 1.259885034143244366e-11
4.392550143266475970e+00 1.213759196342741821e-11
4.415472779369627787e+00 1.169214228421551783e-11
4.438395415472779604e+00 1.126200249209859237e-11
4.461318051575931420e+00 1.084668770191205624e-11
4.484240687679083237e+00 1.044572663748869961e-11
4.507163323782235054e+00 1.005866131935851415e-11
4.530085959885386870e+00 9.685046757581790029e-12
4.553008595988538687e+00 9.324450649622699303e-12
4.575931232091690504e+00 8.976453083179515249e-12
4.598853868194842320e+00 8.640646243895849950e-12
4.621776504297994137e+00 8.316634127884944084e-12
4.644699140401145954e+00 8.004032259005815284e-12
4.667621776504297770e+00 7.702467410836218807e-12
4.690544412607449587e+00 7.411577333292831660e-12
4.713467048710601404e+00 7.131010483854036866e-12
4.736389684813753220e+00 6.860425763344748566e-12
4.759312320916905037e+00 6.599492256246621074e-12
4.782234957020056854e+00 6.347888975499967409e-12
4.805157593123208670e+00 6.105304611766381757e-12
4.828080229226360487e+00 5.871437287123352033e-12
4.851002865329512304e+00 5.645994313163643939e-12
4.873925501432664120e+00 5.428691953473790501e-12
4.896848137535815937e+00 5.219255190466806219e-12
4.919770773638967754e+00 5.017417496544861342e-12
4.942693409742119570e+00 4.822920609567986992e-12
4.965616045845272275e+00 4.635514312604817244e-12
4.988538681948424092e+00 4.454956217941137592e-12
5.011461318051575908e+00 4.281011555321454261e-12
5.034383954154727725e+00 4.113452964398239859e-12
5.057306590257879542e+00 3.952060291362476036e-12
5.080229226361031358e+00 3.796620389728222071e-12
5.103151862464183175e+00 3.646926925242705549e-12
5.126074498567334992e+00 3.502780184892225324e-12
5.148997134670486808e+00 3.363986889972798187e-12
5.171919770773638625e+00 3.230360013193067077e-12
5.194842406876790442e+00 3.101718599775548736e-12
5.217765042979942258e+00 2.977887592520840680e-12
5.240687679083094075e+00 2.858697660797962183e-12
5.263610315186245892e+00 2.743985033423062098e-12
5.286532951289397708e+00 2.633591335389149636e-12
5.309455587392550413e+00 2.527363428415738745e-12
5.332378223495702230e+00 2.425153255311944957e-12
5.355300859598854046e+00 2.326817688226262814e-12
5.378223495702005863e+00 2.232218381084851885e-12
5.401146131805157680e+00 2.141221627113105341e-12
5.424068767908309496e+00 2.053698223741399268e-12
5.446991404011461313e+00 1.969523350249675853e-12
5.469914040114613130e+00 1.888576469589308621e-12
5.492836676217764946e+00 1.810741276938468832e-12
5.515759312320916763e+00 1.735905736149255848e-12
5.538681948424068580e+00 1.663962273619961038e-12
5.561604584527220396e+00 1.594808238235958847e-12
5.584527220630372213e+00 1.528346783866995900e-12
5.607449856733524030e+00 1.464488380811644790e-12
5.630372492836675846e+00 1.403153202128006301e-12
5.653295128939827663e+00 1.344274642283502620e-12
5.676217765042979480e+00 1.287804188648800006e-12
5.699140401146131296e+00 1.233717762950035972e-12
5.722063037249283113e+00 1.182023470357098263e-12
5.744985673352435818e+00 1.132770443595681826e-12
5.767908309455587634e+00 1.086058172001662207e-12
5.790830945558739451e+00 1.042045402634955122e-12
5.813753581661891268e+00 1.000957447137922517e-12
5.836676217765043084e+00 9.630905817887545077e-13
5.859598853868194901e+00 9.288122379803710414e-13
5.882521489971346718e+00 8.985558743061972144e-13
5.905444126074498534e+00 8.728097988642488884e-13
5.928366762177650351e+00 8.520997392137103477e-13
5.951289398280802168e+00 8.369655780121375962e-13
5.974212034383953984e+00 8.279333070258946849e-13
5.997134670487105801e+00 8.254838181040544534e-13
6.020057306590257618e+00 8.300205725042906346e-13
6.042979942693409434e+00 8.418384154318352220e-13
6.065902578796561251e+00 8.610958041797963792e-13
6.088825214899713067e+00 8.877924992225664716e-13
6.111747851002864884e+00 9.217543588025948304e-13
6.134670487106016701e+00 9.626263306246268307e-13
6.157593123209168517e+00 1.009874112892064999e-12
6.180515759312320334e+00 1.062794327302836727e-12
6.203438395415473039e+00 1.120532469062110920e-12
6.226361031518624856e+00 1.182107421438722130e-12
6.249283667621776672e+00 1.246440976766963049e-12
6.272206303724928489e+00 1.312390606741281843e-12
6.295128939828080306e+00 1.378783671002718765e-12
6.318051575931232122e+00 1.444451329819023312e-12
6.340974212034383939e+00 1.508260610172376590e-12
6.363896848137535756e+00 1.569143335529318956e-12
6.386819484240687572e+00 1.626120937198809198e-12
6.409742120343839389e+00 1.678324490336642061e-12
6.432664756446991206e+00 1.725009635100241940e-12
6.455587392550143022e+00 1.765566333286252521e-12
6.478510028653294839e+00 1.799523658969540320e-12
6.501432664756446655e+00 1.826550019957918296e-12
6.524355300859598472e+00 1.846449352206727741e-12
6.547277936962750289e+00 1.859153922886337504e-12
6.570200573065902105e+00 1.864714423955642237e-12
6.593123209169053922e+00 1.863288043404474896e-12
6.616045845272205739e+00 1.855125173503604457e-12
6.638968481375357555e+00 1.840555362518152872e-12
6.661891117478510260e+00 1.819973046196565092e-12
6.684813753581662077e+00 1.793823515009928443e-12
6.707736389684813894e+00 1.762589488640827439e-12
6.730659025787965710e+00 1.726778585515248007e-12
6.753581661891117527e+00 1.686911895976946117e-12
6.776504297994269344e+00 1.643513795662138755e-12
6.799426934097421160e+00 1.597103072404753633e-12
6.822349570200572977e+00 1.548185386423194063e-12
6.845272206303724793e+00 1.497247039779333753e-12
6.868194842406876610e+00 1.444749996825965291e-12
6.891117478510028427e+00 1.391128071879033463e-12
6.914040114613180243e+00 1.336784182743580291e-12
6.936962750716332060e+00 1.282088557939300132e-12
6.959885386819483877e+00 1.227377780421887293e-12
6.982808022922635693e+00 1.172954550208451904e-12
7.005730659025787510e+00 1.119088051581562582e-12
7.028653295128939327e+00 1.066014816552337192e-12
7.051575931232091143e+00 1.013939984203234724e-12
7.074498567335242960e+00 9.630388647171399503e-13
7.097421203438395665e+00 9.134587267581926861e-13
7.120343839541547482e+00 8.653207369392885880e-13
7.143266475644699298e+00 8.187219900302992530e-13
7.166189111747851115e+00 7.737375780593661752e-13
7.189111747851002931e+00 7.304226553445780679e-13
