# log10(T) rate(cm^3/s)
# Total Recomb Rates
1.000000000000000000e+00 1.945000541740784363e-09
1.022922636103151817e+00 1.892375274265888970e-09
1.045845272206303633e+00 1.841128731162382898e-09
1.068767908309455672e+00 1.791225158079450993e-09
1.091690544412607489e+00 1.742629733440186106e-09
1.114613180515759305e+00 1.695308544092064683e-09
1.137535816618911122e+00 1.649228561587762740e-09
1.160458452722062939e+00 1.604357619079825237e-09
1.183381088825214977e+00 1.560664388813094027e-09
1.206303724928366794e+00 1.518118360199289172e-09
1.229226361031518611e+00 1.476689818458492287e-09
1.252148997134670427e+00 1.436349823812720219e-09
1.275071633237822244e+00 1.397070191217148123e-09
1.297994269340974283e+00 1.358823470614948626e-09
1.320916905444126099e+00 1.321582927702065916e-09
1.343839541547277916e+00 1.285322525188609424e-09
1.366762177650429733e+00 1.250016904543938888e-09
1.389684813753581771e+00 1.215641368212809548e-09
1.412607449856733588e+00 1.182171862290337464e-09
1.435530085959885405e+00 1.149584959643833651e-09
1.458452722063037221e+00 1.117857843469904795e-09
1.481375358166189038e+00 1.086968291275526829e-09
1.504297994269340855e+00 1.056894659272095261e-09
1.527220630372492671e+00 1.027615867171774381e-09
1.550143266475644710e+00 9.991113833757400254e-10
1.573065902578796527e+00 9.713612105442156255e-10
1.595988538681948565e+00 9.443458715384640787e-10
1.618911174785100382e+00 9.180463957251771636e-10
1.641833810888252199e+00 8.924443056339722305e-10
1.664756446991404015e+00 8.675216039589525985e-10
1.687679083094555832e+00 8.432607608955572397e-10
1.710601719197707649e+00 8.196447018041517677e-10
1.733524355300859465e+00 7.966567951920696934e-10
1.756446991404011282e+00 7.742808410060318024e-10
1.779369627507163321e+00 7.525010592271041529e-10
1.802292263610315137e+00 7.313020787605875277e-10
1.825214899713467176e+00 7.106689266134144986e-10
1.848137535816618993e+00 6.905870173518800672e-10
1.871060171919770809e+00 6.710421428327023526e-10
1.893982808022922626e+00 6.520204622006224821e-10
1.916905444126074443e+00 6.335084921459448525e-10
1.939828080229226259e+00 6.154930974155936697e-10
1.962750716332378076e+00 5.979614815714596820e-10
1.985673352435529893e+00 5.809011779899676693e-10
2.008595988538681709e+00 5.643000410969765064e-10
2.031518624641833526e+00 5.481462378322811966e-10
2.054441260744985343e+00 5.324282393381501563e-10
2.077363896848137603e+00 5.171348128664733082e-10
2.100286532951289420e+00 5.022550138992607331e-10
2.123209169054441237e+00 4.877781784773501274e-10
2.146131805157593053e+00 4.736939157323461255e-10
2.169054441260744870e+00 4.599921006169187229e-10
2.191977077363897131e+00 4.466628668287375979e-10
2.214899713467048947e+00 4.336965999234213904e-10
2.237822349570200764e+00 4.210839306120114854e-10
2.260744985673352581e+00 4.088157282385842785e-10
2.283667621776504397e+00 3.968830944337246769e-10
2.306590257879656214e+00 3.852773569396841925e-10
2.329512893982808031e+00 3.739900636031448538e-10
2.352435530085959847e+00 3.630129765316061103e-10
2.375358166189111664e+00 3.523380664094950416e-10
2.398280802292263481e+00 3.419575069701901844e-10
2.421203438395415297e+00 3.318636696202247763e-10
2.444126074498567114e+00 3.220491182120176195e-10
2.467048710601718930e+00 3.125066039615450126e-10
2.489971346704870747e+00 3.032290605074458339e-10
2.512893982808022564e+00 2.942095991081102755e-10
2.535816618911174825e+00 2.854415039733682878e-10
2.558739255014326641e+00 2.769182277274582538e-10
2.581661891117478458e+00 2.686333870000040884e-10
2.604584527220630275e+00 2.605807581417956412e-10
2.627507163323782091e+00 2.527542730622097829e-10
2.650429799426934352e+00 2.451480151851666800e-10
2.673352435530086169e+00 2.377562155205618274e-10
2.696275071633237985e+00 2.305732488481602645e-10
2.719197707736389802e+00 2.235936300109900916e-10
2.742120343839541619e+00 2.168120103153107118e-10
2.765042979942693435e+00 2.102231740342794590e-10
2.787965616045845252e+00 2.038220350124804935e-10
2.810888252148997069e+00 1.976036333685229134e-10
2.833810888252148885e+00 1.915631322929581702e-10
2.856733524355300702e+00 1.856958149388041542e-10
