# log10(T) rate(cm^3/s)
# Total Recomb Rates
1.000000000000000000e+00 2.746126723097288651e-09
1.022922636103151817e+00 2.671213427986595756e-09
1.045845272206303633e+00 2.598272141592894657e-09
1.068767908309455672e+00 2.527251818677130346e-09
1.091690544412607489e+00 2.458102743067034157e-09
1.114613180515759305e+00 2.390776492793037136e-09
1.137535816618911122e+00 2.325225906125146476e-09
1.160458452722062939e+00 2.261405048487455194e-09
1.183381088825214977e+00 2.199269180227757630e-09
1.206303724928366794e+00 2.138774725220199103e-09
1.229226361031518611e+00 2.079879240279622599e-09
1.252148997134670427e+00 2.022541385366765467e-09
1.275071633237822244e+00 1.966720894564094805e-09
1.297994269340974283e+00 1.912378547802595034e-09
1.320916905444126099e+00 1.859476143320378918e-09
1.343839541547277916e+00 1.807976470834488327e-09
1.366762177650429733e+00 1.757843285407831737e-09
1.389684813753581771e+00 1.709041281993632909e-09
1.412607449856733588e+00 1.661536070640300765e-09
1.435530085959885405e+00 1.615294152340075333e-09
1.458452722063037221e+00 1.570282895505286847e-09
1.481375358166189038e+00 1.526470513056489853e-09
1.504297994269340855e+00 1.483826040107187276e-09
1.527220630372492671e+00 1.442319312230263461e-09
1.550143266475644710e+00 1.401920944291665208e-09
1.573065902578796527e+00 1.362602309837261708e-09
1.595988538681948565e+00 1.324335521019190841e-09
1.618911174785100382e+00 1.287093409048383961e-09
1.641833810888252199e+00 1.250849505160301445e-09
1.664756446991404015e+00 1.215578022081283743e-09
1.687679083094555832e+00 1.181253835983228909e-09
1.710601719197707649e+00 1.147852468914653385e-09
1.733524355300859465e+00 1.115350071696490135e-09
1.756446991404011282e+00 1.083723407271300057e-09
1.779369627507163321e+00 1.052949834494829589e-09
1.802292263610315137e+00 1.023007292359164696e-09
1.825214899713467176e+00 9.938742846369621780e-10
1.848137535816618993e+00 9.655298649365397299e-10
1.871060171919770809e+00 9.379536221578082115e-10
1.893982808022922626e+00 9.111256663393078369e-10
1.916905444126074443e+00 8.850266148868171969e-10
1.939828080229226259e+00 8.596375791742275745e-10
1.962750716332378076e+00 8.349401515075910119e-10
1.985673352435529893e+00 8.109163924434474560e-10
2.008595988538681709e+00 7.875488184527322472e-10
2.031518624641833526e+00 7.648203899217548475e-10
2.054441260744985343e+00 7.427144994819104158e-10
2.077363896848137603e+00 7.212149606599647112e-10
2.100286532951289420e+00 7.003059968409167983e-10
2.123209169054441237e+00 6.799722305355954013e-10
2.146131805157593053e+00 6.601986729453076016e-10
2.169054441260744870e+00 6.409707138159970295e-10
2.191977077363897131e+00 6.222741115745163445e-10
2.214899713467048947e+00 6.040949837397499149e-10
2.237822349570200764e+00 5.864197976014618758e-10
2.260744985673352581e+00 5.692353611598693466e-10
2.283667621776504397e+00 5.525288143190671411e-10
2.306590257879656214e+00 5.362876203275522131e-10
2.329512893982808031e+00 5.204995574592162272e-10
2.352435530085959847e+00 5.051527109282936542e-10
2.375358166189111664e+00 4.902354650318608430e-10
2.398280802292263481e+00 4.757364955136082840e-10
2.421203438395415297e+00 4.616447621427045441e-10
2.444126074498567114e+00 4.479495015016960318e-10
2.467048710601718930e+00 4.346402199774874610e-10
2.489971346704870747e+00 4.217066869495631183e-10
2.512893982808022564e+00 4.091389281697178131e-10
2.535816618911174825e+00 3.969272193276739739e-10
2.558739255014326641e+00 3.850620797970777822e-10
2.581661891117478458e+00 3.735342665564641684e-10
2.604584527220630275e+00 3.623347682799116543e-10
2.627507163323782091e+00 3.514547995921993801e-10
2.650429799426934352e+00 3.408857954834009194e-10
2.673352435530086169e+00 3.306194058779630691e-10
2.696275071633237985e+00 3.206474903534240426e-10
2.719197707736389802e+00 3.109621130040470875e-10
2.742120343839541619e+00 3.015555374447546904e-10
2.765042979942693435e+00 2.924202219508661911e-10
2.787965616045845252e+00 2.835488147292584736e-10
2.810888252148997069e+00 2.749341493166813784e-10
2.833810888252148885e+00 2.665692401010817980e-10
2.856733524355300702e+00 2.584472779619021958e-10
2.879656160458452518e+00 2.505616260254394295e-10
2.902578796561604335e+00 2.429058155314652615e-10
2.925501432664756152e+00 2.354735418074254305e-10
2.948424068767907968e+00 2.282586603466533493e-10
2.971346704871059785e+00 2.212551829871469171e-10
2.994269340974212046e+00 2.144572741875733806e-10
3.017191977077363862e+00 2.078592473972813596e-10
3.040114613180515679e+00 2.014555615172104054e-10
3.063037249283667496e+00 1.952408174487011659e-10
3.085959885386819312e+00 1.892097547273196066e-10
3.108882521489971129e+00 1.833572482389149529e-10
3.131805157593122946e+00 1.776783050152408524e-10
3.154727793696275207e+00 1.721680611065688808e-10
3.177650429799427023e+00 1.668217785288328549e-10
3.200573065902578840e+00 1.616348422829342127e-10
3.223495702005730656e+00 1.566027574439438436e-10
3.246418338108882473e+00 1.517211463180266177e-10
3.269340974212034290e+00 1.469857456650085905e-10
3.292263610315186106e+00 1.423924039845969701e-10
3.315186246418337923e+00 1.379370788643486783e-10
3.338108882521489740e+00 1.336158343875701886e-10
3.361031518624641556e+00 1.294248385994083062e-10
3.383954154727793817e+00 1.253603610294747609e-10
3.406876790830945634e+00 1.214187702694174883e-10
3.429799426934097450e+00 1.175965316039280877e-10
3.452722063037249267e+00 1.138902046937404390e-10
3.475644699140401084e+00 1.102964413092450944e-10
3.498567335243552900e+00 1.068119831134031451e-10
3.521489971346704717e+00 1.034336594927068078e-10
3.544412607449856534e+00 1.001583854349890790e-10
3.567335243553008350e+00 9.698315945293886669e-11
3.590257879656160167e+00 9.390506155223176178e-11
3.613180515759312428e+00 9.092125124323098522e-11
3.636103151862464244e+00 8.802896559526341130e-11
3.659025787965616061e+00 8.522551733251502857e-11
3.681948424068767878e+00 8.250829297063290209e-11
3.704871060171919694e+00 7.987475099315837672e-11
3.727793696275071511e+00 7.732242006695150645e-11
3.750716332378223328e+00 7.484889729580018303e-11
3.773638968481375144e+00 7.245184651143978721e-11
3.796561604584526961e+00 7.012899660123635412e-11
3.819484240687678778e+00 6.787813987181491089e-11
3.842406876790831038e+00 6.569713044793915003e-11
3.865329512893982855e+00 6.358388270597287473e-11
3.888252148997134672e+00 6.153636974127284519e-11
3.911174785100286488e+00 5.955262186888669525e-11
3.934097421203438305e+00 5.763072515694422564e-11
3.957020057306590122e+00 5.576881999215025860e-11
3.979942693409741938e+00 5.396509967680142949e-11
4.002865329512893311e+00 5.221780905676518901e-11
4.025787965616045128e+00 5.052524317987098583e-11
4.048710601719197832e+00 4.888574598417859912e-11
4.071633237822349649e+00 4.729770901559709452e-11
4.094555873925501466e+00 4.575957017434020105e-11
4.117478510028653282e+00 4.426981248971380652e-11
4.140401146131805099e+00 4.282696292273905647e-11
4.163323782234956916e+00 4.142959119612325252e-11
4.186246418338108732e+00 4.007630865109928965e-11
4.209169054441260549e+00 3.876576713066022636e-11
4.232091690544412366e+00 3.749665788872292341e-11
4.255014326647564182e+00 3.626771052476107754e-11
4.277936962750716887e+00 3.507769194345290792e-11
4.300859598853868704e+00 3.392540533889566722e-11
4.323782234957020520e+00 3.280968920294243902e-11
4.346704871060172337e+00 3.172941635722370107e-11
4.369627507163324154e+00 3.068349300841919722e-11
4.392550143266475970e+00 2.967085782635117309e-11
4.415472779369627787e+00 2.869048104447384679e-11
4.438395415472779604e+00 2.774136358233893591e-11
