# log10(T) rate(cm^3/s)
# Total Recomb Rates
1.000000000000000000e+00 2.909337367442312852e-11
1.022922636103151817e+00 2.816619370811155410e-11
1.045845272206303633e+00 2.726698433636664410e-11
1.068767908309455672e+00 2.639496460676974173e-11
1.091690544412607489e+00 2.554937325563408555e-11
1.114613180515759305e+00 2.472946825453943133e-11
1.137535816618911122e+00 2.393452636831316051e-11
1.160458452722062939e+00 2.316384272403678204e-11
1.183381088825214977e+00 2.241673039067425084e-11
1.206303724928366794e+00 2.169251996893693709e-11
1.229226361031518611e+00 2.099055919102836648e-11
1.252148997134670427e+00 2.031021252997157964e-11
1.275071633237822244e+00 1.965086081837314250e-11
1.297994269340974283e+00 1.901190087688835348e-11
1.320916905444126099e+00 1.839274515370827369e-11
1.343839541547277916e+00 1.779282137894081940e-11
1.366762177650429733e+00 1.721157224347593525e-11
1.389684813753581771e+00 1.664845512381553667e-11
1.412607449856733588e+00 1.610294189730096775e-11
1.435530085959885405e+00 1.557451893330996422e-11
1.458452722063037221e+00 1.506268741442435414e-11
1.481375358166189038e+00 1.456696424694257727e-11
1.504297994269340855e+00 1.408688396953681468e-11
1.527220630372492671e+00 1.362200226195526199e-11
1.550143266475644710e+00 1.317190187832875080e-11
1.573065902578796527e+00 1.273620204797354742e-11
1.595988538681948565e+00 1.231457254364431289e-11
1.618911174785100382e+00 1.190675363540921337e-11
1.641833810888252199e+00 1.151258294006318340e-11
1.664756446991404015e+00 1.113202966284080122e-11
1.687679083094555832e+00 1.076523586639591195e-11
1.710601719197707649e+00 1.041256320855585143e-11
1.733524355300859465e+00 1.007464216155547728e-11
1.756446991404011282e+00 9.752419240314623927e-12
1.779369627507163321e+00 9.447196470403102031e-12
1.802292263610315137e+00 9.160656490204719304e-12
1.825214899713467176e+00 8.894866555083793148e-12
1.848137535816618993e+00 8.652255463563174207e-12
1.871060171919770809e+00 8.435559101697055478e-12
1.893982808022922626e+00 8.247732798975837752e-12
1.916905444126074443e+00 8.091831761103788669e-12
1.939828080229226259e+00 7.970864136050669092e-12
1.962750716332378076e+00 7.887624369808791352e-12
1.985673352435529893e+00 7.844517018643163521e-12
2.008595988538681709e+00 7.843382780919864299e-12
2.031518624641833526e+00 7.885338991757179760e-12
2.054441260744985343e+00 7.970646133406633288e-12
2.077363896848137603e+00 8.098610146949332503e-12
2.100286532951289420e+00 8.267527705322249999e-12
2.123209169054441237e+00 8.474678428721444674e-12
2.146131805157593053e+00 8.716364634825226349e-12
2.169054441260744870e+00 8.987995953844361636e-12
2.191977077363897131e+00 9.284213290486568275e-12
2.214899713467048947e+00 9.599044394859350754e-12
2.237822349570200764e+00 9.926081836782424352e-12
2.260744985673352581e+00 1.025867349852663335e-11
2.283667621776504397e+00 1.059011576668753490e-11
2.306590257879656214e+00 1.091384031115579521e-11
2.329512893982808031e+00 1.122358654522869810e-11
2.352435530085959847e+00 1.151355340544847097e-11
2.375358166189111664e+00 1.177852581357561298e-11
2.398280802292263481e+00 1.201397294261496869e-11
2.421203438395415297e+00 1.221611708528554277e-11
2.444126074498567114e+00 1.238197342729522219e-11
2.467048710601718930e+00 1.250936229938264623e-11
2.489971346704870747e+00 1.259689648854139228e-11
2.512893982808022564e+00 1.264394692029323316e-11
2.535816618911174825e+00 1.265059048863305649e-11
2.558739255014326641e+00 1.261754403012097730e-11
2.581661891117478458e+00 1.254608844462996308e-11
2.604584527220630275e+00 1.243798679418606632e-11
2.627507163323782091e+00 1.229539990232102623e-11
2.650429799426934352e+00 1.212080256813025177e-11
2.673352435530086169e+00 1.191690303757270988e-11
2.696275071633237985e+00 1.168656787020636793e-11
2.719197707736389802e+00 1.143275382691629184e-11
2.742120343839541619e+00 1.115844790104514026e-11
2.765042979942693435e+00 1.086661613383781191e-11
2.787965616045845252e+00 1.056016140384950118e-11
2.810888252148997069e+00 1.024188996658312513e-11
2.833810888252148885e+00 9.914486154208414949e-12
2.856733524355300702e+00 9.580494337643850852e-12
2.879656160458452518e+00 9.242307018884406470e-12
2.902578796561604335e+00 8.902157774940277028e-12
2.925501432664756152e+00 8.562117727820927593e-12
2.948424068767907968e+00 8.224094272608458475e-12
2.971346704871059785e+00 7.889830952992496169e-12
2.994269340974212046e+00 7.560907614752741757e-12
3.017191977077363862e+00 7.238740266396867315e-12
3.040114613180515679e+00 6.924580399074137501e-12
3.063037249283667496e+00 6.619513828874717674e-12
3.085959885386819312e+00 6.324459389984138029e-12
3.108882521489971129e+00 6.040168000219706276e-12
3.131805157593122946e+00 5.767222724857474614e-12
3.154727793696275207e+00 5.506040475703159364e-12
3.177650429799427023e+00 5.256875906614724422e-12
3.200573065902578840e+00 5.019827919827823848e-12
3.223495702005730656e+00 4.794849001233721849e-12
3.246418338108882473e+00 4.581757381717819064e-12
3.269340974212034290e+00 4.380251799972523174e-12
3.292263610315186106e+00 4.189928441321733572e-12
3.315186246418337923e+00 4.010299464205503928e-12
3.338108882521489740e+00 3.840812413102436133e-12
3.361031518624641556e+00 3.680869760456227861e-12
3.383954154727793817e+00 3.529847822027784464e-12
3.406876790830945634e+00 3.387114346604388629e-12
3.429799426934097450e+00 3.252044184562244567e-12
3.452722063037249267e+00 3.124032579434683931e-12
3.475644699140401084e+00 3.002505789097061084e-12
3.498567335243552900e+00 2.886928914051964784e-12
3.521489971346704717e+00 2.776810975429137825e-12
3.544412607449856534e+00 2.671707432089894944e-12
3.567335243553008350e+00 2.571220444700067095e-12
3.590257879656160167e+00 2.474997278319735805e-12
3.613180515759312428e+00 2.382727281276142756e-12
3.636103151862464244e+00 2.294137887863561782e-12
3.659025787965616061e+00 2.208990069952473527e-12
3.681948424068767878e+00 2.127073614436253521e-12
3.704871060171919694e+00 2.048202537502176951e-12
3.727793696275071511e+00 1.972210871272929576e-12
3.750716332378223328e+00 1.898948981276980425e-12
3.773638968481375144e+00 1.828280501355952433e-12
3.796561604584526961e+00 1.760079911762050142e-12
3.819484240687678778e+00 1.694230741212869612e-12
3.842406876790831038e+00 1.630624349123146000e-12
3.865329512893982855e+00 1.569159245076445826e-12
3.888252148997134672e+00 1.509740934562737507e-12
3.911174785100286488e+00 1.452282349114077539e-12
3.934097421203438305e+00 1.396705029644518538e-12
3.957020057306590122e+00 1.342941383340216665e-12
3.979942693409741938e+00 1.290938516342052704e-12
4.002865329512893311e+00 1.240664331921229161e-12
4.025787965616045128e+00 1.192116735587232588e-12
4.048710601719197832e+00 1.145336849058054584e-12
4.071633237822349649e+00 1.100427042496808142e-12
4.094555873925501466e+00 1.057574294303725285e-12
4.117478510028653282e+00 1.017078849138938391e-12
4.140401146131805099e+00 9.793873759682232165e-13
4.163323782234956916e+00 9.451288860194325282e-13
4.186246418338108732e+00 9.151506624089275073e-13
4.209169054441260549e+00 8.905505246642125099e-13
4.232091690544412366e+00 8.727010666448426261e-13
4.255014326647564182e+00 8.632612207971803273e-13
4.277936962750716887e+00 8.641707330180101668e-13
4.300859598853868704e+00 8.776239362447153548e-13
4.323782234957020520e+00 9.060205652519602583e-13
4.346704871060172337e+00 9.518931573614614456e-13
4.369627507163324154e+00 1.017812660697797006e-12
4.392550143266475970e+00 1.106276001472078892e-12
4.415472779369627787e+00 1.219581304177085876e-12
4.438395415472779604e+00 1.359697987717176514e-12
4.461318051575931420e+00 1.528139895956489268e-12
4.484240687679083237e+00 1.725849851605790694e-12
4.507163323782235054e+00 1.953103518584375298e-12
4.530085959885386870e+00 2.209439273936835734e-12
4.553008595988538687e+00 2.493619052699078109e-12
4.575931232091690504e+00 2.803623017665699148e-12
4.598853868194842320e+00 3.136678629065061923e-12
4.621776504297994137e+00 3.489322457187842196e-12
4.644699140401145954e+00 3.857491083099998298e-12
4.667621776504297770e+00 4.236635818045635331e-12
4.690544412607449587e+00 4.621854839403796677e-12
4.713467048710601404e+00 5.008035733774698910e-12
4.736389684813753220e+00 5.390001347844819917e-12
4.759312320916905037e+00 5.762652223472380736e-12
4.782234957020056854e+00 6.121099651273661485e-12
4.805157593123208670e+00 6.460784414055700131e-12
4.828080229226360487e+00 6.777577498262711148e-12
4.851002865329512304e+00 7.067860322869156410e-12
4.873925501432664120e+00 7.328583278003679538e-12
4.896848137535815937e+00 7.557302505072930219e-12
4.919770773638967754e+00 7.752195831903210800e-12
4.942693409742119570e+00 7.912059566905870362e-12
4.965616045845272275e+00 8.036288441203386746e-12
4.988538681948424092e+00 8.124841369065005689e-12
5.011461318051575908e+00 8.178195889670252606e-12
5.034383954154727725e+00 8.197294180864569268e-12
5.057306590257879542e+00 8.183483427241403935e-12
5.080229226361031358e+00 8.138453111792097076e-12
5.103151862464183175e+00 8.064171513323394912e-12
5.126074498567334992e+00 7.962823359359799559e-12
5.148997134670486808e+00 7.836750231251746487e-12
5.171919770773638625e+00 7.688394965342758197e-12
5.194842406876790442e+00 7.520250957430425848e-12
5.217765042979942258e+00 7.334816969110561192e-12
5.240687679083094075e+00 7.134557761626746241e-12
5.263610315186245892e+00 6.921870649781658489e-12
5.286532951289397708e+00 6.699057876655025956e-12
5.309455587392550413e+00 6.468304558427955869e-12
5.332378223495702230e+00 6.231661834999886156e-12
5.355300859598854046e+00 5.991034782657573326e-12
5.378223495702005863e+00 5.748174595516135781e-12
5.401146131805157680e+00 5.504674518218094788e-12
5.424068767908309496e+00 5.261969008874163119e-12
5.446991404011461313e+00 5.021335624103003796e-12
5.469914040114613130e+00 4.783899143283848942e-12
5.492836676217764946e+00 4.550637483233795643e-12
5.515759312320916763e+00 4.322388994410651290e-12
5.538681948424068580e+00 4.099860772871751025e-12
5.561604584527220396e+00 3.883637666519032765e-12
5.584527220630372213e+00 3.674191698005067242e-12
5.607449856733524030e+00 3.471891668836326491e-12
5.630372492836675846e+00 3.277012748807152606e-12
5.653295128939827663e+00 3.089745891342949340e-12
5.676217765042979480e+00 2.910206948277380453e-12
5.699140401146131296e+00 2.738445386883832911e-12
5.722063037249283113e+00 2.574452537624446710e-12
5.744985673352435818e+00 2.418169323182591297e-12
5.767908309455587634e+00 2.269493438099640332e-12
5.790830945558739451e+00 2.128285963991376861e-12
5.813753581661891268e+00 1.994377418153675635e-12
5.836676217765043084e+00 1.867573243675626792e-12
5.859598853868194901e+00 1.747658757259142511e-12
