# log10(T) rate(cm^3/s)
# Total Recomb Rates
1.000000000000000000e+00 1.941094900988956383e-10
1.022922636103151817e+00 2.029153007505465519e-10
1.045845272206303633e+00 2.130588027396298572e-10
1.068767908309455672e+00 2.244383386391945509e-10
1.091690544412607489e+00 2.369159865649843050e-10
1.114613180515759305e+00 2.503211565414625963e-10
1.137535816618911122e+00 2.644556078461792849e-10
1.160458452722062939e+00 2.790995665439605552e-10
1.183381088825214977e+00 2.940185765338111225e-10
1.206303724928366794e+00 3.089707024290514219e-10
1.229226361031518611e+00 3.237137157607330049e-10
1.252148997134670427e+00 3.380119325387588193e-10
1.275071633237822244e+00 3.516424240882709670e-10
1.297994269340974283e+00 3.644003878140196006e-10
1.320916905444126099e+00 3.761035338475991163e-10
1.343839541547277916e+00 3.865954117973011511e-10
1.366762177650429733e+00 3.957476644309829151e-10
1.389684813753581771e+00 4.034612486122573421e-10
1.412607449856733588e+00 4.096667059207314797e-10
1.435530085959885405e+00 4.143235950528930929e-10
1.458452722063037221e+00 4.174192153826893304e-10
1.481375358166189038e+00 4.189667570279557164e-10
1.504297994269340855e+00 4.190030093157473243e-10
1.527220630372492671e+00 4.175857491413238054e-10
1.550143266475644710e+00 4.147909161197616473e-10
1.573065902578796527e+00 4.107096653171352856e-10
1.595988538681948565e+00 4.054453730087727326e-10
1.618911174785100382e+00 3.991106579825884529e-10
1.641833810888252199e+00 3.918244712247645661e-10
1.664756446991404015e+00 3.837093004236235374e-10
1.687679083094555832e+00 3.748885319515888828e-10
1.710601719197707649e+00 3.654840107231642425e-10
1.733524355300859465e+00 3.556138362891147635e-10
1.756446991404011282e+00 3.453904305209450488e-10
1.779369627507163321e+00 3.349189073916606506e-10
1.802292263610315137e+00 3.242957682486069558e-10
1.825214899713467176e+00 3.136079366711957661e-10
1.848137535816618993e+00 3.029321360146524187e-10
1.871060171919770809e+00 2.923346008782063662e-10
1.893982808022922626e+00 2.818711019774577850e-10
1.916905444126074443e+00 2.715872532189825997e-10
1.939828080229226259e+00 2.615190610053724213e-10
1.962750716332378076e+00 2.516936695412794928e-10
1.985673352435529893e+00 2.421302524829775620e-10
2.008595988538681709e+00 2.328410007061002437e-10
2.031518624641833526e+00 2.238321580359464867e-10
2.054441260744985343e+00 2.151050610744066083e-10
2.077363896848137603e+00 2.066571452250149307e-10
2.100286532951289420e+00 1.984828860674992251e-10
2.123209169054441237e+00 1.905746527801971847e-10
2.146131805157593053e+00 1.829234578275413397e-10
2.169054441260744870e+00 1.755195941889314543e-10
2.191977077363897131e+00 1.683531576847775659e-10
2.214899713467048947e+00 1.614144572502445167e-10
2.237822349570200764e+00 1.546943202186421344e-10
2.260744985673352581e+00 1.481843027951149183e-10
2.283667621776504397e+00 1.418768179845421824e-10
2.306590257879656214e+00 1.357651943848851144e-10
2.329512893982808031e+00 1.298436795877138142e-10
2.352435530085959847e+00 1.241074015627317371e-10
2.375358166189111664e+00 1.185523004570214534e-10
2.398280802292263481e+00 1.131750418188836200e-10
2.421203438395415297e+00 1.079729204658927768e-10
2.444126074498567114e+00 1.029437621719278835e-10
2.467048710601718930e+00 9.808582818167317665e-11
2.489971346704870747e+00 9.339772542750144900e-11
2.512893982808022564e+00 8.887832339027875617e-11
2.535816618911174825e+00 8.452667697606920499e-11
2.558739255014326641e+00 8.034195371064910129e-11
2.581661891117478458e+00 7.632336306625071496e-11
2.604584527220630275e+00 7.247008584193544691e-11
2.627507163323782091e+00 6.878120215408749181e-11
2.650429799426934352e+00 6.525561761934004455e-11
2.673352435530086169e+00 6.189198854084629481e-11
2.696275071633237985e+00 5.868864813133654647e-11
2.719197707736389802e+00 5.564353682584635762e-11
2.742120343839541619e+00 5.275414039751177392e-11
2.765042979942693435e+00 5.001743979753708999e-11
2.787965616045845252e+00 4.742987637252125815e-11
2.810888252148997069e+00 4.498733541399376764e-11
2.833810888252148885e+00 4.268514996607564461e-11
2.856733524355300702e+00 4.051812559160933495e-11
2.879656160458452518e+00 3.848058551964605446e-11
2.902578796561604335e+00 3.656643440122358697e-11
2.925501432664756152e+00 3.476923789051186617e-11
2.948424068767907968e+00 3.308231451018932589e-11
2.971346704871059785e+00 3.149883577775931810e-11
2.994269340974212046e+00 3.001193035232429304e-11
3.017191977077363862e+00 2.861478797375466740e-11
3.040114613180515679e+00 2.730075916246807964e-11
3.063037249283667496e+00 2.606344698490459790e-11
3.085959885386819312e+00 2.489678763531469871e-11
3.108882521489971129e+00 2.379511712107740215e-11
3.131805157593122946e+00 2.275322196017318030e-11
3.154727793696275207e+00 2.176637250330429181e-11
3.177650429799427023e+00 2.083033827196801439e-11
3.200573065902578840e+00 1.994138553715170522e-11
3.223495702005730656e+00 1.909625821413355593e-11
3.246418338108882473e+00 1.829214396458077476e-11
3.269340974212034290e+00 1.752662811582768271e-11
3.292263610315186106e+00 1.679763856699765189e-11
3.315186246418337923e+00 1.610338520101614672e-11
3.338108882521489740e+00 1.544229742844953811e-11
3.361031518624641556e+00 1.481296334653173977e-11
3.383954154727793817e+00 1.421407362435594165e-11
3.406876790830945634e+00 1.364437266643490572e-11
3.429799426934097450e+00 1.310261892245712800e-11
3.452722063037249267e+00 1.258755547049831867e-11
3.475644699140401084e+00 1.209789127263598949e-11
3.498567335243552900e+00 1.163229284439896614e-11
3.521489971346704717e+00 1.118938553441101042e-11
3.544412607449856534e+00 1.076776319879712266e-11
3.567335243553008350e+00 1.036600477625887235e-11
3.590257879656160167e+00 9.982696106715127776e-12
3.613180515759312428e+00 9.616455261126356827e-12
3.636103151862464244e+00 9.265959632885920327e-12
3.659025787965616061e+00 8.929973058986384262e-12
3.681948424068767878e+00 8.607371281924804128e-12
3.704871060171919694e+00 8.297164135873387821e-12
3.727793696275071511e+00 7.998512960390016251e-12
3.750716332378223328e+00 7.710741935192292740e-12
3.773638968481375144e+00 7.433342310678884769e-12
3.796561604584526961e+00 7.165968889750738427e-12
3.819484240687678778e+00 6.908428588111504446e-12
3.842406876790831038e+00 6.660661434060539025e-12
3.865329512893982855e+00 6.422714919761579705e-12
