# log10(T) rate(cm^3/s)
# Total Recomb Rates
1.000000000000000000e+00 3.282476882555987968e-10
1.022922636103151817e+00 3.186134260325903983e-10
1.045845272206303633e+00 3.092454506863923934e-10
1.068767908309455672e+00 3.001368412613461529e-10
1.091690544412607489e+00 2.912808510509045993e-10
1.114613180515759305e+00 2.826709030273938720e-10
1.137535816618911122e+00 2.743005854053472387e-10
1.160458452722062939e+00 2.661636473458753693e-10
1.183381088825214977e+00 2.582539948269513593e-10
1.206303724928366794e+00 2.505656867442689374e-10
1.229226361031518611e+00 2.430929313908203533e-10
1.252148997134670427e+00 2.358300836241764581e-10
1.275071633237822244e+00 2.287716433145790881e-10
1.297994269340974283e+00 2.219122561260262359e-10
1.320916905444126099e+00 2.152467183568843728e-10
1.343839541547277916e+00 2.087699884568823929e-10
1.366762177650429733e+00 2.024772088686731801e-10
1.389684813753581771e+00 1.963637428315451885e-10
1.412607449856733588e+00 1.904252314293406541e-10
1.435530085959885405e+00 1.846576760668129692e-10
1.458452722063037221e+00 1.790575503002966455e-10
1.481375358166189038e+00 1.736219422065209561e-10
1.504297994269340855e+00 1.683487241541370994e-10
1.527220630372492671e+00 1.632367411956231443e-10
1.550143266475644710e+00 1.582860029651008137e-10
1.573065902578796527e+00 1.534978579394480051e-10
1.595988538681948565e+00 1.488751243834650186e-10
1.618911174785100382e+00 1.444221504137738282e-10
1.641833810888252199e+00 1.401447772563242257e-10
1.664756446991404015e+00 1.360501853117563158e-10
1.687679083094555832e+00 1.321466118243100816e-10
1.710601719197707649e+00 1.284429408862346282e-10
1.733524355300859465e+00 1.249481798122213948e-10
1.756446991404011282e+00 1.216708489256517631e-10
1.779369627507163321e+00 1.186183228500949636e-10
1.802292263610315137e+00 1.157961690971987969e-10
1.825214899713467176e+00 1.132075331446770364e-10
1.848137535816618993e+00 1.108526179207314721e-10
1.871060171919770809e+00 1.087282998244581698e-10
1.893982808022922626e+00 1.068279137594255618e-10
1.916905444126074443e+00 1.051412271270786482e-10
1.939828080229226259e+00 1.036546085069971401e-10
1.962750716332378076e+00 1.023513821052438150e-10
1.985673352435529893e+00 1.012123452150201801e-10
2.008595988538681709e+00 1.002164140342830710e-10
2.031518624641833526e+00 9.934135418026895326e-11
2.054441260744985343e+00 9.856454685540886890e-11
2.077363896848137603e+00 9.786374028310562697e-11
2.100286532951289420e+00 9.721773882784282331e-11
2.123209169054441237e+00 9.660698884587350758e-11
2.146131805157593053e+00 9.601403011239408316e-11
2.169054441260744870e+00 9.542379365475944472e-11
2.191977077363897131e+00 9.482373979288240395e-11
2.214899713467048947e+00 9.420384287866606876e-11
2.237822349570200764e+00 9.355644044758433838e-11
2.260744985673352581e+00 9.287597327992181147e-11
2.283667621776504397e+00 9.215864857562500047e-11
2.306590257879656214e+00 9.140206081456371956e-11
2.329512893982808031e+00 9.060480402088215851e-11
2.352435530085959847e+00 8.976610551909472259e-11
2.375358166189111664e+00 8.888550553933595001e-11
2.398280802292263481e+00 8.796260000530380537e-11
2.421203438395415297e+00 8.699685634430119052e-11
2.444126074498567114e+00 8.598750494136458430e-11
2.467048710601718930e+00 8.493350252057151671e-11
2.489971346704870747e+00 8.383355869407914350e-11
2.512893982808022564e+00 8.268621339757064089e-11
2.535816618911174825e+00 8.148995097523723553e-11
2.558739255014326641e+00 8.024333618714044894e-11
2.581661891117478458e+00 7.894515817955333542e-11
2.604584527220630275e+00 7.759457021253250556e-11
2.627507163323782091e+00 7.619121537710775829e-11
2.650429799426934352e+00 7.473533135284587608e-11
2.673352435530086169e+00 7.322783016491798735e-11
2.696275071633237985e+00 7.167035163199772986e-11
2.719197707736389802e+00 7.006529151813166602e-11
2.742120343839541619e+00 6.841580712156127148e-11
2.765042979942693435e+00 6.672580401831309998e-11
2.787965616045845252e+00 6.499990787371637183e-11
2.810888252148997069e+00 6.324342468337835713e-11
2.833810888252148885e+00 6.146229165502975893e-11
2.856733524355300702e+00 5.966301944012706993e-11
2.879656160458452518e+00 5.785262488332109760e-11
2.902578796561604335e+00 5.603855221241960538e-11
2.925501432664756152e+00 5.422857993496924204e-11
2.948424068767907968e+00 5.243071083675789351e-11
2.971346704871059785e+00 5.065304345071406204e-11
2.994269340974212046e+00 4.890362508638026048e-11
3.017191977077363862e+00 4.719028874570331465e-11
3.040114613180515679e+00 4.552047866803185714e-11
3.063037249283667496e+00 4.390107147521382993e-11
3.085959885386819312e+00 4.233820158154228049e-11
3.108882521489971129e+00 4.083710043009151032e-11
3.131805157593122946e+00 3.940195907451895745e-11
3.154727793696275207e+00 3.803582263792567297e-11
3.177650429799427023e+00 3.674052337125765050e-11
3.200573065902578840e+00 3.551665662923910224e-11
3.223495702005730656e+00 3.436360137229725873e-11
3.246418338108882473e+00 3.327958409849167108e-11
3.269340974212034290e+00 3.226178269632904214e-11
3.292263610315186106e+00 3.130646481145326657e-11
3.315186246418337923e+00 3.040915406978772035e-11
3.338108882521489740e+00 2.956481692022673517e-11
3.361031518624641556e+00 2.876806286470680533e-11
3.383954154727793817e+00 2.801335125259303946e-11
3.406876790830945634e+00 2.729519839292565347e-11
3.429799426934097450e+00 2.660837923990525475e-11
3.452722063037249267e+00 2.594811814477615334e-11
3.475644699140401084e+00 2.531026305687699481e-11
3.498567335243552900e+00 2.469143715065326107e-11
3.521489971346704717e+00 2.408916134284390531e-11
3.544412607449856534e+00 2.350194083429649347e-11
3.567335243553008350e+00 2.292930898812012615e-11
3.590257879656160167e+00 2.237182281840948765e-11
3.613180515759312428e+00 2.183100626800642436e-11
3.636103151862464244e+00 2.130924028250384036e-11
3.659025787965616061e+00 2.080960223563144805e-11
3.681948424068767878e+00 2.033566116160123603e-11
3.704871060171919694e+00 1.989123903651048864e-11
3.727793696275071511e+00 1.948015153982678881e-11
3.750716332378223328e+00 1.910594390269713901e-11
3.773638968481375144e+00 1.877163833557653974e-11
3.796561604584526961e+00 1.847950902860985873e-11
3.819484240687678778e+00 1.823089892968751215e-11
3.842406876790831038e+00 1.802608968597090636e-11
3.865329512893982855e+00 1.786423265153493947e-11
3.888252148997134672e+00 1.774334511758938536e-11
3.911174785100286488e+00 1.766037227249986225e-11
3.934097421203438305e+00 1.761131210565141670e-11
3.957020057306590122e+00 1.759139766238944801e-11
3.979942693409741938e+00 1.759532875243830145e-11
4.002865329512893311e+00 1.761754336712117010e-11
4.025787965616045128e+00 1.765251764664510997e-11
4.048710601719197832e+00 1.769508232577569659e-11
4.071633237822349649e+00 1.774074336596411337e-11
4.094555873925501466e+00 1.778599522762867822e-11
4.117478510028653282e+00 1.782861718178632102e-11
4.140401146131805099e+00 1.786794622749601574e-11
4.163323782234956916e+00 1.790512421655451337e-11
4.186246418338108732e+00 1.794332088214566437e-11
4.209169054441260549e+00 1.798793743797699516e-11
4.232091690544412366e+00 1.804679594490937409e-11
4.255014326647564182e+00 1.813031667497346149e-11
4.277936962750716887e+00 1.825167885080878531e-11
4.300859598853868704e+00 1.842694999699428895e-11
4.323782234957020520e+00 1.867515736899675676e-11
4.346704871060172337e+00 1.901826404160575226e-11
4.369627507163324154e+00 1.948100513134138430e-11
4.392550143266475970e+00 2.009053891283327696e-11
4.415472779369627787e+00 2.087587496256092664e-11
4.438395415472779604e+00 2.186705721837682738e-11
4.461318051575931420e+00 2.309410268783344088e-11
4.484240687679083237e+00 2.458572375357636800e-11
4.507163323782235054e+00 2.636788992720569427e-11
4.530085959885386870e+00 2.846230950328986515e-11
4.553008595988538687e+00 3.088492926363646147e-11
4.575931232091690504e+00 3.364455856874302991e-11
4.598853868194842320e+00 3.674172161385988856e-11
4.621776504297994137e+00 4.016782858274832973e-11
4.644699140401145954e+00 4.390473452413180635e-11
4.667621776504297770e+00 4.792472664643892363e-11
4.690544412607449587e+00 5.219094958397823052e-11
4.713467048710601404e+00 5.665824732537131049e-11
4.736389684813753220e+00 6.127437286460371335e-11
