# log10(T) rate(cm^3/s)
# Total Recomb Rates
1.000000000000000000e+00 5.768832415248396679e-10
1.022922636103151817e+00 5.602805862247954485e-10
1.045845272206303633e+00 5.441267619456521570e-10
1.068767908309455672e+00 5.284102111640026054e-10
1.091690544412607489e+00 5.131196727208824746e-10
1.114613180515759305e+00 4.982441739174470345e-10
1.137535816618911122e+00 4.837730228199026381e-10
1.160458452722062939e+00 4.696958007687138805e-10
1.183381088825214977e+00 4.560023550872610128e-10
1.206303724928366794e+00 4.426827919852335070e-10
1.229226361031518611e+00 4.297274696521724382e-10
1.252148997134670427e+00 4.171269915366882357e-10
1.275071633237822244e+00 4.048721998069929624e-10
1.297994269340974283e+00 3.929541689884851226e-10
1.320916905444126099e+00 3.813641997742348649e-10
1.343839541547277916e+00 3.700938130043012963e-10
1.366762177650429733e+00 3.591347438099194044e-10
1.389684813753581771e+00 3.484789359186630989e-10
1.412607449856733588e+00 3.381185361167899403e-10
1.435530085959885405e+00 3.280458888650365578e-10
1.458452722063037221e+00 3.182535310642185440e-10
1.481375358166189038e+00 3.087341869670523589e-10
1.504297994269340855e+00 2.994807632326870861e-10
1.527220630372492671e+00 2.904863441205014545e-10
1.550143266475644710e+00 2.817441868198124243e-10
1.573065902578796527e+00 2.732477169123239283e-10
1.595988538681948565e+00 2.649905239646580875e-10
1.618911174785100382e+00 2.569663572499633081e-10
1.641833810888252199e+00 2.491691216025615596e-10
1.664756446991404015e+00 2.415928734235545631e-10
1.687679083094555832e+00 2.342318168911787913e-10
1.710601719197707649e+00 2.270803005142943482e-10
1.733524355300859465e+00 2.201328143503353678e-10
1.756446991404011282e+00 2.133839885721803128e-10
1.779369627507163321e+00 2.068285947296191579e-10
1.802292263610315137e+00 2.004615521534487658e-10
1.825214899713467176e+00 1.942779436253058740e-10
1.848137535816618993e+00 1.882730467352396946e-10
1.871060171919770809e+00 1.824423901463878741e-10
1.893982808022922626e+00 1.767818468812335845e-10
1.916905444126074443e+00 1.712877790012891364e-10
1.939828080229226259e+00 1.659572486321774384e-10
1.962750716332378076e+00 1.607883080043544084e-10
1.985673352435529893e+00 1.557803749956050802e-10
2.008595988538681709e+00 1.509346900485200323e-10
2.031518624641833526e+00 1.462548356348683757e-10
2.054441260744985343e+00 1.417472820702403743e-10
2.077363896848137603e+00 1.374219059181006187e-10
2.100286532951289420e+00 1.332924126637748136e-10
2.123209169054441237e+00 1.293765871428710207e-10
2.146131805157593053e+00 1.256962961795080387e-10
2.169054441260744870e+00 1.222771796062446227e-10
2.191977077363897131e+00 1.191479881878149757e-10
2.214899713467048947e+00 1.163395580182580208e-10
2.237822349570200764e+00 1.138834471838038405e-10
2.260744985673352581e+00 1.118102973351944153e-10
2.283667621776504397e+00 1.101480154790719788e-10
