# log10(T) rate(cm^3/s)
# Total Recomb Rates
1.000000000000000000e+00 3.486418888714278701e-09
1.022922636103151817e+00 3.389399851149878508e-09
1.045845272206303633e+00 3.294957215025122783e-09
1.068767908309455672e+00 3.203024472103338139e-09
1.091690544412607489e+00 3.113536838758085472e-09
1.114613180515759305e+00 3.026431210417107142e-09
1.137535816618911122e+00 2.941646117187023594e-09
1.160458452722062939e+00 2.859121680629215184e-09
1.183381088825214977e+00 2.778799571658053663e-09
1.206303724928366794e+00 2.700622969533532506e-09
1.229226361031518611e+00 2.624536521921098356e-09
1.252148997134670427e+00 2.550486305992225406e-09
1.275071633237822244e+00 2.478419790540036344e-09
1.297994269340974283e+00 2.408285799084965847e-09
1.320916905444126099e+00 2.340034473946151234e-09
1.343839541547277916e+00 2.273617241254914841e-09
1.366762177650429733e+00 2.208986776887325111e-09
1.389684813753581771e+00 2.146096973293464906e-09
1.412607449856733588e+00 2.084902907201619082e-09
1.435530085959885405e+00 2.025360808176187325e-09
1.458452722063037221e+00 1.967428028008661328e-09
1.481375358166189038e+00 1.911063010921589821e-09
1.504297994269340855e+00 1.856225264565893557e-09
1.527220630372492671e+00 1.802875331792480290e-09
1.550143266475644710e+00 1.750974763179504545e-09
1.573065902578796527e+00 1.700486090297136865e-09
1.595988538681948565e+00 1.651372799692095168e-09
1.618911174785100382e+00 1.603599307574647871e-09
1.641833810888252199e+00 1.557130935191182643e-09
1.664756446991404015e+00 1.511933884865816836e-09
1.687679083094555832e+00 1.467975216694912324e-09
1.710601719197707649e+00 1.425222825878680295e-09
1.733524355300859465e+00 1.383645420674421800e-09
1.756446991404011282e+00 1.343212500956264968e-09
1.779369627507163321e+00 1.303894337366557641e-09
1.802292263610315137e+00 1.265661951044381855e-09
1.825214899713467176e+00 1.228487093916920879e-09
1.848137535816618993e+00 1.192342229539707539e-09
1.871060171919770809e+00 1.157200514471993879e-09
1.893982808022922626e+00 1.123035780173786408e-09
1.916905444126074443e+00 1.089822515411281854e-09
1.939828080229226259e+00 1.057535849157691258e-09
1.962750716332378076e+00 1.026151533976668116e-09
1.985673352435529893e+00 9.956459298757407578e-10
2.008595988538681709e+00 9.659959886173999670e-10
2.031518624641833526e+00 9.371792384756595625e-10
2.054441260744985343e+00 9.091737694261228914e-10
2.077363896848137603e+00 8.819582187577860167e-10
2.100286532951289420e+00 8.555117570949930343e-10
2.123209169054441237e+00 8.298140748181405248e-10
2.146131805157593053e+00 8.048453688719451778e-10
2.169054441260744870e+00 7.805863299502323461e-10
2.191977077363897131e+00 7.570181300464281808e-10
2.214899713467048947e+00 7.341224103591030169e-10
2.237822349570200764e+00 7.118812695420960753e-10
2.260744985673352581e+00 6.902772522889637177e-10
2.283667621776504397e+00 6.692933382416493107e-10
2.306590257879656214e+00 6.489129312134922694e-10
2.329512893982808031e+00 6.291198487168636288e-10
2.352435530085959847e+00 6.098983117859263199e-10
2.375358166189111664e+00 5.912329350852051651e-10
2.398280802292263481e+00 5.731087172948522014e-10
2.421203438395415297e+00 5.555110317637016966e-10
2.444126074498567114e+00 5.384256174213981339e-10
2.467048710601718930e+00 5.218385699411055348e-10
2.489971346704870747e+00 5.057363331445024295e-10
2.512893982808022564e+00 4.901056906409873308e-10
2.535816618911174825e+00 4.749337576932697898e-10
2.558739255014326641e+00 4.602079733018578439e-10
2.581661891117478458e+00 4.459160925016249054e-10
2.604584527220630275e+00 4.320461788653908517e-10
2.627507163323782091e+00 4.185865972142292506e-10
2.650429799426934352e+00 4.055260065469477208e-10
2.673352435530086169e+00 3.928533532327290321e-10
2.696275071633237985e+00 3.805578645829270346e-10
2.719197707736389802e+00 3.686290430692247756e-10
2.742120343839541619e+00 3.570566617468915776e-10
2.765042979942693435e+00 3.458307619575497082e-10
