# log10(T) rate(cm^3/s)
# Total Recomb Rates
1.000000000000000000e+00 8.560730574682261776e-10
1.022922636103151817e+00 8.323145571895926979e-10
1.045845272206303633e+00 8.091831800524865661e-10
1.068767908309455672e+00 7.866627314575125181e-10
1.091690544412607489e+00 7.647374390220680563e-10
1.114613180515759305e+00 7.433919414926803085e-10
1.137535816618911122e+00 7.226112779424209664e-10
1.160458452722062939e+00 7.023808772459854885e-10
1.183381088825214977e+00 6.826865478252367903e-10
1.206303724928366794e+00 6.635144676582043040e-10
1.229226361031518611e+00 6.448511745447298862e-10
1.252148997134670427e+00 6.266835566221371295e-10
1.275071633237822244e+00 6.089988431244873749e-10
1.297994269340974283e+00 5.917845953791649044e-10
1.320916905444126099e+00 5.750286980347157768e-10
1.343839541547277916e+00 5.587193505140224503e-10
1.366762177650429733e+00 5.428450586870861715e-10
1.389684813753581771e+00 5.273946267578315951e-10
1.412607449856733588e+00 5.123571493595180823e-10
1.435530085959885405e+00 4.977220038535023922e-10
1.458452722063037221e+00 4.834788428262335531e-10
1.481375358166189038e+00 4.696175867795288234e-10
1.504297994269340855e+00 4.561284170093042471e-10
1.527220630372492671e+00 4.430017686680867501e-10
1.550143266475644710e+00 4.302283240067651085e-10
1.573065902578796527e+00 4.177990057911706569e-10
1.595988538681948565e+00 4.057049708892064585e-10
1.618911174785100382e+00 3.939376040243705748e-10
1.641833810888252199e+00 3.824885116916359690e-10
1.664756446991404015e+00 3.713495162317731844e-10
1.687679083094555832e+00 3.605126500603072011e-10
1.710601719197707649e+00 3.499701500474177444e-10
1.733524355300859465e+00 3.397144520451917916e-10
1.756446991404011282e+00 3.297381855587421726e-10
1.779369627507163321e+00 3.200341685578057897e-10
1.802292263610315137e+00 3.105954024255266912e-10
1.825214899713467176e+00 3.014150670412203812e-10
1.848137535816618993e+00 2.924865159940071489e-10
1.871060171919770809e+00 2.838032719242805784e-10
1.893982808022922626e+00 2.753590219900600651e-10
1.916905444126074443e+00 2.671476134553528861e-10
1.939828080229226259e+00 2.591630493977221991e-10
1.962750716332378076e+00 2.513994845323282237e-10
1.985673352435529893e+00 2.438512211497755163e-10
2.008595988538681709e+00 2.365127051651602547e-10
2.031518624641833526e+00 2.293785222757719352e-10
2.054441260744985343e+00 2.224433942249596687e-10
2.077363896848137603e+00 2.157021751697238496e-10
