# log10(T) rate(cm^3/s)
# Total Recomb Rates
1.000000000000000000e+00 1.159520118695596000e-09
1.022922636103151817e+00 1.128093788221927408e-09
1.045845272206303633e+00 1.097489715662795396e-09
1.068767908309455672e+00 1.067686565462562668e-09
1.091690544412607489e+00 1.038663559000262632e-09
1.114613180515759305e+00 1.010400460078344475e-09
1.137535816618911122e+00 9.828775607878520096e-10
1.160458452722062939e+00 9.560756677401676053e-10
1.183381088825214977e+00 9.299760886556993446e-10
1.206303724928366794e+00 9.045606193001553622e-10
1.229226361031518611e+00 8.798115307592723685e-10
1.252148997134670427e+00 8.557115570431165032e-10
1.275071633237822244e+00 8.322438830113083465e-10
1.297994269340974283e+00 8.093921326107341219e-10
1.320916905444126099e+00 7.871403574175453165e-10
1.343839541547277916e+00 7.654730254754376464e-10
1.366762177650429733e+00 7.443750104224433821e-10
1.389684813753581771e+00 7.238315808986396897e-10
1.412607449856733588e+00 7.038283902273992937e-10
1.435530085959885405e+00 6.843514663629909190e-10
1.458452722063037221e+00 6.653872020975341483e-10
1.481375358166189038e+00 6.469223455204910738e-10
1.504297994269340855e+00 6.289439907240599260e-10
1.527220630372492671e+00 6.114395687480156733e-10
1.550143266475644710e+00 5.943968387577050222e-10
1.573065902578796527e+00 5.778038794490837807e-10
1.595988538681948565e+00 5.616490806748298210e-10
1.618911174785100382e+00 5.459211352857488216e-10
1.641833810888252199e+00 5.306090311818171484e-10
1.664756446991404015e+00 5.157020435673894550e-10
1.687679083094555832e+00 5.011897274052150064e-10
1.710601719197707649e+00 4.870619100640865419e-10
1.733524355300859465e+00 4.733086841550524028e-10
1.756446991404011282e+00 4.599204005512907767e-10
1.779369627507163321e+00 4.468876615868611810e-10
1.802292263610315137e+00 4.342013144296923395e-10
1.825214899713467176e+00 4.218524446242857562e-10
1.848137535816618993e+00 4.098323697997495318e-10
1.871060171919770809e+00 3.981326335388939137e-10
1.893982808022922626e+00 3.867449994042424390e-10
1.916905444126074443e+00 3.756614451169364024e-10
1.939828080229226259e+00 3.648741568846109846e-10
1.962750716332378076e+00 3.543755238744552276e-10
1.985673352435529893e+00 3.441581328277558243e-10
2.008595988538681709e+00 3.342147628123490294e-10
2.031518624641833526e+00 3.245383801094986733e-10
2.054441260744985343e+00 3.151221332318294158e-10
2.077363896848137603e+00 3.059593480690333994e-10
2.100286532951289420e+00 2.970435231581795649e-10
2.123209169054441237e+00 2.883683250755325930e-10
2.146131805157593053e+00 2.799275839468972642e-10
2.169054441260744870e+00 2.717152890735821431e-10
2.191977077363897131e+00 2.637255846711687271e-10
2.214899713467048947e+00 2.559527657183559998e-10
2.237822349570200764e+00 2.483912739132316553e-10
2.260744985673352581e+00 2.410356937344033021e-10
2.283667621776504397e+00 2.338807486044966283e-10
2.306590257879656214e+00 2.269212971536065567e-10
2.329512893982808031e+00 2.201523295803555051e-10
2.352435530085959847e+00 2.135689641082864873e-10
2.375358166189111664e+00 2.071664435353808791e-10
2.398280802292263481e+00 2.009401318745620974e-10
2.421203438395415297e+00 1.948855110831023499e-10
2.444126074498567114e+00 1.889981778789115262e-10
2.467048710601718930e+00 1.832738406417451734e-10
2.489971346704870747e+00 1.777083163974225539e-10
2.512893982808022564e+00 1.722975278831944300e-10
2.535816618911174825e+00 1.670375006924547887e-10
2.558739255014326641e+00 1.619243604970339904e-10
2.581661891117478458e+00 1.569543303453540225e-10
2.604584527220630275e+00 1.521237280347730385e-10
2.627507163323782091e+00 1.474289635564804362e-10
2.650429799426934352e+00 1.428665366113438944e-10
2.673352435530086169e+00 1.384330341951427509e-10
2.696275071633237985e+00 1.341251282516546426e-10
2.719197707736389802e+00 1.299395733920934315e-10
2.742120343839541619e+00 1.258732046794216648e-10
2.765042979942693435e+00 1.219229354760891769e-10
2.787965616045845252e+00 1.180857553537712812e-10
2.810888252148997069e+00 1.143587280637021958e-10
2.833810888252148885e+00 1.107389895662200459e-10
2.856733524355300702e+00 1.072237461181564270e-10
2.879656160458452518e+00 1.038102724167217310e-10
2.902578796561604335e+00 1.004959097985512315e-10
2.925501432664756152e+00 9.727806449259199315e-11
2.948424068767907968e+00 9.415420592552187645e-11
2.971346704871059785e+00 9.112186507840506570e-11
2.994269340974212046e+00 8.817863289329738975e-11
3.017191977077363862e+00 8.532215872852651702e-11
3.040114613180515679e+00 8.255014886137890546e-11
3.063037249283667496e+00 7.986036503693733027e-11
3.085959885386819312e+00 7.725062306181738739e-11
3.108882521489971129e+00 7.471879144156353340e-11
3.131805157593122946e+00 7.226279006047013324e-11
3.154727793696275207e+00 6.988058890260313353e-11
3.177650429799427023e+00 6.757020681280626372e-11
3.200573065902578840e+00 6.532971029648351273e-11
3.223495702005730656e+00 6.315721235696067940e-11
3.246418338108882473e+00 6.105087136923682097e-11
3.269340974212034290e+00 5.900888998894906472e-11
3.292263610315186106e+00 5.702951409538366308e-11
3.315186246418337923e+00 5.511103176738048021e-11
3.338108882521489740e+00 5.325177229098953684e-11
3.361031518624641556e+00 5.145010519775431776e-11
3.383954154727793817e+00 4.970443933251042819e-11
3.406876790830945634e+00 4.801322194960567191e-11
3.429799426934097450e+00 4.637493783646469770e-11
3.452722063037249267e+00 4.478810846344051507e-11
3.475644699140401084e+00 4.325129115891516830e-11
3.498567335243552900e+00 4.176307830863224647e-11
3.521489971346704717e+00 4.032209657826747536e-11
3.544412607449856534e+00 3.892700615826531182e-11
3.567335243553008350e+00 3.757650002999542056e-11
3.590257879656160167e+00 3.626930325230719213e-11
3.613180515759312428e+00 3.500417226758725403e-11
3.636103151862464244e+00 3.377989422645222359e-11
3.659025787965616061e+00 3.259528633023617085e-11
3.681948424068767878e+00 3.144919519046242597e-11
3.704871060171919694e+00 3.034049620451672688e-11
3.727793696275071511e+00 2.926809294677025919e-11
3.750716332378223328e+00 2.823091657443022349e-11
3.773638968481375144e+00 2.722792524742657201e-11
3.796561604584526961e+00 2.625810356167423969e-11
3.819484240687678778e+00 2.532046199508098114e-11
3.842406876790831038e+00 2.441403636570168613e-11
3.865329512893982855e+00 2.353788730147097153e-11
3.888252148997134672e+00 2.269109972097610757e-11
3.911174785100286488e+00 2.187278232476272574e-11
3.934097421203438305e+00 2.108206709669554350e-11
3.957020057306590122e+00 2.031810881492539601e-11
3.979942693409741938e+00 1.958008457204282580e-11
4.002865329512893311e+00 1.886719330402655406e-11
4.025787965616045128e+00 1.817865532762188843e-11
4.048710601719197832e+00 1.751371188581156804e-11
4.071633237822349649e+00 1.687162470106618395e-11
4.094555873925501466e+00 1.625167553608627757e-11
4.117478510028653282e+00 1.565316576177246922e-11
4.140401146131805099e+00 1.507541593218155347e-11
4.163323782234956916e+00 1.451776536624908384e-11
