# log10(T) rate(cm^3/s)
# Total Recomb Rates
1.000000000000000000e+00 1.850062103692733984e-09
1.022922636103151817e+00 1.799141407072371164e-09
1.045845272206303633e+00 1.749561811813381014e-09
1.068767908309455672e+00 1.701288640685268024e-09
1.091690544412607489e+00 1.654288120625475911e-09
1.114613180515759305e+00 1.608527359034688552e-09
1.137535816618911122e+00 1.563974320682873516e-09
1.160458452722062939e+00 1.520597805210161721e-09
1.183381088825214977e+00 1.478367425207104870e-09
1.206303724928366794e+00 1.437253584859265890e-09
1.229226361031518611e+00 1.397227459141508119e-09
1.252148997134670427e+00 1.358260973547763379e-09
1.275071633237822244e+00 1.320326784342429648e-09
1.297994269340974283e+00 1.283398259319955832e-09
1.320916905444126099e+00 1.247449459059518538e-09
1.343839541547277916e+00 1.212455118662090102e-09
1.366762177650429733e+00 1.178390629957516227e-09
1.389684813753581771e+00 1.145232024169612210e-09
1.412607449856733588e+00 1.112955955027574607e-09
1.435530085959885405e+00 1.081539682312384427e-09
1.458452722063037221e+00 1.050961055827160247e-09
1.481375358166189038e+00 1.021198499780755662e-09
1.504297994269340855e+00 9.922309975741943194e-10
1.527220630372492671e+00 9.640380769798256930e-10
1.550143266475644710e+00 9.365997957033860740e-10
1.573065902578796527e+00 9.098967273194314170e-10
1.595988538681948565e+00 8.839099475708816493e-10
1.618911174785100382e+00 8.586210210237693629e-10
1.641833810888252199e+00 8.340119880687223540e-10
1.664756446991404015e+00 8.100653522616670379e-10
1.687679083094555832e+00 7.867640679984814273e-10
1.710601719197707649e+00 7.640915285240021658e-10
1.733524355300859465e+00 7.420315542893999174e-10
1.756446991404011282e+00 7.205683817023924445e-10
1.779369627507163321e+00 6.996866523776088244e-10
1.802292263610315137e+00 6.793714031136841533e-10
1.825214899713467176e+00 6.596080570313327424e-10
1.848137535816618993e+00 6.403824166372290943e-10
1.871060171919770809e+00 6.216806600563981163e-10
1.893982808022922626e+00 6.034893422950830316e-10
1.916905444126074443e+00 5.857954040960347826e-10
1.939828080229226259e+00 5.685861915929904036e-10
1.962750716332378076e+00 5.518494903449456010e-10
1.985673352435529893e+00 5.355735771599010777e-10
2.008595988538681709e+00 5.197472921249810993e-10
2.031518624641833526e+00 5.043601312461060928e-10
2.054441260744985343e+00 4.894023570349731138e-10
2.077363896848137603e+00 4.748651204728718702e-10
2.100286532951289420e+00 4.607405835028409075e-10
2.123209169054441237e+00 4.470220272487851013e-10
