# log10(T) rate(cm^3/s)
# Total Recomb Rates
1.000000000000000000e+00 2.695162790882957243e-09
1.022922636103151817e+00 2.619831347218313253e-09
1.045845272206303633e+00 2.546503405386464588e-09
1.068767908309455672e+00 2.475127279177127131e-09
1.091690544412607489e+00 2.405652622038747039e-09
1.114613180515759305e+00 2.338030391648879004e-09
1.137535816618911122e+00 2.272212815402626629e-09
1.160458452722062939e+00 2.208153356796211352e-09
1.183381088825214977e+00 2.145806682683342219e-09
1.206303724928366794e+00 2.085128631382759896e-09
1.229226361031518611e+00 2.026076181615867589e-09
1.252148997134670427e+00 1.968607422253981114e-09
1.275071633237822244e+00 1.912681522855310227e-09
1.297994269340974283e+00 1.858258704972329850e-09
1.320916905444126099e+00 1.805300214210835561e-09
1.343839541547277916e+00 1.753768293022787895e-09
1.366762177650429733e+00 1.703626154216934557e-09
1.389684813753581771e+00 1.654837955176474574e-09
1.412607449856733588e+00 1.607368772789401818e-09
1.435530085959885405e+00 1.561184579145084758e-09
1.458452722063037221e+00 1.516252218180420382e-09
1.481375358166189038e+00 1.472539383781659960e-09
1.504297994269340855e+00 1.430014600584047958e-09
1.527220630372492671e+00 1.388647210252054482e-09
1.550143266475644710e+00 1.348407368982331034e-09
1.573065902578796527e+00 1.309266067183954426e-09
1.595988538681948565e+00 1.271195190684971506e-09
1.618911174785100382e+00 1.234167655102334945e-09
1.641833810888252199e+00 1.198157661169155529e-09
1.664756446991404015e+00 1.163141137428839439e-09
1.687679083094555832e+00 1.129096454409404195e-09
1.710601719197707649e+00 1.096005505653315061e-09
1.733524355300859465e+00 1.063855248601023986e-09
1.756446991404011282e+00 1.032639774798871235e-09
1.779369627507163321e+00 1.002362928509710115e-09
1.802292263610315137e+00 9.730414140510302549e-10
1.825214899713467176e+00 9.447082298095696973e-10
1.848137535816618993e+00 9.174161526985885866e-10
1.871060171919770809e+00 8.912408888291403701e-10
1.893982808022922626e+00 8.662834257971344005e-10
1.916905444126074443e+00 8.426710899955218951e-10
1.939828080229226259e+00 8.205568442136049905e-10
1.962750716332378076e+00 8.001164627354165672e-10
1.985673352435529893e+00 7.815433879878991628e-10
2.008595988538681709e+00 7.650412879020702383e-10
2.031518624641833526e+00 7.508145709038237605e-10
2.054441260744985343e+00 7.390573453905566258e-10
2.077363896848137603e+00 7.299415024740799723e-10
2.100286532951289420e+00 7.236047296202373913e-10
2.123209169054441237e+00 7.201393124370457082e-10
2.146131805157593053e+00 7.195825470271429640e-10
2.169054441260744870e+00 7.219094718067220609e-10
2.191977077363897131e+00 7.270284506398591967e-10
2.214899713467048947e+00 7.347799201527945025e-10
2.237822349570200764e+00 7.449383777751282063e-10
2.260744985673352581e+00 7.572174575530804831e-10
2.283667621776504397e+00 7.712777389159069237e-10
2.306590257879656214e+00 7.867367748530606909e-10
2.329512893982808031e+00 8.031807195770559494e-10
2.352435530085959847e+00 8.201768845706560746e-10
2.375358166189111664e+00 8.372865532106883614e-10
2.398280802292263481e+00 8.540774308315090825e-10
2.421203438395415297e+00 8.701351891803254653e-10
2.444126074498567114e+00 8.850736704016724292e-10
2.467048710601718930e+00 8.985434346171582512e-10
2.489971346704870747e+00 9.102384565125665404e-10
2.512893982808022564e+00 9.199008915353164231e-10
2.535816618911174825e+00 9.273239349288928787e-10
2.558739255014326641e+00 9.323528827532007712e-10
2.581661891117478458e+00 9.348845712863558814e-10
2.604584527220630275e+00 9.348654196532661188e-10
2.627507163323782091e+00 9.322883314622424258e-10
2.650429799426934352e+00 9.271887267890772941e-10
2.673352435530086169e+00 9.196399784229813558e-10
2.696275071633237985e+00 9.097485179757367472e-10
2.719197707736389802e+00 8.976488596412004683e-10
2.742120343839541619e+00 8.834987626113918820e-10
2.765042979942693435e+00 8.674747172948994072e-10
2.787965616045845252e+00 8.497678953342583957e-10
2.810888252148997069e+00 8.305806494575242428e-10
2.833810888252148885e+00 8.101235883714879180e-10
2.856733524355300702e+00 7.886131881350391831e-10
2.879656160458452518e+00 7.662698406373663323e-10
2.902578796561604335e+00 7.433161891762737546e-10
2.925501432664756152e+00 7.199755680533097795e-10
2.948424068767907968e+00 6.964703535800510117e-10
2.971346704871059785e+00 6.730200511368096535e-10
2.994269340974212046e+00 6.498389863753262475e-10
3.017191977077363862e+00 6.271335336974219539e-10
3.040114613180515679e+00 6.050988936545568694e-10
3.063037249283667496e+00 5.839155125232592873e-10
3.085959885386819312e+00 5.637453110619974770e-10
3.108882521489971129e+00 5.447279455605086323e-10
3.131805157593122946e+00 5.269773556154437569e-10
3.154727793696275207e+00 5.105788560620948150e-10
3.177650429799427023e+00 4.955870054971623679e-10
3.200573065902578840e+00 4.820244347087248531e-10
3.223495702005730656e+00 4.698817516333560842e-10
3.246418338108882473e+00 4.591185632690690233e-10
3.269340974212034290e+00 4.496655776927829780e-10
3.292263610315186106e+00 4.414276786097059486e-10
3.315186246418337923e+00 4.342878067735520059e-10
3.338108882521489740e+00 4.281114411850726473e-10
3.361031518624641556e+00 4.227514500391140212e-10
3.383954154727793817e+00 4.180530767509175701e-10
3.406876790830945634e+00 4.138588381831219880e-10
3.429799426934097450e+00 4.100131373567607842e-10
3.452722063037249267e+00 4.063664277221402556e-10
3.475644699140401084e+00 4.027788065412826166e-10
3.498567335243552900e+00 3.991229573310861567e-10
3.521489971346704717e+00 3.952864023523497472e-10
3.544412607449856534e+00 3.911730631888917810e-10
3.567335243553008350e+00 3.867041586919517326e-10
3.590257879656160167e+00 3.818184938989600976e-10
3.613180515759312428e+00 3.764722106401387031e-10
3.636103151862464244e+00 3.706380807282000794e-10
3.659025787965616061e+00 3.643044266950462457e-10
3.681948424068767878e+00 3.574737541423389552e-10
3.704871060171919694e+00 3.501611752198107582e-10
3.727793696275071511e+00 3.423926958387076891e-10
3.750716332378223328e+00 3.342034311197308426e-10
3.773638968481375144e+00 3.256358051658302752e-10
3.796561604584526961e+00 3.167377831405651307e-10
3.819484240687678778e+00 3.075611761272307980e-10
3.842406876790831038e+00 2.981600524007838301e-10
3.865329512893982855e+00 2.885892824540713052e-10
3.888252148997134672e+00 2.789032391935192694e-10
3.911174785100286488e+00 2.691546689719533262e-10
3.934097421203438305e+00 2.593937434364930935e-10
3.957020057306590122e+00 2.496672965136982037e-10
3.979942693409741938e+00 2.400182453102256136e-10
4.002865329512893311e+00 2.304851884356618225e-10
4.025787965616045128e+00 2.211021704634822639e-10
4.048710601719197832e+00 2.118985971526866820e-10
4.071633237822349649e+00 2.028992828432443349e-10
4.094555873925501466e+00 1.941246092413741871e-10
4.117478510028653282e+00 1.855907736793002120e-10
4.140401146131805099e+00 1.773101048432594929e-10
4.163323782234956916e+00 1.692914248167452759e-10
4.186246418338108732e+00 1.615404379307408906e-10
4.209169054441260549e+00 1.540601291603294705e-10
4.232091690544412366e+00 1.468511574532702681e-10
4.255014326647564182e+00 1.399122322200498765e-10
4.277936962750716887e+00 1.332404640744195848e-10
4.300859598853868704e+00 1.268316836359634017e-10
4.323782234957020520e+00 1.206807246751444491e-10
4.346704871060172337e+00 1.147816700182801854e-10
4.369627507163324154e+00 1.091280603946338019e-10
4.392550143266475970e+00 1.037130677957242162e-10
4.415472779369627787e+00 9.852963595575980026e-11
4.438395415472779604e+00 9.357059130725796238e-11
4.461318051575931420e+00 8.882872829377033268e-11
4.484240687679083237e+00 8.429687331880857205e-11
4.507163323782235054e+00 7.996793195740305932e-11
4.530085959885386870e+00 7.583492440774127060e-11
4.553008595988538687e+00 7.189101451700715410e-11
4.575931232091690504e+00 6.812953800793345671e-11
4.598853868194842320e+00 6.454403561180545141e-11
4.621776504297994137e+00 6.112829646763709688e-11
4.644699140401145954e+00 5.787641614430558413e-11
4.667621776504297770e+00 5.478287179919826875e-11
4.690544412607449587e+00 5.184261424648320991e-11
4.713467048710601404e+00 4.905117320620772547e-11
4.736389684813753220e+00 4.640476810043810734e-11
4.759312320916905037e+00 4.390041301149232161e-11
4.782234957020056854e+00 4.153600149334519139e-11
4.805157593123208670e+00 3.931035549338190841e-11
4.828080229226360487e+00 3.722322320650402546e-11
4.851002865329512304e+00 3.527521347617624143e-11
4.873925501432664120e+00 3.346765925186911755e-11
4.896848137535815937e+00 3.180240912529977855e-11
4.919770773638967754e+00 3.028155332487653870e-11
4.942693409742119570e+00 2.890709781191860172e-11
4.965616045845272275e+00 2.768060635079103452e-11
4.988538681948424092e+00 2.660283482335265487e-11
5.011461318051575908e+00 2.567338409993378572e-11
5.034383954154727725e+00 2.489039727320770791e-11
5.057306590257879542e+00 2.425032415533342308e-11
5.080229226361031358e+00 2.374777106549053994e-11
5.103151862464183175e+00 2.337544771752885545e-11
5.126074498567334992e+00 2.312421615530161299e-11
5.148997134670486808e+00 2.298323984316924795e-11
5.171919770773638625e+00 2.294022475243674735e-11
5.194842406876790442e+00 2.298173898228026940e-11
