# log10(T) rate(cm^3/s)
# Total Recomb Rates
1.000000000000000000e+00 4.408658204114139320e-09
1.022922636103151817e+00 4.286093503890511984e-09
1.045845272206303633e+00 4.166784426318767973e-09
1.068767908309455672e+00 4.050646907174390685e-09
1.091690544412607489e+00 3.937599060828270505e-09
1.114613180515759305e+00 3.827561122696704740e-09
1.137535816618911122e+00 3.720455393185783695e-09
1.160458452722062939e+00 3.616206183092658126e-09
1.183381088825214977e+00 3.514739760427452995e-09
1.206303724928366794e+00 3.415984298620425849e-09
1.229226361031518611e+00 3.319869826080056736e-09
1.252148997134670427e+00 3.226328177068642022e-09
1.275071633237822244e+00 3.135292943862917850e-09
1.297994269340974283e+00 3.046699430168089696e-09
1.320916905444126099e+00 2.960484605754541578e-09
1.343839541547277916e+00 2.876587062287291730e-09
1.366762177650429733e+00 2.794946970319094947e-09
1.389684813753581771e+00 2.715506037418853626e-09
1.412607449856733588e+00 2.638207467407717943e-09
1.435530085959885405e+00 2.562995920676031928e-09
1.458452722063037221e+00 2.489817475554915367e-09
1.481375358166189038e+00 2.418619590716985785e-09
1.504297994269340855e+00 2.349351068581314907e-09
1.527220630372492671e+00 2.281962019698392319e-09
1.550143266475644710e+00 2.216403828091385601e-09
1.573065902578796527e+00 2.152629117530626453e-09
1.595988538681948565e+00 2.090591718718734170e-09
1.618911174785100382e+00 2.030246637364381317e-09
1.641833810888252199e+00 1.971550023123301610e-09
1.664756446991404015e+00 1.914459139386124368e-09
1.687679083094555832e+00 1.858932333895211236e-09
1.710601719197707649e+00 1.804929010180642624e-09
1.733524355300859465e+00 1.752409599830863720e-09
1.756446991404011282e+00 1.701335535688156267e-09
1.779369627507163321e+00 1.651669226261848004e-09
1.802292263610315137e+00 1.603374032156112626e-09
1.825214899713467176e+00 1.556414246458081392e-09
1.848137535816618993e+00 1.510755083434711018e-09
1.871060171919770809e+00 1.466362684498589953e-09
1.893982808022922626e+00 1.423204158518643734e-09
1.916905444126074443e+00 1.381247686610013682e-09
1.939828080229226259e+00 1.340462740633616778e-09
1.962750716332378076e+00 1.300820489714814980e-09
1.985673352435529893e+00 1.262294497942111099e-09
2.008595988538681709e+00 1.224861843776100356e-09
2.031518624641833526e+00 1.188504808989139904e-09
2.054441260744985343e+00 1.153213281001411653e-09
2.077363896848137603e+00 1.118987975655091120e-09
2.100286532951289420e+00 1.085844508971032685e-09
2.123209169054441237e+00 1.053818224027285271e-09
2.146131805157593053e+00 1.022969520233823452e-09
2.169054441260744870e+00 9.933892553617632116e-10
2.191977077363897131e+00 9.652036236700741631e-10
2.214899713467048947e+00 9.385777895867510691e-10
2.237822349570200764e+00 9.137175077405521209e-10
2.260744985673352581e+00 8.908680105463359120e-10
2.283667621776504397e+00 8.703096035394666979e-10
2.306590257879656214e+00 8.523496679811587364e-10
2.329512893982808031e+00 8.373111040172204455e-10
2.352435530085959847e+00 8.255176160534257635e-10
2.375358166189111664e+00 8.172765978034758013e-10
2.398280802292263481e+00 8.128606709346676768e-10
2.421203438395415297e+00 8.124891296809580975e-10
2.444126074498567114e+00 8.163106193506492789e-10
2.467048710601718930e+00 8.243883214027728416e-10
2.489971346704870747e+00 8.366887408171480534e-10
2.512893982808022564e+00 8.530749164107063944e-10
2.535816618911174825e+00 8.733045351010453970e-10
2.558739255014326641e+00 8.970330650062332795e-10
2.581661891117478458e+00 9.238216670717692739e-10
2.604584527220630275e+00 9.531493328147854804e-10
2.627507163323782091e+00 9.844284506966688862e-10
2.650429799426934352e+00 1.017022839739937005e-09
2.673352435530086169e+00 1.050267210662104017e-09
2.696275071633237985e+00 1.083487017739259458e-09
2.719197707736389802e+00 1.116017737872733314e-09
2.742120343839541619e+00 1.147222741575532049e-09
2.765042979942693435e+00 1.176509086422747202e-09
2.787965616045845252e+00 1.203340749487564645e-09
2.810888252148997069e+00 1.227249005490575685e-09
2.833810888252148885e+00 1.247839838416384033e-09
2.856733524355300702e+00 1.264798435779296754e-09
2.879656160458452518e+00 1.277890949181066701e-09
2.902578796561604335e+00 1.286963807778910955e-09
2.925501432664756152e+00 1.291940940796815885e-09
2.948424068767907968e+00 1.292819301551140947e-09
2.971346704871059785e+00 1.289663090949099573e-09
2.994269340974212046e+00 1.282597057249719827e-09
3.017191977077363862e+00 1.271799206892050093e-09
3.040114613180515679e+00 1.257493205511024609e-09
3.063037249283667496e+00 1.239940686681525229e-09
3.085959885386819312e+00 1.219433626152468886e-09
3.108882521489971129e+00 1.196286888041672867e-09
3.131805157593122946e+00 1.170831011488806330e-09
3.154727793696275207e+00 1.143405283975990800e-09
3.177650429799427023e+00 1.114351140608848042e-09
3.200573065902578840e+00 1.084005934333806157e-09
3.223495702005730656e+00 1.052697135754264901e-09
3.246418338108882473e+00 1.020737037385332521e-09
3.269340974212034290e+00 9.884180504212911342e-10
3.292263610315186106e+00 9.560086879264023884e-10
3.315186246418337923e+00 9.237503239642390132e-10
3.338108882521489740e+00 8.918548026437851012e-10
3.361031518624641556e+00 8.605029453492181433e-10
3.383954154727793817e+00 8.298439710362027473e-10
3.406876790830945634e+00 7.999958069217476217e-10
3.429799426934097450e+00 7.710462290570077920e-10
3.452722063037249267e+00 7.430547378556689422e-10
3.475644699140401084e+00 7.160550457122241784e-10
3.498567335243552900e+00 6.900580345036372738e-10
3.521489971346704717e+00 6.650550310866898816e-10
3.544412607449856534e+00 6.410212489229656686e-10
3.567335243553008350e+00 6.179192528524666240e-10
3.590257879656160167e+00 5.957023203017642925e-10
3.613180515759312428e+00 5.743175939234682490e-10
3.636103151862464244e+00 5.537089456625855244e-10
3.659025787965616061e+00 5.338194983220371086e-10
3.681948424068767878e+00 5.145937757417491323e-10
3.704871060171919694e+00 4.959794748359734095e-10
3.727793696275071511e+00 4.779288704501800766e-10
3.750716332378223328e+00 4.603998763195793045e-10
3.773638968481375144e+00 4.433567920010930843e-10
3.796561604584526961e+00 4.267707668976427066e-10
3.819484240687678778e+00 4.106200094928964268e-10
3.842406876790831038e+00 3.948897643309941109e-10
3.865329512893982855e+00 3.795720730885756523e-10
3.888252148997134672e+00 3.646653312513794309e-10
3.911174785100286488e+00 3.501736500015794670e-10
3.934097421203438305e+00 3.361060348474922535e-10
3.957020057306590122e+00 3.224753983451999957e-10
3.979942693409741938e+00 3.092974331894532264e-10
4.002865329512893311e+00 2.965893825264717918e-10
4.025787965616045128e+00 2.843687547111451774e-10
4.048710601719197832e+00 2.726520380031051685e-10
4.071633237822349649e+00 2.614534752758970803e-10
4.094555873925501466e+00 2.507839586662824119e-10
4.117478510028653282e+00 2.406500988844070699e-10
4.140401146131805099e+00 2.310535140228175629e-10
4.163323782234956916e+00 2.219903691363331431e-10
4.186246418338108732e+00 2.134511820322615117e-10
4.209169054441260549e+00 2.054208942249017868e-10
4.232091690544412366e+00 1.978791904548865781e-10
4.255014326647564182e+00 1.908010369181398289e-10
4.277936962750716887e+00 1.841573983977756963e-10
4.300859598853868704e+00 1.779160884123062456e-10
4.323782234957020520e+00 1.720427043872302750e-10
4.346704871060172337e+00 1.665016013849287891e-10
4.369627507163324154e+00 1.612568623749711356e-10
4.392550143266475970e+00 1.562732294091926942e-10
4.415472779369627787e+00 1.515169672700386147e-10
4.438395415472779604e+00 1.469566381100130442e-10
4.461318051575931420e+00 1.425637714249327190e-10
4.484240687679083237e+00 1.383134178877743454e-10
4.507163323782235054e+00 1.341845780394399088e-10
4.530085959885386870e+00 1.301604979609908177e-10
4.553008595988538687e+00 1.262288245684859308e-10
4.575931232091690504e+00 1.223816139894925406e-10
4.598853868194842320e+00 1.186151884762028001e-10
4.621776504297994137e+00 1.149298411077817787e-10
4.644699140401145954e+00 1.113293933439609793e-10
4.667621776504297770e+00 1.078206180401787508e-10
4.690544412607449587e+00 1.044125491047332883e-10
4.713467048710601404e+00 1.011157075420823638e-10
4.736389684813753220e+00 9.794128103634808301e-11
4.759312320916905037e+00 9.490029942502424422e-11
4.782234957020056854e+00 9.200285059594928669e-11
4.805157593123208670e+00 8.925738008451917947e-11
4.828080229226360487e+00 8.667011293507680734e-11
4.851002865329512304e+00 8.424462857944735459e-11
4.873925501432664120e+00 8.198160923485234637e-11
4.896848137535815937e+00 7.987877049298562232e-11
4.919770773638967754e+00 7.793097032882192307e-11
4.942693409742119570e+00 7.613048069434740570e-11
4.965616045845272275e+00 7.446739512981943571e-11
4.988538681948424092e+00 7.293013727278817369e-11
5.011461318051575908e+00 7.150602946070488124e-11
5.034383954154727725e+00 7.018187827070799532e-11
5.057306590257879542e+00 6.894453500314539035e-11
5.080229226361031358e+00 6.778139365539231844e-11
5.103151862464183175e+00 6.668079638256240293e-11
5.126074498567334992e+00 6.563232604171057816e-11
5.148997134670486808e+00 6.462697619375412073e-11
5.171919770773638625e+00 6.365719982473425986e-11
5.194842406876790442e+00 6.271684801583190789e-11
5.217765042979942258e+00 6.180101797630644734e-11
5.240687679083094075e+00 6.090583565522953077e-11
5.263610315186245892e+00 6.002820127998432678e-11
5.286532951289397708e+00 5.916552665412140348e-11
5.309455587392550413e+00 5.831549116025549045e-11
5.332378223495702230e+00 5.747583959622931713e-11
5.355300859598854046e+00 5.664423973198448208e-11
5.378223495702005863e+00 5.581821130084473786e-11
5.401146131805157680e+00 5.499513145838523627e-11
5.424068767908309496e+00 5.417231491301059524e-11
5.446991404011461313e+00 5.334716027818461144e-11
5.469914040114613130e+00 5.251734805471086696e-11
5.492836676217764946e+00 5.168107041349102525e-11
5.515759312320916763e+00 5.083726906341783988e-11
5.538681948424068580e+00 4.998585542041743335e-11
5.561604584527220396e+00 4.912788744110430213e-11
5.584527220630372213e+00 4.826568007891030896e-11
5.607449856733524030e+00 4.740283133269810248e-11
5.630372492836675846e+00 4.654415294632228697e-11
5.653295128939827663e+00 4.569550333585186245e-11
5.676217765042979480e+00 4.486352938811063179e-11
5.699140401146131296e+00 4.405533239518830454e-11
5.722063037249283113e+00 4.327808060307211169e-11
5.744985673352435818e+00 4.253859587205139894e-11
5.767908309455587634e+00 4.184294427037601056e-11
5.790830945558739451e+00 4.119605989287234057e-11
5.813753581661891268e+00 4.060142800015082258e-11
5.836676217765043084e+00 4.006084819357588945e-11
5.859598853868194901e+00 3.957429146434409964e-11
5.882521489971346718e+00 3.913985736869369062e-11
5.905444126074498534e+00 3.875383006433856957e-11
5.928366762177650351e+00 3.841082517609317922e-11
5.951289398280802168e+00 3.810401395942827730e-11
5.974212034383953984e+00 3.782540732213273769e-11
5.997134670487105801e+00 3.756618007023573555e-11
6.020057306590257618e+00 3.731701521040292319e-11
6.042979942693409434e+00 3.706844907139162320e-11
6.065902578796561251e+00 3.681120011012484393e-11
6.088825214899713067e+00 3.653646720227980682e-11
6.111747851002864884e+00 3.623618663396097741e-11
6.134670487106016701e+00 3.590324058665922133e-11
6.157593123209168517e+00 3.553161336794937482e-11
6.180515759312320334e+00 3.511649477324531149e-11
6.203438395415473039e+00 3.465433262405826186e-11
6.226361031518624856e+00 3.414283863406519266e-11
6.249283667621776672e+00 3.358095328034350000e-11
6.272206303724928489e+00 3.296877632300940995e-11
6.295128939828080306e+00 3.230747007510423476e-11
6.318051575931232122e+00 3.159914255035857356e-11
6.340974212034383939e+00 3.084671729499338323e-11
6.363896848137535756e+00 3.005379612902197390e-11
6.386819484240687572e+00 2.922452026650281595e-11
6.409742120343839389e+00 2.836343442807333844e-11
6.432664756446991206e+00 2.747535766665506719e-11
6.455587392550143022e+00 2.656526374961655613e-11
6.478510028653294839e+00 2.563817311643305133e-11
6.501432664756446655e+00 2.469905768671931947e-11
6.524355300859598472e+00 2.375275914577240285e-11
6.547277936962750289e+00 2.280392079107649479e-11
6.570200573065902105e+00 2.185693258430061536e-11
6.593123209169053922e+00 2.091588871466719393e-11
6.616045845272205739e+00 1.998455673305265289e-11
6.638968481375357555e+00 1.906635715138247480e-11
6.661891117478510260e+00 1.816435230721399758e-11
6.684813753581662077e+00 1.728124325697594635e-11
6.707736389684813894e+00 1.641937347162574704e-11
6.730659025787965710e+00 1.558073815478098828e-11
6.753581661891117527e+00 1.476699807605919274e-11
6.776504297994269344e+00 1.397949690306257178e-11
6.799426934097421160e+00 1.321928111710777288e-11
6.822349570200572977e+00 1.248712170463884784e-11
6.845272206303724793e+00 1.178353692368084315e-11
6.868194842406876610e+00 1.110881554917394280e-11
6.891117478510028427e+00 1.046304010000224634e-11
6.914040114613180243e+00 9.846109642229862899e-12
6.936962750716332060e+00 9.257761846381753050e-12
6.959885386819483877e+00 8.697594050999573671e-12
6.982808022922635693e+00 8.165083150029356411e-12
7.005730659025787510e+00 7.659604178044786589e-12
7.028653295128939327e+00 7.180447515297728337e-12
7.051575931232091143e+00 6.726834674696059388e-12
7.074498567335242960e+00 6.297932665717749876e-12
7.097421203438395665e+00 5.892866956711052794e-12
7.120343839541547482e+00 5.510733077750177268e-12
7.143266475644699298e+00 5.150606921947074515e-12
7.166189111747851115e+00 4.811553814565031166e-12
7.189111747851002931e+00 4.492636427091004027e-12
7.212034383954154748e+00 4.192921618202665530e-12
7.234957020057306565e+00 3.911486285852141316e-12
7.257879656160458381e+00 3.647422314961936228e-12
7.280802292263610198e+00 3.399840703910127771e-12
7.303724928366762015e+00 3.167874950435517803e-12
7.326647564469913831e+00 2.950683774129995284e-12
7.349570200573065648e+00 2.747453248567169930e-12
7.372492836676217465e+00 2.557398411561857511e-12
7.395415472779369281e+00 2.379764417243729425e-12
7.418338108882521098e+00 2.213827288705384833e-12
7.441260744985672915e+00 2.058894325065691386e-12
7.464183381088824731e+00 1.914304211963174363e-12
7.487106017191976548e+00 1.779426879829505957e-12
7.510028653295128365e+00 1.653663149839636866e-12
7.532951289398280181e+00 1.536444203227310253e-12
7.555873925501432886e+00 1.427230905714965490e-12
7.578796561604584703e+00 1.325513015147489693e-12
7.601719197707736519e+00 1.230808297043978509e-12
7.624641833810888336e+00 1.142661569688906134e-12
7.647564469914040153e+00 1.060643697566462635e-12
7.670487106017191969e+00 9.843505493894456463e-13
7.693409742120343786e+00 9.134019346736470689e-13
7.716332378223495603e+00 8.474405307457262584e-13
7.739255014326647419e+00 7.861308102312810389e-13
7.762177650429799236e+00 7.291579774341718508e-13
7.785100286532951053e+00 6.762269205717581411e-13
7.808022922636102869e+00 6.270611855576485894e-13
7.830945558739254686e+00 5.814019759082982890e-13
7.853868194842406503e+00 5.390071823774781043e-13
7.876790830945558319e+00 4.996504450792493057e-13
7.899713467048710136e+00 4.631202501324007913e-13
7.922636103151861953e+00 4.292190622350945776e-13
7.945558739255013769e+00 3.977624940463434010e-13
7.968481375358165586e+00 3.685785128005057503e-13
7.991404011461317403e+00 3.415066842026785787e-13
8.014326647564470107e+00 3.163974533380306518e-13
8.037249283667621924e+00 2.931114620689121138e-13
8.060171919770773741e+00 2.715189021828806735e-13
8.083094555873925557e+00 2.514989033863326407e-13
8.106017191977077374e+00 2.329389551064162078e-13
8.128939828080229191e+00 2.157343609633834464e-13
8.151862464183381007e+00 1.997877247019324025e-13
8.174785100286532824e+00 1.850084663194573619e-13
8.197707736389684641e+00 1.713123670979304684e-13
8.220630372492836457e+00 1.586211422313122115e-13
8.243553008595988274e+00 1.468620397392101614e-13
8.266475644699140091e+00 1.359674643676245323e-13
8.289398280802291907e+00 1.258746251969735364e-13
8.312320916905443724e+00 1.165252057044031171e-13
8.335243553008595541e+00 1.078650550601172082e-13
8.358166189111747357e+00 9.984389947478996387e-14
8.381088825214899174e+00 9.241507245591308782e-14
8.404011461318050991e+00 8.553526287422369709e-14
8.426934097421202807e+00 7.916427978633264387e-14
8.449856733524356400e+00 7.326483300564517937e-14
8.472779369627506441e+00 6.780232846006310821e-14
8.495702005730660034e+00 6.274467742128235953e-14
8.518624641833810074e+00 5.806211873641939300e-14
8.541547277936963667e+00 5.372705323778469777e-14
8.564469914040113707e+00 4.971388955077711535e-14
8.587392550143267300e+00 4.599890056271259167e-14
