Teff    log g  R/Rsun  Mdot       vinf
 (K)    (cgs)        (Msun/yr)   (km/s)
47000.  4.00   11.4   1.20e-06    3074.
n = 2971

  Wavelength      Eddington flux    Continuum   Normalized spectrum
  (Angstroms)     (erg/s/cm2/Hz)  (erg/s/cm2/Hz)

  6.00000000e+08  2.12364404e-10  2.12364404e-10  1.00000000e+00
  2.00000000e+08  1.08141862e-09  1.08141862e-09  1.00000000e+00
  1.20000000e+07  1.07655174e-08  1.07655174e-08  1.00000000e+00
  1.00000000e+06  8.89191583e-08  8.89192009e-08  9.99999523e-01
  6.00000000e+05  1.65395903e-07  1.65396045e-07  9.99999166e-01
  2.50000000e+05  6.24521306e-07  6.24522045e-07  9.99998748e-01
  1.20000000e+05  2.25409212e-06  2.25409531e-06  9.99998569e-01
  5.00000000e+04  1.11747831e-05  1.11748068e-05  9.99997854e-01
  4.85000000e+04  1.18380976e-05  1.18381240e-05  9.99997854e-01
  4.75000000e+04  1.23156360e-05  1.23156624e-05  9.99997854e-01
  4.65000000e+04  1.28243746e-05  1.28244010e-05  9.99997854e-01
  4.55000000e+04  1.33671520e-05  1.33671811e-05  9.99997854e-01
  4.45000000e+04  1.39471267e-05  1.39471567e-05  9.99997854e-01
  4.35000000e+04  1.45678123e-05  1.45678432e-05  9.99997854e-01
  4.25000000e+04  1.52331222e-05  1.52331540e-05  9.99997854e-01
  4.15000000e+04  1.59474166e-05  1.59474494e-05  9.99997914e-01
  4.05000000e+04  1.67155504e-05  1.67155868e-05  9.99997914e-01
  3.95000000e+04  1.75429359e-05  1.75429723e-05  9.99997914e-01
  3.85000000e+04  1.84355977e-05  1.84356359e-05  9.99997914e-01
  3.75000000e+04  1.94002532e-05  1.94002932e-05  9.99997914e-01
  3.65000000e+04  2.04443913e-05  2.04444332e-05  9.99997914e-01
  3.55000000e+04  2.15763775e-05  2.15764212e-05  9.99997973e-01
  3.50017500e+04  2.21760456e-05  2.21760929e-05  9.99997973e-01
  3.45000000e+04  2.28055724e-05  2.28056197e-05  9.99997973e-01
  3.34000000e+04  2.42825536e-05  2.42826027e-05  9.99998033e-01
  3.24000000e+04  2.57517313e-05  2.57517822e-05  9.99998033e-01
  3.17500000e+04  2.67779014e-05  2.67779542e-05  9.99998033e-01
  3.12500000e+04  2.76085266e-05  2.76085811e-05  9.99998093e-01
  3.07500000e+04  2.84772977e-05  2.84773523e-05  9.99998093e-01
  3.02500000e+04  2.93864432e-05  2.93864996e-05  9.99998093e-01
  2.97500000e+04  3.03383731e-05  3.03384295e-05  9.99998152e-01
  2.92500000e+04  3.13357014e-05  3.13357596e-05  9.99998152e-01
  2.87500000e+04  3.23812710e-05  3.23813292e-05  9.99998212e-01
  2.82500000e+04  3.34781907e-05  3.34782490e-05  9.99998212e-01
  2.77500000e+04  3.46298584e-05  3.46299203e-05  9.99998271e-01
  2.72500000e+04  3.58400284e-05  3.58400866e-05  9.99998271e-01
  2.67500000e+04  3.71128299e-05  3.71128917e-05  9.99998331e-01
  2.62500000e+04  3.84528503e-05  3.84529158e-05  9.99998331e-01
  2.57500000e+04  3.98651937e-05  3.98652555e-05  9.99998391e-01
  2.52500000e+04  4.13555390e-05  4.13556045e-05  9.99998450e-01
  2.47500000e+04  4.29302563e-05  4.29303218e-05  9.99998450e-01
  2.42500000e+04  4.45964870e-05  4.45965525e-05  9.99998510e-01
  2.37500000e+04  4.63622600e-05  4.63623292e-05  9.99998510e-01
  2.32500000e+04  4.82366377e-05  4.82367068e-05  9.99998569e-01
  2.29000000e+04  4.96187422e-05  4.96188150e-05  9.99998569e-01
  2.27938418e+04  5.00500355e-05  5.00501083e-05  9.99998569e-01
  2.27935801e+04  5.00256392e-05  5.00257120e-05  9.99998569e-01
  2.26500000e+04  5.06184879e-05  5.06185606e-05  9.99998569e-01
  2.22500000e+04  5.23283452e-05  5.23284216e-05  9.99998569e-01
  2.17500000e+04  5.45946059e-05  5.45946823e-05  9.99998629e-01
  2.12962480e+04  5.67867064e-05  5.67867864e-05  9.99998629e-01
  2.12500000e+04  5.70178745e-05  5.70179545e-05  9.99998629e-01
  2.07500000e+04  5.96147765e-05  5.96148566e-05  9.99998629e-01
  2.02500000e+04  6.24042004e-05  6.24042877e-05  9.99998569e-01
  1.99835137e+04  6.39768259e-05  6.39769132e-05  9.99998569e-01
  1.98000000e+04  6.50969669e-05  6.50970615e-05  9.99998569e-01
  1.94000000e+04  6.76502605e-05  6.76503623e-05  9.99998569e-01
  1.90000000e+04  7.03682454e-05  7.03683472e-05  9.99998569e-01
  1.86000000e+04  7.32662302e-05  7.32663393e-05  9.99998510e-01
  1.82000000e+04  7.63611752e-05  7.63612916e-05  9.99998450e-01
  1.78000000e+04  7.96718741e-05  7.96719978e-05  9.99998450e-01
  1.77902715e+04  7.97552566e-05  7.97553876e-05  9.99998450e-01
  1.74000000e+04  8.32191072e-05  8.32192381e-05  9.99998391e-01
  1.70000000e+04  8.70258955e-05  8.70260337e-05  9.99998331e-01
  1.66000000e+04  9.11177267e-05  9.11178795e-05  9.99998331e-01
  1.62000000e+04  9.55228315e-05  9.55229989e-05  9.99998271e-01
  1.60308428e+04  9.74874565e-05  9.74876311e-05  9.99998212e-01
  1.58750000e+04  9.93541616e-05  9.93543363e-05  9.99998212e-01
  1.56250000e+04  1.02467617e-04  1.02467813e-04  9.99998152e-01
  1.53750000e+04  1.05735591e-04  1.05735788e-04  9.99998152e-01
  1.51250000e+04  1.09167777e-04  1.09167988e-04  9.99998093e-01
  1.48750000e+04  1.12774542e-04  1.12774767e-04  9.99998033e-01
  1.46700000e+04  1.15870163e-04  1.15870382e-04  9.99998033e-01
  1.45882109e+04  1.17141513e-04  1.17141732e-04  9.99998033e-01
  1.45881055e+04  1.16483192e-04  1.16483403e-04  9.99998152e-01
  1.44200000e+04  1.19147291e-04  1.19147517e-04  9.99998093e-01
  1.41250000e+04  1.24052924e-04  1.24053171e-04  9.99998033e-01
  1.38750000e+04  1.28454703e-04  1.28454965e-04  9.99998033e-01
  1.36250000e+04  1.33096808e-04  1.33097084e-04  9.99997973e-01
  1.33750000e+04  1.37995667e-04  1.37995943e-04  9.99997914e-01
  1.32954863e+04  1.39610434e-04  1.39610725e-04  9.99997854e-01
  1.31250000e+04  1.43169047e-04  1.43169353e-04  9.99997854e-01
  1.28750000e+04  1.48636318e-04  1.48636653e-04  9.99997795e-01
  1.26250000e+04  1.54418594e-04  1.54418944e-04  9.99997735e-01
  1.23750000e+04  1.60538926e-04  1.60539304e-04  9.99997675e-01
  1.22132930e+04  1.64689583e-04  1.64689976e-04  9.99997675e-01
  1.21250000e+04  1.67022648e-04  1.67023041e-04  9.99997616e-01
  1.18750000e+04  1.73897628e-04  1.73898050e-04  9.99997616e-01
  1.16250000e+04  1.81194686e-04  1.81195137e-04  9.99997616e-01
  1.13750000e+04  1.88947961e-04  1.88948412e-04  9.99997616e-01
  1.11250000e+04  1.97195433e-04  1.97195914e-04  9.99997616e-01
  1.08750000e+04  2.05979522e-04  2.05980003e-04  9.99997675e-01
  1.06250000e+04  2.15347623e-04  2.15348104e-04  9.99997735e-01
  1.05034287e+04  2.20129907e-04  2.20130387e-04  9.99997795e-01
  1.03750000e+04  2.25352953e-04  2.25353448e-04  9.99997854e-01
  1.01250000e+04  2.36055406e-04  2.36055872e-04  9.99997973e-01
  9.95000000e+03  2.43997652e-04  2.43998104e-04  9.99998093e-01
  9.85000000e+03  2.48713972e-04  2.48714408e-04  9.99998152e-01
  9.75000000e+03  2.53565988e-04  2.53566424e-04  9.99998271e-01
  9.65000000e+03  2.58559041e-04  2.58559478e-04  9.99998331e-01
  9.55000000e+03  2.63698807e-04  2.63699214e-04  9.99998450e-01
  9.45000000e+03  2.68991193e-04  2.68991600e-04  9.99998569e-01
  9.35000000e+03  2.74442427e-04  2.74442806e-04  9.99998689e-01
  9.25000000e+03  2.80059059e-04  2.80059408e-04  9.99998808e-01
  9.21353320e+03  2.82149762e-04  2.82150111e-04  9.99998808e-01
  9.15000000e+03  2.85847927e-04  2.85848248e-04  9.99998868e-01
  9.05000000e+03  2.91816308e-04  2.91816599e-04  9.99999046e-01
  8.95000000e+03  2.97971797e-04  2.97972059e-04  9.99999166e-01
  8.85000000e+03  3.04322370e-04  3.04322602e-04  9.99999285e-01
  8.75000000e+03  3.10876494e-04  3.10876669e-04  9.99999404e-01
  8.65000000e+03  3.17642989e-04  3.17643106e-04  9.99999523e-01
  8.55000000e+03  3.24631168e-04  3.24631284e-04  9.99999702e-01
  8.45000000e+03  3.31850897e-04  3.31850926e-04  9.99999821e-01
  8.35000000e+03  3.39312450e-04  3.39312450e-04  1.00000000e+00
